id,xcoord,ycoord,time,car_accessibility_base,car_accessibility_policy,delta
0,679517.63,5702686.9,28800,-368.0218889,-368.0596547,-0.037765772
223,680517.63,5702686.9,28800,-367.8950243,-367.9472352,-0.052210892
446,681517.63,5702686.9,28800,-365.4127243,-365.4649352,-0.052210892
669,682517.63,5702686.9,28800,-362.9606875,-363.0128984,-0.052210892
892,683517.63,5702686.9,28800,-360.5396037,-360.5918146,-0.052210892
1115,684517.63,5702686.9,28800,-358.1501749,-358.2023858,-0.052210892
1338,685517.63,5702686.9,28800,-355.7931148,-355.8453257,-0.052210892
1561,686517.63,5702686.9,28800,-353.4691486,-353.5213595,-0.052210892
1784,687517.63,5702686.9,28800,-351.1790127,-351.2312236,-0.052210892
2007,688517.63,5702686.9,28800,-348.9234542,-348.9756651,-0.052210892
2230,689517.63,5702686.9,28800,-346.7032309,-346.7554418,-0.052210892
2453,690517.63,5702686.9,28800,-344.5191101,-344.571321,-0.052210892
2676,691517.63,5702686.9,28800,-342.3718687,-342.4240796,-0.052210892
2899,692517.63,5702686.9,28800,-340.2622922,-340.3145031,-0.052210892
3122,693517.63,5702686.9,28800,-338.1911744,-338.2433853,-0.052210892
3345,694517.63,5702686.9,28800,-336.1593164,-336.2115273,-0.052210892
3568,695517.63,5702686.9,28800,-334.1675257,-334.2197366,-0.052210892
3791,696517.63,5702686.9,28800,-332.2166157,-332.2688266,-0.052210892
4014,697517.63,5702686.9,28800,-328.3030307,-328.3552262,-0.052195524
4237,698517.63,5702686.9,28800,-326.103619,-326.1558145,-0.052195524
4460,699517.63,5702686.9,28800,-323.9429642,-323.9951598,-0.052195524
4683,700517.63,5702686.9,28800,-321.8219451,-321.8741407,-0.052195524
4906,701517.63,5702686.9,28800,-319.7414502,-319.7936458,-0.052195524
5129,702517.63,5702686.9,28800,-317.7023771,-317.7545727,-0.052195524
5352,703517.63,5702686.9,28800,-315.7056314,-315.757827,-0.052195524
5575,704517.63,5702686.9,28800,-313.7521257,-313.8043212,-0.052195524
5798,705517.63,5702686.9,28800,-311.8427783,-311.8949739,-0.052195524
6021,706517.63,5702686.9,28800,-309.9785122,-310.0307077,-0.052195524
6244,707517.63,5702686.9,28800,-308.1602534,-308.2124489,-0.052195524
6467,708517.63,5702686.9,28800,-306.3889298,-306.4411253,-0.052195524
6690,709517.63,5702686.9,28800,-304.6654694,-304.7176649,-0.052195524
6913,710517.63,5702686.9,28800,-302.9907987,-303.0429942,-0.052195524
7136,711517.63,5702686.9,28800,-301.3658412,-301.4180367,-0.052195524
7359,712517.63,5702686.9,28800,-299.7915153,-299.8437108,-0.052195524
7582,713517.63,5702686.9,28800,-298.2687324,-298.3209279,-0.052195524
7805,714517.63,5702686.9,28800,-296.798395,-296.8505905,-0.052195524
8028,715517.63,5702686.9,28800,-295.3813948,-295.4335903,-0.052195524
8251,716517.63,5702686.9,28800,-294.0186101,-294.0708057,-0.052195524
8474,717517.63,5702686.9,28800,-292.7109042,-292.7630997,-0.052195524
8697,718517.63,5702686.9,28800,-291.4591226,-291.5113181,-0.052195524
8920,719517.63,5702686.9,28800,-290.2640908,-290.3162864,-0.052195524
9143,720517.63,5702686.9,28800,-289.1266125,-289.1788081,-0.052195524
9366,721517.63,5702686.9,28800,-289.5891852,-289.589186,-7.62536E-07
9589,722517.63,5702686.9,28800,-285.7921368,-285.7921376,-7.62537E-07
9812,723517.63,5702686.9,28800,-282.0015726,-282.0015733,-7.62537E-07
10035,724517.63,5702686.9,28800,-278.2177993,-278.2178,-7.62536E-07
10258,725517.63,5702686.9,28800,-274.441143,-274.4411438,-7.62536E-07
10481,726517.63,5702686.9,28800,-270.6719502,-270.6719509,-7.62536E-07
10704,727517.63,5702686.9,28800,-266.9105894,-266.9105902,-7.62536E-07
10927,728517.63,5702686.9,28800,-263.1574532,-263.157454,-7.62536E-07
11150,729517.63,5702686.9,28800,-259.4129596,-259.4129604,-7.62537E-07
11373,730517.63,5702686.9,28800,-255.6775546,-255.6775554,-7.62536E-07
11596,731517.63,5702686.9,28800,-251.9517141,-251.9517149,-7.62536E-07
11819,732517.63,5702686.9,28800,-248.2359465,-248.2359472,-7.62536E-07
12042,733517.63,5702686.9,28800,-244.5307953,-244.5307961,-7.62536E-07
12265,734517.63,5702686.9,28800,-240.8368422,-240.836843,-7.62536E-07
12488,735517.63,5702686.9,28800,-237.1547102,-237.154711,-7.62536E-07
12711,736517.63,5702686.9,28800,-233.4850671,-233.4850678,-7.62536E-07
12934,737517.63,5702686.9,28800,-229.8286293,-229.8286301,-7.62536E-07
13157,738517.63,5702686.9,28800,-226.1861666,-226.1861674,-7.62536E-07
13380,739517.63,5702686.9,28800,-222.5585061,-222.5585068,-7.62536E-07
13603,740517.63,5702686.9,28800,-218.9465378,-218.9465385,-7.62536E-07
13826,741517.63,5702686.9,28800,-215.3512202,-215.351221,-7.62536E-07
14049,742517.63,5702686.9,28800,-211.7735867,-211.7735874,-7.62536E-07
14272,743517.63,5702686.9,28800,-208.2147518,-208.2147526,-7.62536E-07
14495,744517.63,5702686.9,28800,-204.6759196,-204.6759203,-7.62536E-07
14718,745517.63,5702686.9,28800,-201.158391,-201.1583918,-7.62536E-07
14941,746517.63,5702686.9,28800,-197.6635738,-197.6635746,-7.62536E-07
15164,747517.63,5702686.9,28800,-194.192992,-194.1929928,-7.62536E-07
15387,748517.63,5702686.9,28800,-190.748297,-190.7482977,-7.62536E-07
15610,749517.63,5702686.9,28800,-187.3312797,-187.3312804,-7.62536E-07
15833,750517.63,5702686.9,28800,-183.9438835,-183.9438842,-7.62536E-07
16056,751517.63,5702686.9,28800,-180.5882188,-180.5882196,-7.62536E-07
16279,752517.63,5702686.9,28800,-177.2665787,-177.2665795,-7.62537E-07
16502,753517.63,5702686.9,28800,-173.9814556,-173.9814564,-7.62536E-07
16725,754517.63,5702686.9,28800,-170.7355599,-170.7355607,-7.62537E-07
16948,755517.63,5702686.9,28800,-167.5318396,-167.5318403,-7.62536E-07
17171,756517.63,5702686.9,28800,-164.373501,-164.3735017,-7.62536E-07
17394,757517.63,5702686.9,28800,-161.2640312,-161.264032,-7.62536E-07
17617,758517.63,5702686.9,28800,-158.2072212,-158.207222,-7.62536E-07
17840,759517.63,5702686.9,28800,-155.2071896,-155.2071903,-7.62537E-07
18063,760517.63,5702686.9,28800,-152.2684065,-152.2684072,-7.62536E-07
18286,761517.63,5702686.9,28800,-149.3957175,-149.3957182,-7.62536E-07
18509,762517.63,5702686.9,28800,-146.5943656,-146.5943664,-7.62536E-07
18732,763517.63,5702686.9,28800,-143.8700114,-143.8700122,-7.62536E-07
18955,764517.63,5702686.9,28800,-141.2287484,-141.2287491,-7.62536E-07
19178,765517.63,5702686.9,28800,-144.9248696,-144.924871,-1.41867E-06
19401,766517.63,5702686.9,28800,-141.0058757,-141.0058771,-1.41868E-06
19624,767517.63,5702686.9,28800,-137.0938502,-137.0938516,-1.41868E-06
19847,768517.63,5702686.9,28800,-133.189721,-133.1897224,-1.41867E-06
20070,769517.63,5702686.9,28800,-129.2945856,-129.294587,-1.41868E-06
20293,770517.63,5702686.9,28800,-125.4097516,-125.409753,-1.41867E-06
20516,771517.63,5702686.9,28800,-121.5367885,-121.5367899,-1.41868E-06
20739,772517.63,5702686.9,28800,-117.6775948,-117.6775962,-1.41868E-06
20962,773517.63,5702686.9,28800,-113.8344879,-113.8344893,-1.41867E-06
21185,774517.63,5702686.9,28800,-110.0103222,-110.0103236,-1.41868E-06
21408,775517.63,5702686.9,28800,-106.20865,-106.2086514,-1.41868E-06
21631,776517.63,5702686.9,28800,-102.433941,-102.4339424,-1.41868E-06
21854,777517.63,5702686.9,28800,-98.67399269,-98.67399397,-1.27994E-06
22077,778517.63,5702686.9,28800,-94.73600959,-94.73601087,-1.27994E-06
22300,779517.63,5702686.9,28800,-90.80881065,-90.80881193,-1.27994E-06
22523,780517.63,5702686.9,28800,-86.89543985,-86.89544113,-1.27994E-06
22746,781517.63,5702686.9,28800,-83.000187,-83.00018828,-1.27994E-06
22969,782517.63,5702686.9,28800,-79.12928437,-79.12928565,-1.27994E-06
23192,783517.63,5702686.9,28800,-75.29211598,-75.29211726,-1.27994E-06
23415,784517.63,5702686.9,28800,-71.50342383,-71.50342511,-1.27994E-06
23638,785517.63,5702686.9,28800,-67.78756486,-67.78756614,-1.27994E-06
23861,786517.63,5702686.9,28800,-64.18724496,-64.18724624,-1.27994E-06
24084,787517.63,5702686.9,28800,-60.78251964,-60.78252092,-1.27994E-06
24307,788517.63,5702686.9,28800,-57.73322659,-57.73322787,-1.27994E-06
