personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_5fe51402,57,f,medium,3000.0,always,false,785087.2347273304,5826852.00634361,-2.165016847840211,1.0,
bb_eefe739f,46,f,very_low,1500.0,always,false,789799.64,5803321.03,-10.036170004131144,1.0,
berlin_43097111,14,m,very_low,2000.0,never,false,805142.225829818,5815038.85001818,-9.366012362501854,1.0,
bb_104a453e,28,m,very_low,1500.0,always,false,817845.11,5829204.6,-11.494174146438029,1.0,
berlin_24dc5b32,17,m,low,2000.0,never,false,786158.8534385792,5833177.559319599,-4.091999498316129,1.0,
berlin_aebbc6b5,62,f,medium,3000.0,always,false,800752.1224505242,5827814.402025521,-1.8160843742390618,1.0,
bb_c0365213,66,f,medium,2000.0,always,false,777530.83,5833331.6,-7.019711196279463,1.0,
bb_7469e6b8,28,m,high,3600.0,always,false,810471.54,5847337.57,-13.166311079229105,1.0,
berlin_0847983d,21,f,medium,3000.0,always,false,787278.4664677868,5816962.816366072,-6.459395872721851,1.0,
berlin_5520e311,57,f,very_high,5600.0,always,false,792179.9761437539,5826891.005303522,-2.0885625031075343,1.0,
berlin_c940406e,45,f,very_high,5600.0,always,false,807499.6896958681,5824161.373432932,-6.629772513566396,1.0,
berlin_a2ec915d,18,f,very_low,1500.0,always,false,799736.1203329724,5816988.045566343,-7.480946774051311,1.0,
berlin_ae8513a2,67,m,medium,2600.0,always,false,799948.6172227671,5832987.072845498,-2.9822496505504703,1.0,
berlin_baf60fb3,33,f,medium,3600.0,always,false,804765.7600226213,5826863.624304895,-4.636517117255962,1.0,
berlin_f8a24ba6,78,m,medium,2000.0,always,true,808438.485474651,5817612.128639575,-8.58659458705093,1.0,
berlin_81a0254c,63,f,low,1500.0,always,false,798433.9161133782,5825021.102220311,-1.1677146943345398,1.0,
bb_640f1a94,29,f,medium,3000.0,always,false,779855.96,5812407.98,-11.608203391596204,1.0,
berlin_199406f6,37,f,medium,1500.0,always,false,800326.3132039686,5826152.290385537,-0.3226570300070495,1.0,
berlin_abc23ce8,40,m,medium,2000.0,always,false,791409.0832996159,5835155.876637449,-6.295189118185884,1.0,
berlin_ac049d8a,9,m,medium,3600.0,never,false,795507.0903977829,5827948.572131749,-1.3188464333567602,1.0,
berlin_94bbbb6e,52,f,medium,3600.0,always,false,801452.2207266488,5820901.665284116,-4.751351494132556,1.0,
berlin_79a19138,54,f,medium,2000.0,always,false,805187.9178454804,5833709.327950243,-5.107361320813832,1.0,
bb_55e18ee3,62,f,high,4600.0,always,false,816182.46,5798134.16,-16.34273439036601,1.0,
berlin_118a5086,23,m,very_low,500.0,always,false,808906.2369749683,5817470.189215884,-8.570497863689157,1.0,
berlin_7339a7c2,60,f,medium,2600.0,always,false,809670.5223820363,5820209.6088422,-7.677171636621979,1.0,
berlin_54a9cee2,40,f,medium,3000.0,always,false,798329.3703372472,5824372.409604601,-1.5010149046968178,1.0,
bb_8b61d8ac,52,f,high,4600.0,always,false,802022.51,5808838.32,-11.976193546902444,1.0,
berlin_85457722,91,m,low,900.0,always,true,789073.7339184434,5817255.5078407,-6.272404114863321,1.0,
berlin_73a39602,46,f,high,3000.0,always,false,796198.6393660587,5833650.3705259785,-4.326534916286215,1.0,
bb_4631c66d,3,f,medium,3000.0,never,false,823073.92,5829119.26,-14.777935593146532,1.0,
berlin_1623e2b9,64,f,very_high,5600.0,always,false,794953.1947306414,5824949.836527179,-2.2876272107712388,1.0,
berlin_b4331e19,61,m,low,1500.0,always,false,801962.2219340794,5826320.932134009,-2.6523722037124284,1.0,
berlin_918260ad,39,f,high,4600.0,always,false,802802.6932845265,5827492.325481616,-2.768925472155535,1.0,
berlin_89be8bde,53,f,high,3000.0,always,false,812169.3553656167,5827456.321861601,-8.294197399693019,1.0,
berlin_cc230b81,49,f,low,900.0,always,false,800577.2675333878,5829632.824561589,-0.8880304687961991,1.0,
berlin_6730983a,21,f,high,3600.0,always,false,803940.7966851232,5830207.996042388,-3.674726520465369,1.0,
berlin_294381f5,46,f,medium,3600.0,always,false,790839.5815344781,5837327.607868355,-7.1865035762428695,1.0,
berlin_44dbf730,46,f,medium,2000.0,always,false,811018.4328112905,5822204.060119211,-9.258145728460178,1.0,
bb_1a29a10f,80,m,very_low,900.0,always,true,790856.99,5855622.66,-14.826127060241669,1.0,
berlin_21898938,88,m,very_low,900.0,always,false,793078.4836991245,5827417.964125194,-2.6146874579601116,1.0,
berlin_284d9904,35,f,high,2600.0,always,false,802678.1037473874,5827107.771121303,-2.745442144530396,1.0,
berlin_52d665c4,30,f,high,3600.0,always,false,785461.0958316128,5831349.692974082,-3.2858445134714174,1.0,
bb_cc65d29d,38,f,low,2600.0,always,false,789548.02,5803868.4,-10.279766029500758,1.0,
bb_d0fce939,61,f,very_low,900.0,always,false,776360.27,5830615.48,-5.672949234495974,1.0,
berlin_5455d143,26,f,low,900.0,always,true,802390.76528235,5832645.042846611,-3.4122995962069105,1.0,
berlin_b9462491,20,f,very_high,5600.0,always,false,810472.6274072758,5821039.033365121,-9.303560425929424,1.0,
bb_b07ba0fa,12,f,high,5600.0,never,false,815206.91,5809515.91,-13.73349938429859,1.0,
berlin_005fb4e8,50,m,medium,2000.0,always,false,792457.1285993884,5826130.812366117,-1.844764420979032,1.0,
berlin_05c54ee4,6,m,low,1500.0,never,false,801314.6883744977,5827519.512413028,-2.4679260912028753,1.0,
berlin_b9b517f6,38,m,high,4600.0,always,false,800336.2444510364,5822916.538929321,-2.761062019191247,1.0,
berlin_800f3465,58,f,high,3600.0,always,false,785278.5702946837,5832266.818496731,-3.1988603446463233,1.0,
bb_cbd5bbb6,20,f,very_low,2000.0,always,false,789007.79,5843599.03,-10.550232599613842,1.0,
bb_994668a6,15,m,very_low,1500.0,never,false,779688.06,5841257.22,-9.925836863132188,1.0,
berlin_3770be6b,44,f,high,3600.0,always,false,790998.6190591459,5829294.27360965,-3.8008171732466223,1.0,
berlin_ee41513f,25,f,low,1500.0,always,false,793748.8835320672,5820183.941433831,-4.174689561697137,1.0,
berlin_05080150,23,f,very_high,5600.0,always,false,804628.5647803671,5833623.846148214,-5.010545200791077,1.0,
berlin_5907c4c0,47,m,high,3000.0,always,true,802796.493911657,5829647.075643216,-2.5573534745546564,1.0,
bb_99d38c25,30,f,medium,1500.0,always,false,774647.71,5831213.69,-7.021111033092149,1.0,
bb_de844c45,37,f,very_low,1500.0,always,false,831407.78,5810328.12,-23.817717295792594,1.0,
berlin_77d73472,4,m,very_high,5600.0,never,false,806197.6066726448,5819075.691652286,-6.558323413310535,1.0,
berlin_77890c48,43,f,very_high,5600.0,always,false,809783.2835811237,5830007.344881815,-7.68747836948919,1.0,
bb_c0cf5cc0,41,f,high,4600.0,always,false,788708.14,5849155.86,-12.314193375180102,1.0,
berlin_f2e1af58,71,m,high,3600.0,always,false,789464.1908519096,5823484.568560296,-2.6710840213162297,1.0,
berlin_bb7faaef,19,f,high,4600.0,always,false,791603.5191747677,5834737.067773836,-6.123158918732108,1.0,
bb_3ea5b57c,27,m,high,3600.0,always,false,793425.15,5809844.9,-10.8716352392236,1.0,
bb_566edbb8,60,m,medium,1500.0,always,false,818097.01,5829940.12,-11.783932055599632,1.0,
berlin_5d3c7919,72,m,high,2600.0,always,false,803985.4724826745,5840856.079991475,-8.757693468145103,1.0,
bb_5fecb832,13,m,medium,3600.0,never,false,783464.27,5780759.96,-13.64583487325466,1.0,
berlin_84626363,36,f,medium,2600.0,always,false,800768.2598713813,5821314.416546126,-4.536922069382322,1.0,
bb_0ab81cc0,59,f,low,1500.0,always,false,819589.54,5814557.43,-15.011821453577909,1.0,
bb_fac8f1e9,52,m,low,900.0,always,false,804470.69,5854291.01,-16.912236639469306,1.0,
berlin_d2293e01,8,m,low,3600.0,never,false,801485.3773633745,5825897.460663418,-2.1754108210525946,1.0,
berlin_e93eabf6,19,m,medium,2000.0,always,false,791529.4081261182,5835291.176988342,-6.519104755869382,1.0,
berlin_bae77035,66,m,high,3600.0,always,false,810967.8162170984,5829777.790992541,-8.852694822021446,1.0,
berlin_b0faf419,5,m,high,3600.0,never,false,795914.0674500987,5816798.520920464,-6.617940868214495,1.0,
berlin_40e228f9,39,f,high,4600.0,always,false,799108.8415821446,5820067.806366007,-4.868742006730704,1.0,
berlin_9535e990,45,f,low,900.0,always,true,799318.2876640223,5831244.0699009625,-2.119039902903903,1.0,
berlin_d790b91f,58,f,very_low,500.0,always,true,800177.9859797065,5819097.7565665245,-6.029138044814229,1.0,
berlin_3b061e91,62,f,high,3600.0,always,false,785117.1686406343,5829879.682099539,-1.7991616220418176,1.0,
berlin_6d0e6c03,63,f,high,3000.0,always,false,798080.2718015108,5824718.610337817,-1.4991070634085804,1.0,
