personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
bb_21d5a039,67,m,medium,3000.0,always,false,838802.52,5785881.87,1.4901629671236773E-14,1.0,
berlin_6d91654b,62,f,medium,2000.0,always,false,799692.1738326382,5829342.459984696,0.002038329082469822,1.0,
berlin_18242ce8,75,m,low,1500.0,always,true,805663.1687791441,5833956.190406252,1.3618917954226408E-4,1.0,
bb_53cbf7f4,60,m,medium,1500.0,always,false,779673.84,5830816.69,0.0035148388342128426,1.0,
bb_05267e2e,4,m,low,2000.0,never,false,764372.67,5798835.4,3.57979298573329E-9,1.0,
berlin_8e9b8757,59,f,very_high,4600.0,always,false,801856.0488081623,5822184.773001196,1.6038643133277125E-4,1.0,
berlin_97d6ec5f,46,f,high,3000.0,always,false,801842.4550684509,5822418.912542026,1.0227656285161142E-4,1.0,
berlin_46a56b13,36,f,very_high,5600.0,always,false,792217.1085193178,5836799.4185518,5.839666953429797E-4,1.0,
berlin_40ad20ab,7,m,very_high,5600.0,never,false,797368.7085075954,5820613.707802105,0.0032767156445511958,1.0,
berlin_1d8c8f56,41,f,very_low,900.0,always,false,793911.8995534412,5836248.767516089,2.9880276385004107E-6,1.0,
berlin_29c25c66,11,m,low,3000.0,never,false,782676.9838132234,5826845.348795055,0.08939072368994197,1.0,
berlin_441da67f,45,f,very_high,5600.0,always,false,786362.9727005125,5834541.575526643,2.3998751049669637E-4,1.0,
berlin_2d964e98,33,m,high,4600.0,always,false,800889.11773575,5823665.14229893,1.9232133374374786E-6,1.0,
bb_d251f391,32,f,high,3600.0,always,false,820098.75,5829114.0,7.343469390567819E-7,1.0,
bb_91eba60c,22,f,medium,2600.0,always,false,775186.74,5813895.1,8.811426231676453E-6,1.0,
berlin_c0c22b75,64,f,high,2600.0,always,false,807942.7428021196,5825153.941508171,8.571186004990771E-6,1.0,
berlin_6acf54d7,71,m,low,1500.0,always,false,781293.1993652107,5819771.778828501,2.315756798135587E-4,1.0,
berlin_e9f53774,4,m,medium,3600.0,never,false,796127.4271177971,5833353.858101403,0.003955647547219441,1.0,
berlin_ea4bdaa8,49,f,very_low,1500.0,always,false,800307.8427719093,5828790.542961142,2.7156115624454766E-5,1.0,
berlin_7bb44a78,33,f,medium,2000.0,always,false,803071.2112573229,5839223.017746204,1.0410408709924088E-4,1.0,
berlin_b478db79,5,m,high,4600.0,never,false,784923.3680994818,5828938.308250315,0.3111425001157061,1.0,
berlin_4eb64af9,12,m,low,1500.0,never,false,805486.767955136,5825745.259878772,5.383612459416541E-6,1.0,
