personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_4d0bb6a7,28,m,very_low,1500.0,1500.0,false,796372.0243052999,5832359.517564286,0.0013598084801428871,1.0,
berlin_96916d3f,76,m,very_high,4600.0,4600.0,false,814229.7460549413,5821707.526388708,2.151905572124354E-5,1.0,
berlin_1e637cbc,46,f,very_low,1500.0,1500.0,false,801757.8845389779,5827838.6373036085,0.005270508324349028,1.0,
berlin_c7e14c62,7,m,high,4600.0,4600.0,false,796391.1719680072,5831131.846002297,0.0024712475234621224,1.0,
berlin_23865511,86,m,very_high,4600.0,4600.0,true,782291.0443124269,5827006.265533962,0.006090595842633465,1.0,
bb_0785e20b,63,f,very_high,4600.0,4600.0,false,793699.05,5840282.97,9.001837199412412E-10,1.0,
berlin_e334184e,71,m,medium,2000.0,2000.0,false,804667.1429381971,5830485.655193468,5.66402145519882E-4,1.0,
berlin_3ef37435,14,m,medium,3000.0,3000.0,false,805068.5445830396,5827689.278508678,9.312055761853891E-4,1.0,
berlin_8dc0efe2,44,f,high,3600.0,3600.0,false,796551.4265625275,5815659.891967652,5.474559602906791E-4,1.0,
berlin_67f63dac,52,m,high,4600.0,4600.0,false,794737.6351594806,5831069.606443246,0.001524310577191784,1.0,
bb_3b163ed1,11,f,high,4600.0,4600.0,false,775463.79,5830176.05,4.6449246646396093E-4,1.0,
berlin_0949d281,61,f,medium,2000.0,2000.0,false,784467.4006334057,5816956.804400615,5.609536450481834E-5,1.0,
bb_9bc79be7,73,m,low,900.0,900.0,false,808882.55,5845907.11,1.6230639136698426E-6,1.0,
berlin_9b0b7211,36,m,medium,3000.0,3000.0,false,799316.696515769,5833214.95484946,6.665938500979356E-4,1.0,
berlin_780062bc,3,m,medium,3000.0,3000.0,false,805345.1682815296,5827914.69558419,5.137709342819469E-4,1.0,
berlin_30458632,43,m,high,5600.0,5600.0,false,794128.4405177503,5825613.715024458,0.015317600238552763,1.0,
berlin_1a46e520,26,f,very_low,900.0,900.0,false,796139.7930719226,5834603.773363926,1.2356167036244536E-4,1.0,
berlin_5ccb5599,8,m,medium,2000.0,2000.0,false,804315.5843934149,5816348.191862615,5.069045150768919E-6,1.0,
bb_a8029716,87,f,medium,2000.0,2000.0,false,779344.48,5814657.27,4.2106284801965137E-7,1.0,
berlin_572019b0,87,m,high,3600.0,3600.0,false,802158.7755533885,5836796.299939681,4.5430172437760296E-5,1.0,
berlin_7a221904,66,m,medium,3000.0,3000.0,false,812495.3586006939,5828894.282625907,2.4590807443910727E-5,1.0,
berlin_141268c5,3,f,high,3600.0,3600.0,true,784160.8193923407,5827055.882299419,0.02028082954475717,1.0,
bb_927f4f66,5,m,very_high,5600.0,5600.0,false,772552.97,5821161.69,3.871387949985884E-8,1.0,
berlin_4c35b9c3,29,f,medium,3600.0,3600.0,false,790284.2512994994,5818463.355460461,0.0010147240452634675,1.0,
berlin_6aacf169,70,m,very_low,900.0,900.0,true,784742.8501319413,5832245.405677204,0.0011668773761160294,1.0,
berlin_b403d0bd,18,f,high,3600.0,3600.0,false,789804.2237014428,5823233.799985866,0.00634064882384465,1.0,
berlin_0baa9e82,10,m,medium,3600.0,3600.0,false,795829.5063440043,5820113.720233252,0.0015970683750692926,1.0,
berlin_aa721d81,44,f,high,3000.0,3000.0,false,797384.3640214488,5839043.9243495995,6.7670592063065035E-6,1.0,
berlin_e9fb4204,25,f,very_low,1500.0,1500.0,false,798536.4762873403,5831302.200712871,0.0010341350469240305,1.0,
berlin_7d1740cd,2,m,medium,3000.0,3000.0,false,802047.2851221217,5824852.8104359945,0.008632657747736049,1.0,
berlin_bf32c374,60,m,medium,2000.0,2000.0,false,805344.3129480772,5817212.465951444,1.0712767904266423E-4,1.0,
berlin_391f3765,89,m,high,3600.0,3600.0,false,793751.7083527773,5822357.883657124,0.008080528309641984,1.0,
berlin_ac29b655,93,m,medium,2000.0,2000.0,false,790994.0611169271,5822822.462859782,0.003993596465795572,1.0,
berlin_9ddd1a89,58,f,high,4600.0,4600.0,true,794628.5132298464,5820999.284045434,0.001773126776419021,1.0,
berlin_71405c43,55,f,medium,2600.0,2600.0,false,793714.3510754799,5822260.020471472,0.003555659953652012,1.0,
bb_ad21ff52,72,m,medium,2000.0,2000.0,false,802780.16,5858981.63,5.937634299350158E-10,1.0,
berlin_458ed7dc,19,f,low,2600.0,2600.0,false,800040.1867767824,5830913.460572059,0.032362928052624564,1.0,
berlin_eaa62507,3,m,very_high,5600.0,5600.0,false,807086.4106715815,5824935.46066034,6.552797338026662E-5,1.0,
berlin_cf39fef8,96,m,medium,2000.0,2000.0,false,792409.3887507843,5825564.907107453,0.030207059261624633,1.0,
berlin_bc5fc5d4,5,m,low,2000.0,2000.0,false,804114.1245719187,5838910.788534535,1.2042549831529167E-5,1.0,
berlin_3df2f068,65,m,very_low,499.0,499.0,false,793077.606117487,5822504.932772805,0.0077217145322941525,1.0,
berlin_b62660b1,51,m,high,3600.0,3600.0,false,793129.1787108586,5823528.453289687,0.004807386416855276,1.0,
bb_797b68fb,61,f,medium,2000.0,2000.0,false,774597.96,5803386.24,4.163300383069426E-7,1.0,
bb_0a75352e,54,f,high,3600.0,3600.0,false,777733.39,5810968.67,1.676019591504343E-5,1.0,
bb_647bfaa4,37,f,medium,2000.0,2000.0,false,819299.42,5880484.86,1.9372755926977065E-13,1.0,
berlin_3f145fe7,24,f,medium,2000.0,2000.0,false,795183.3803765534,5832351.450410364,4.809553637396589E-4,1.0,
berlin_17e35921,63,f,very_high,5600.0,5600.0,false,795709.5254014009,5831771.412677064,0.0013054293279261726,1.0,
bb_a7b8bbeb,64,f,very_high,5600.0,5600.0,false,831287.63,5775688.75,1.5798506414789778E-38,1.0,
berlin_6c56e273,32,f,medium,3000.0,3000.0,false,791566.5563152313,5837773.326122756,2.159090958637128E-5,1.0,
bb_4287d0df,42,m,medium,3600.0,3600.0,false,779306.21,5849412.61,1.9342638122034555E-14,1.0,
berlin_b9402bfe,60,m,low,900.0,900.0,true,800278.2312063996,5823870.839736741,0.008627265595088602,1.0,
bb_e8804c32,93,m,low,900.0,900.0,false,787228.61,5815820.43,5.770138637378168E-5,1.0,
berlin_382a43e0,56,m,high,3600.0,3600.0,true,799657.207952068,5816628.836050145,8.487309264482912E-5,1.0,
berlin_9c64d92f,11,m,low,3000.0,3000.0,false,797179.1100919391,5829887.016133962,0.0041839832298330125,1.0,
berlin_690b04e3,17,m,very_low,900.0,900.0,false,792056.9882953549,5825647.511033617,0.04426583812658924,1.0,
berlin_032a69e4,57,m,high,3000.0,3000.0,false,812063.4257341988,5831003.022337196,2.9590417611816882E-5,1.0,
berlin_ce199f42,67,m,low,900.0,900.0,false,798629.6300271869,5817193.7599582495,6.289816203077024E-4,1.0,
berlin_4d51ca45,25,f,medium,3600.0,3600.0,false,814235.4953641188,5821326.39895685,2.766645395287833E-6,1.0,
berlin_1dd7ce47,51,f,medium,1500.0,1500.0,false,795059.6107746663,5818979.474178021,0.0016318803873918316,1.0,
berlin_48cfe96e,50,f,medium,3000.0,3000.0,false,802912.1531032184,5826930.0987360235,0.003291225302199033,1.0,
bb_d5494586,80,f,high,4600.0,4600.0,false,771075.5,5833433.94,0.001035919612648833,1.0,
berlin_467ca2b2,92,m,high,4600.0,4600.0,false,802364.0510893482,5828101.888894819,0.004587721132057097,1.0,
berlin_019fb61e,31,m,medium,3000.0,3000.0,false,801542.925204682,5825525.627797719,0.008599062077398753,1.0,
berlin_34b1c114,48,f,very_high,5600.0,5600.0,false,799517.1772790467,5827135.724641698,0.027196197649611592,1.0,
berlin_51940662,54,f,low,900.0,900.0,false,792760.3694255747,5833855.306113416,8.36807640650288E-5,1.0,
berlin_1fdc1927,19,m,low,2000.0,2000.0,false,797591.5938652472,5828204.168354666,0.043318099015331755,1.0,
bb_02808d2b,13,f,high,5600.0,5600.0,false,814768.99,5804331.97,3.069248232561243E-7,1.0,
berlin_7dc8488a,58,f,medium,2600.0,2600.0,false,800127.0821500537,5823497.77878539,0.010545609049112264,1.0,
berlin_fb72c214,51,f,low,900.0,900.0,false,787221.1265107256,5816905.679864015,5.7719628547087426E-5,1.0,
berlin_37c6bfe2,77,m,low,900.0,900.0,true,799314.2543151279,5832326.762232447,7.550914042906017E-4,1.0,
berlin_fc030659,5,m,very_low,1500.0,1500.0,false,791041.6629054806,5827016.511431516,0.009453458840688864,1.0,
berlin_732eb537,3,m,very_high,5600.0,5600.0,false,805568.472103603,5823385.777499663,3.247904197384657E-5,1.0,
berlin_a70768bd,47,f,medium,2000.0,2000.0,true,806892.5620372843,5825818.510511763,9.289374461077555E-4,1.0,
berlin_72e5b816,54,f,very_low,1500.0,1500.0,false,793442.6302516054,5822003.755456893,9.79108289482272E-4,1.0,
berlin_0edb1319,50,f,low,2000.0,2000.0,false,804933.0803500675,5822176.317192416,5.303159245503571E-4,1.0,
berlin_c5e5eb04,7,m,high,4600.0,4600.0,false,790944.949492068,5823311.522758497,0.004058835707179418,1.0,
berlin_f8767831,66,m,medium,2600.0,2600.0,false,818872.8308885691,5819091.126349248,4.760036480547441E-8,1.0,
bb_97311704,10,f,low,2000.0,2000.0,false,784827.59,5859625.33,5.573766952251999E-12,1.0,
berlin_ff840e87,31,f,medium,2600.0,2600.0,false,794652.8771905974,5836224.427213548,1.2420822162691303E-4,1.0,
berlin_4747c76f,62,f,low,900.0,900.0,true,793805.59361078,5823058.126733186,0.024804974249521352,1.0,
bb_a52edbc7,85,f,low,900.0,900.0,true,770434.03,5828907.55,4.233457354599266E-5,1.0,
berlin_48213706,62,f,very_high,5600.0,5600.0,false,805365.4113963032,5831714.008754206,5.671479142138149E-4,1.0,
berlin_7f257fc7,46,f,high,4600.0,4600.0,false,811093.0888124786,5819781.524438259,2.167195252868042E-6,1.0,
bb_44dc0595,43,f,high,4600.0,4600.0,false,777652.18,5830387.44,4.6461687433053966E-4,1.0,
berlin_88035ae2,81,m,low,900.0,900.0,false,803168.5097024615,5832388.395749539,0.0015541840365738701,1.0,
berlin_8d434756,54,m,very_high,4600.0,4600.0,false,793042.5624211797,5825272.030852054,0.0073910622246138365,1.0,
bb_8a947863,63,f,low,1500.0,1500.0,false,775168.92,5816011.59,2.374718167041391E-6,1.0,
berlin_344206e2,45,f,high,4600.0,4600.0,false,796635.9245637764,5832827.670094785,0.002838509350314704,1.0,
berlin_b077b57b,59,f,high,5600.0,5600.0,false,800761.9300842993,5825566.01496943,0.14134523221929332,1.0,
berlin_3c9e2552,20,f,very_low,900.0,900.0,false,803880.2365866475,5823578.372071136,0.0015295247903470645,1.0,
berlin_b76d99f6,15,m,high,4600.0,4600.0,false,796770.1771944205,5832494.22315977,4.993150472720367E-4,1.0,
