personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_f839fe4a,74,m,medium,2600.0,always,false,789979.5662499348,5815534.615120707,6.671776291851413E-30,1.0,
berlin_cb3c883a,58,m,high,3000.0,always,false,784700.5608484675,5827942.28871351,0.019643672553065348,1.0,
bb_96e90ab0,94,f,very_high,5600.0,always,true,815208.36,5807738.49,4.750709913560507E-70,1.0,
berlin_25968bde,45,f,low,900.0,always,false,792395.0695711386,5827128.7932919385,2.8954678472914397E-5,1.0,
bb_acf6a3eb,64,m,low,900.0,always,false,807929.86,5808718.58,3.3434307068995655E-56,1.0,
bb_1963fab0,35,f,medium,1500.0,always,false,776241.45,5803596.96,2.8568796977018094E-36,1.0,
berlin_9080ddfa,33,m,medium,1500.0,always,false,805063.0150801318,5833865.596722153,1.1307239127439529E-14,1.0,
bb_2b1005f5,58,m,high,2600.0,always,false,779824.34,5812132.62,1.3298322442285687E-39,1.0,
bb_24ac8ad7,51,f,very_low,500.0,always,true,786760.81,5850713.06,1.097352482729927E-50,1.0,
berlin_f79dbf60,42,f,very_low,2000.0,always,false,793640.6057500334,5828352.934636382,2.525458875466026E-5,1.0,
berlin_90031f53,13,m,medium,3600.0,never,false,801695.012642959,5822920.487408079,2.2197790925410802E-8,1.0,
berlin_5f8e99c0,66,m,medium,2000.0,always,false,795092.0574580375,5821967.707878043,8.760457704037105E-14,1.0,
berlin_3068d9eb,54,m,high,3000.0,always,false,801073.8240913561,5822054.088280387,9.270724863286134E-10,1.0,
berlin_58e3499b,26,f,low,2000.0,always,false,791992.390156898,5833107.336594723,3.0194611863807685E-12,1.0,
berlin_58f72f03,29,f,high,2600.0,always,false,799547.8975327075,5813730.323130393,2.327383679645913E-25,1.0,
berlin_5ded63d2,79,m,low,1500.0,always,true,789726.3996538953,5833794.241005041,6.782499202619227E-22,1.0,
berlin_3cecc0e1,62,f,low,900.0,always,false,799114.8129079381,5830531.287387864,1.04638399399506E-4,1.0,
bb_1983ce06,67,m,medium,2600.0,always,false,779761.81,5812141.6,2.423270254659712E-51,1.0,
berlin_366e9c7f,48,m,medium,2600.0,always,false,790361.1100624225,5827555.120073536,3.1756450211036255E-6,1.0,
berlin_d951448e,78,m,medium,1500.0,always,false,806140.6312230756,5825365.4752967665,2.6466048682915642E-18,1.0,
berlin_e0d97cba,15,m,high,4600.0,never,false,797887.0828911474,5824346.181612593,5.96393972903862E-4,1.0,
bb_b9bc13c3,69,m,low,1500.0,always,false,786343.32,5813756.55,6.169186513658321E-38,1.0,
berlin_dde351bd,46,f,medium,3000.0,always,false,812938.1229149837,5827616.190945229,1.983654546710752E-29,1.0,
berlin_696f354a,23,m,medium,1500.0,always,false,806409.8448444114,5819053.13064863,1.2829813232241938E-19,1.0,
bb_c0f85d48,28,f,very_low,1500.0,always,false,805807.46,5787851.44,3.031291640725551E-41,1.0,
bb_49dbb602,81,f,medium,3000.0,always,false,791507.14,5844413.84,3.072031448497657E-48,1.0,
berlin_d0b63372,11,m,medium,2000.0,never,false,794142.8078605676,5832227.248647698,3.054450216503925E-9,1.0,
berlin_c7c1da0f,45,f,high,4600.0,always,false,794180.0560984741,5827876.182288843,1.4196247355417255E-4,1.0,
berlin_8c8f1cf9,94,m,medium,1500.0,always,false,786996.4916591125,5839137.091014839,3.6329911440879476E-32,1.0,
berlin_27bd9959,45,f,medium,2600.0,always,false,811729.5355605793,5831291.792115237,1.1150388738277149E-26,1.0,
berlin_0044a06f,22,f,low,3000.0,always,false,794732.8616454708,5816867.177110005,4.0579641044792207E-19,1.0,
bb_92800acc,93,m,very_high,5600.0,always,false,823425.82,5864109.62,6.748912261057702E-122,1.0,
berlin_6df8cc7d,31,m,high,4600.0,always,false,800134.8864059111,5823486.928107242,2.6934014288714466E-6,1.0,
berlin_83a61fd2,55,f,low,900.0,always,true,809989.999146658,5816996.143529664,1.0075946854165236E-30,1.0,
berlin_1c92e8f1,2,m,very_high,5600.0,never,false,801769.1798552044,5823550.356277456,3.131289927076537E-7,1.0,
berlin_010335d2,61,f,high,2600.0,always,false,799722.5768617875,5835413.066447148,5.615965167629631E-17,1.0,
bb_88fb32bf,22,m,medium,2000.0,always,false,755801.09,5809837.65,9.96704384390334E-71,1.0,
berlin_7a4b0d8f,30,m,high,3600.0,always,false,800133.0181046873,5837398.03600373,1.2180952949355147E-17,1.0,
berlin_ee4a5007,19,f,very_low,499.0,always,false,808427.9030981113,5819450.484101441,4.530783182471628E-22,1.0,
berlin_a7438157,24,f,medium,2600.0,always,false,799124.7646339561,5833791.804787463,5.558516123035999E-9,1.0,
berlin_d40ff68d,60,f,low,900.0,always,false,798773.8161095824,5833104.816343076,3.8156369078671137E-11,1.0,
berlin_81d6488c,6,m,high,4600.0,never,false,805131.0019176468,5827111.439985993,3.6047027203139117E-12,1.0,
berlin_5a16939c,3,m,medium,3000.0,never,true,806332.494648325,5827512.10749265,7.121702046850465E-15,1.0,
berlin_ecd0c464,52,m,medium,2000.0,always,false,786119.8435141057,5817257.871313771,1.2972864082260489E-22,1.0,
berlin_7e95299e,4,m,low,3000.0,never,false,803262.906337606,5823425.892311035,1.0032745090826174E-9,1.0,
berlin_4c40d375,30,f,medium,2000.0,always,false,798237.8610628434,5824415.177858926,1.5784674044035617E-4,1.0,
bb_7ab8819a,24,m,high,4600.0,always,false,799864.62,5871904.05,4.402244643050765E-86,1.0,
berlin_cbca6a4c,85,m,low,900.0,always,false,783959.0274653228,5830046.206284062,3.779501534049474E-5,1.0,
berlin_2f618faa,12,m,medium,3000.0,always,false,794394.5299827205,5817367.596043255,6.051033173538542E-20,1.0,
berlin_781aa883,33,f,high,4600.0,always,false,810167.6326180794,5832264.589986798,1.3628961176354988E-23,1.0,
bb_c80e1421,27,m,very_low,500.0,always,false,799420.26,5809928.57,5.027982641504408E-33,1.0,
berlin_641ef69f,18,m,high,4600.0,always,false,799890.5087300802,5830387.634554823,0.049489241842055526,1.0,
bb_c13e166a,75,f,low,1500.0,always,false,795404.56,5854158.19,2.342786082624452E-73,1.0,
berlin_210b7c43,10,m,medium,2000.0,never,false,794120.4647692039,5835612.282773636,1.4506574887478935E-16,1.0,
berlin_2c5c5efd,5,m,very_high,5600.0,never,false,791619.7661947333,5829670.465915657,6.952582818871465E-10,1.0,
