personId,age,sex,income,homeX,homeY,district,twalk_rawSum,pt_rawSum,car_base_rawSum,car_policy_rawSum,twalk_logSum,pt_logSum,car_logSum_base,car_logSum_policy,car_delta,car_base_logSum_no_income,base_car_delta_incomeFactor,mm_logSum_base,mm_logSum_policy,mm_delta,outcome
berlin_f839fe4a,74,m,2600,789979.5662499348,5815534.615120707,Steglitz-Zehlendorf,6.671776291851413e-30,1.0672662539129308e-4,6.473321479627319e-4,1.8095132167713217e-4,-67.17966665472582,-9.145239895721597,-7.342651028942319,-8.617282503879887,-1.2746314749375678,-7.158888544140615,-0.18376248480170343,-7.190040244248772,-8.153668942870187,-0.9636286986214149,Loser
berlin_cb3c883a,58,m,3000,784700.5608484675,5827942.28871351,Spandau,0.01964367255306534,0.06714198701968453,0.34312547495544304,0.34088680121270637,-3.9299999999999975,-2.7009456926986126,-1.0696590825140015,-1.0762048180630144,-0.006545735549012832,-1.0845790181751045,0.014919935661102945,-0.8441767555403764,-0.849397654914096,-0.005220899373719612,Loser
bb_96e90ab0,94,f,5600,815208.36,5807738.49,NA,4.750709913560507e-70,1.0964906793312613e-8,1.1668188811611984e-5,7.332880850871102e-7,-159.62266244721758,-18.328565955494575,-11.358644324086642,-14.12572719032571,-2.7670828662390683,-14.450902072164975,3.0922577480783335,-11.357705038805213,-14.110884817064756,-2.7531797782595433,Loser
berlin_25968bde,45,f,900,792395.0695711386,5827128.7932919385,Charlottenburg-Wilmersdorf,2.8954678472914397e-5,0.01637159768323587,0.02169272356421833,1.2159226724423877e-6,-10.44977876171998,-4.112207294118617,-3.8307783942891933,-13.620007368183797,-9.789228973894604,-2.350778640923747,-1.4799997533654463,-3.2677174973085745,-4.110366127746015,-0.8426486304374401,Loser
bb_acf6a3eb,64,m,900,807929.86,5808718.58,NA,3.343430706899566e-56,3.5279459250574586e-8,9.843873023373954e-12,1.9921345496459532e-14,-127.73776777008916,-17.159964933289952,-25.344171882368144,-31.546984600032307,-6.2028127176641625,-13.348020937569276,-11.996150944798869,-17.159685946589434,-17.15996436861747,-2.784220280354077e-4,Loser
bb_1963fab0,35,f,1500,776241.45,5803596.96,NA,2.8568796977018097e-36,1.651395139132165e-7,8.621594705191024e-8,3.711013312874639e-8,-81.84333333333333,-15.616475181444466,-16.266410675785057,-17.10937577447138,-0.8429650986863244,-12.199589760456504,-4.066820915328552,-15.196397720506639,-15.4137630261665,-0.217365305659861,Loser
berlin_9080ddfa,33,m,1500,805063.0150801318,5833865.596722153,Lichtenberg,1.1307239127439528e-14,5.767416974106362e-4,0.00155628069206619,2.4530481626114294e-4,-32.11333324356181,-7.458116056487566,-6.465456476136128,-8.313008972725669,-1.8475524965895405,-5.129323445490253,-1.3361330306458754,-6.15021534283534,-7.103713578519865,-0.953498235684525,Loser
bb_2b1005f5,58,m,2600,779824.34,5812132.62,NA,1.3298322442285687e-39,4.5701779692917375e-5,8.183982100656648e-6,1.896554770136988e-6,-89.51576582464843,-9.993373317870132,-11.71333171643163,-13.175471596647338,-1.462139880215707,-11.406736571935292,-0.3065951444963382,-9.828644274619586,-9.952712787611041,-0.12406851299145494,Loser
bb_24ac8ad7,51,f,500,786760.81,5850713.06,NA,1.097352482729927e-50,1.9342638122034568e-14,2.9761852871685747e-18,3.947336428308039e-18,-115.03635420486039,-31.576464506637294,-40.35588929838677,-40.07349064438443,0.28239865400234265,-12.866034070115942,-27.489855228270827,-31.57631065190847,-31.576260453101103,5.0198807368673215e-5,Winner
berlin_f79dbf60,42,f,2000,793640.6057500334,5828352.934636382,Mitte,2.525458875466026e-5,0.00832365005317225,0.0702064690502454,2.0214635859127127e-6,-10.58650268589649,-4.788654412039404,-2.6563148204831823,-13.111688761427427,-10.455373940944245,-2.353333457731102,-0.3029813627520803,-2.5439515055170365,-4.785382835429666,-2.2414313299126296,Loser
berlin_90031f53,13,m,3600,801695.012642959,5822920.487408079,Neukölln,2.21977909254108e-8,0.0035193541371301,0.05322085226049966,8.081000829982154e-5,-17.623273060883793,-5.649477789977196,-2.9333049996468796,-9.42340973501107,-6.4901047353641905,-3.1684159432240055,0.23511094357712592,-2.8692718207864827,-5.6267696728538885,-2.757497852067406,Loser
berlin_5f8e99c0,66,m,2000,795092.0574580375,5821967.707878043,Tempelhof-Schöneberg,8.760457704037105e-14,0.00285994413281744,0.01908688857070035,0.00347383551944543,-30.065943149013982,-5.856953188321083,-3.958753641919655,-5.662495958442571,-1.7037423165229164,-3.419666527772519,-0.5390871141471361,-3.8191324458359284,-5.061858119543041,-1.2427256737071128,Loser
berlin_3068d9eb,54,m,3000,801073.8240913561,5822054.088280387,Neukölln,9.270724863286134e-10,0.01122938807951211,0.02748176650274552,2.3941665761230597e-4,-20.798989358890477,-4.489221001519426,-3.594232530479163,-8.337305186591408,-4.743072656112245,-3.684369460495699,0.090136930016536,-3.251627464429154,-4.468124480185119,-1.216497015755965,Loser
berlin_58e3499b,26,f,2000,791992.390156898,5833107.336594723,Reinickendorf,3.0194611863807685e-12,3.682055416043864e-4,0.00322819181833956,3.136242937745922e-4,-26.525942715565343,-7.906869238750618,-5.735833107062493,-8.067314805094995,-2.331481698032502,-5.007506096777301,-0.7283270102851915,-5.627822667097333,-7.2907304350666715,-1.6629077679693385,Loser
berlin_58f72f03,29,f,2600,799547.8975327075,5813730.323130393,Tempelhof-Schöneberg,2.3273836796459127e-25,7.527250487045604e-5,1.0118497099172184e-4,3.1362963014326902e-6,-56.719882572452555,-9.494395631001295,-9.19856032012625,-12.672467976064214,-3.473907655937964,-8.980321793630667,-0.21823852649558262,-8.64243064057854,-9.453574377063058,-0.8111437364845173,Loser
berlin_5ded63d2,79,m,1500,789726.3996538953,5833794.241005041,Reinickendorf,6.782499202619227e-22,0.00136515818617426,0.00034294557284895977,1.3238116345155708e-4,-48.74252639788249,-6.5964849697524794,-7.9779388031299385,-8.929825194586048,-0.9518863914561093,-6.168292929676967,-1.809645873452972,-6.372371436618261,-6.503931951441225,-0.13156051482296416,Loser
berlin_3cecc0e1,62,f,900,799114.8129079381,5830531.287387864,Pankow,1.04638399399506e-4,0.03327848173456675,0.04239058688249475,0.00383144343982241,-9.164999966630917,-3.4028442850263247,-3.1608289488798667,-5.564513669551743,-2.403684720671876,-1.960356981444837,-1.2004719674350297,-2.580003919641972,-3.291055100397735,-0.7110511807557631,Loser
bb_1983ce06,67,m,2600,779761.81,5812141.6,NA,2.4232702546597123e-51,4.5701779692917375e-5,6.014475613070199e-6,1.5542778547300084e-6,-116.54672176987181,-9.993373317870132,-12.02134139220997,-13.374499522304019,-1.353158130094048,-11.664594414898152,-0.35674697731181837,-9.869738409891687,-9.959929710175095,-0.09019130028340783,Loser
berlin_366e9c7f,48,m,2600,790361.1100624225,5827555.120073536,Charlottenburg-Wilmersdorf,3.1756450211036255e-6,0.00916643132158831,0.06298665994305111,0.01049343542025781,-12.659999789999945,-4.692207237315852,-2.7648323219478486,-4.557005415407153,-1.7921730934593048,-2.699626577213418,-0.06520574473443075,-2.628921138079567,-3.9290144261407014,-1.3000932880611344,Loser
