scenario,income,mode,median_accessibility
Base,500,Walking,-39.81843925727526
Base,500,Public transport,-8.465386085707824
Base,500,Car,-15.010666194568849
Base,500,Multimodal,-8.458787632046267
Base,900,Walking,-36.17248399099979
Base,900,Public transport,-7.856780607153087
Base,900,Car,-9.320501257446644
Base,900,Multimodal,-7.38895614286387
Base,1500,Walking,-36.37584350032501
Base,1500,Public transport,-7.673238567384737
Base,1500,Car,-6.961302910721666
Base,1500,Multimodal,-6.389287736453724
Base,2000,Walking,-37.159657105944945
Base,2000,Public transport,-7.856780607153087
Base,2000,Car,-6.336697047497243
Base,2000,Multimodal,-6.021490162551675
Base,2600,Walking,-33.44772560936016
Base,2600,Public transport,-7.510228537334157
Base,2600,Car,-5.312130780852106
Base,2600,Multimodal,-5.182158207891328
Base,3000,Walking,-34.76832250610627
Base,3000,Public transport,-7.674297418161526
Base,3000,Car,-5.301693120592059
Base,3000,Multimodal,-5.159986053287255
Base,3600,Walking,-34.05183102072684
Base,3600,Public transport,-7.7552358902669845
Base,3600,Car,-4.986026333922149
Base,3600,Multimodal,-4.857564333386147
Base,4600,Walking,-32.53885098304825
Base,4600,Public transport,-7.595459993914447
Base,4600,Car,-4.558841053576232
Base,4600,Multimodal,-4.49522344086968
Base,5600,Walking,-29.9342071406721
Base,5600,Public transport,-7.396624233855622
Base,5600,Car,-3.9868368375199394
Base,5600,Multimodal,-3.9222247990976404
Policy,500,Walking,-39.81843925727526
Policy,500,Public transport,-8.465386085707824
Policy,500,Car,-19.46574801989465
Policy,500,Multimodal,-8.464539083319453
Policy,900,Walking,-36.17248399099979
Policy,900,Public transport,-7.856780607153087
Policy,900,Car,-14.562429193399883
Policy,900,Multimodal,-7.614885700411871
Policy,1500,Walking,-36.37584350032501
Policy,1500,Public transport,-7.673238567384737
Policy,1500,Car,-11.730320084652972
Policy,1500,Multimodal,-7.20223172883965
Policy,2000,Walking,-37.159657105944945
Policy,2000,Public transport,-7.856780607153087
Policy,2000,Car,-10.751178531160452
Policy,2000,Multimodal,-7.132014904279041
Policy,2600,Walking,-33.44772560936016
Policy,2600,Public transport,-7.510228537334157
Policy,2600,Car,-9.682708310977278
Policy,2600,Multimodal,-6.538307631379569
Policy,3000,Walking,-34.76832250610627
Policy,3000,Public transport,-7.674297418161526
Policy,3000,Car,-9.523535484460826
Policy,3000,Multimodal,-6.624204793878517
Policy,3600,Walking,-34.05183102072684
Policy,3600,Public transport,-7.7552358902669845
Policy,3600,Car,-9.208879043093898
Policy,3600,Multimodal,-6.498202643581952
Policy,4600,Walking,-32.53885098304825
Policy,4600,Public transport,-7.595459993914447
Policy,4600,Car,-8.614626293647124
Policy,4600,Multimodal,-6.094991262967172
Policy,5600,Walking,-29.9342071406721
Policy,5600,Public transport,-7.396624233855622
Policy,5600,Car,-8.236460728854368
Policy,5600,Multimodal,-5.787352073034537
