personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_6b395af5,28800.0,car,56,f,medium,2600.0,true,793800.6378810212,5827995.438110165,-2.639768460468603,
berlin_630756d0,28800.0,car,60,m,low,1500.0,false,792238.3303360925,5826544.83569408,-4.243345527417159,
berlin_2f08b1c6,28800.0,car,53,f,medium,2600.0,false,809244.8588647352,5834359.326937625,-12.393737030247477,
berlin_cf54bb73,28800.0,car,22,f,very_low,900.0,false,812733.0284703062,5831156.871795907,-13.723844061922534,
berlin_845a9451,28800.0,car,57,f,high,3600.0,false,810801.7175230123,5828532.6559626125,-13.780935033062242,
berlin_23d33fa9,28800.0,car,11,m,high,3600.0,false,810282.9857563969,5815827.161862587,-15.144222822978351,
berlin_ebd71eb6,28800.0,car,16,m,very_low,1500.0,false,779510.7219292817,5827772.953760926,-12.031688441277016,
bb_d747e423,28800.0,car,10,m,medium,3600.0,false,813842.35,5830761.82,-14.720310784577567,
bb_b2b910c7,28800.0,car,12,m,medium,3000.0,false,785553.64,5809546.06,-14.7798065972275,
berlin_420b8932,28800.0,car,6,m,high,3600.0,false,800618.56991766,5832062.6924325,-6.487657775150806,
berlin_228731f6,28800.0,car,98,m,medium,2000.0,false,801484.8653567611,5821333.129781021,-9.667090952699551,
berlin_2842183c,28800.0,car,92,m,medium,1500.0,true,798990.0713325697,5814077.230326383,-12.0299510094846,
berlin_ec373d2c,28800.0,car,54,f,medium,1500.0,true,803083.523550357,5818463.944167391,-11.063439594095193,
berlin_cb445657,28800.0,car,66,m,medium,2600.0,false,802005.3468658646,5817462.026571288,-11.628012559230788,
bb_486bd131,28800.0,car,50,m,medium,2600.0,false,805893.82,5845031.98,-13.397873592740837,
bb_bcce5ef4,28800.0,car,58,m,high,3600.0,false,784454.08,5841280.62,-11.568605829272153,
bb_ec2f846c,28800.0,car,36,f,high,3600.0,false,789113.4,5803435.24,-18.112928158328682,
bb_5b3bbef8,28800.0,car,31,m,very_high,5600.0,false,826727.34,5823011.62,-23.509285281239727,
berlin_67cab7c9,28800.0,car,39,f,medium,3600.0,false,793691.8705972203,5835178.635134037,-6.706938592756329,
berlin_0547a1f1,28800.0,car,37,f,very_low,499.0,false,795709.6755320744,5828261.189014403,-1.6019314954187567,
bb_e83b7ce1,28800.0,car,14,f,low,2000.0,false,781428.81,5812158.72,-15.067357272486845,
berlin_d7cfb08c,28800.0,car,37,f,very_high,5600.0,false,799102.3687106203,5824851.208754496,-5.850393818213872,
berlin_5e78cfab,28800.0,car,83,m,low,1500.0,true,790028.984939158,5819204.518582393,-9.16251104811374,
bb_90c4a3d5,28800.0,car,72,f,low,900.0,true,768443.72,5820894.0,-19.767253368577666,
berlin_8c94f1b3,28800.0,car,40,f,very_high,5600.0,false,798249.0123418289,5831581.428071434,-4.9338231702083375,
berlin_907595e6,28800.0,car,9,m,medium,3000.0,false,811059.8625320608,5830457.817377183,-12.863208641932255,
berlin_092ae5a7,28800.0,car,98,m,very_low,500.0,false,808652.903538305,5816044.588112812,-14.464741110476002,
berlin_3e35369f,28800.0,car,4,m,very_high,5600.0,false,798378.3150633082,5813906.19498354,-11.762993121511201,
