personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_259a532f,28800.0,car,29,f,low,2000.0,false,811229.4509854983,5831248.391635201,-13.942462222295555,
bb_9f5fdc42,28800.0,car,48,f,medium,3600.0,false,776663.71,5831692.79,-13.36494214665714,
berlin_268418f8,28800.0,car,64,f,medium,2000.0,false,797567.4904510687,5828983.470706277,-3.1778897503026537,
berlin_79bf418d,28800.0,car,96,m,medium,2600.0,true,810005.9163105423,5823633.845010706,-13.435312874172162,
berlin_ceb11c5d,28800.0,car,30,f,high,4600.0,false,784143.3689149491,5816489.795869407,-10.663235589299083,
berlin_d7c71d08,28800.0,car,43,f,high,3000.0,false,798925.6833024689,5831723.816149818,-5.297469240903803,
berlin_d7cc2900,28800.0,car,16,m,low,1500.0,false,808789.2853059793,5827759.929154069,-13.542065368835864,
berlin_752c2b2a,28800.0,car,74,m,medium,1500.0,false,806178.1582695084,5826293.088079953,-11.87385966339269,
bb_7512680b,28800.0,car,51,m,low,2000.0,false,807794.81,5842742.67,-15.411239771962494,
berlin_12abf13a,28800.0,car,53,f,low,900.0,false,803869.0383391196,5823321.490650153,-14.308790371320654,
berlin_fcae33e3,28800.0,car,77,m,medium,2000.0,true,786274.8667275263,5836858.5716984505,-10.946226549588259,
berlin_ac57bb84,28800.0,car,7,m,low,2000.0,false,801587.169516372,5825677.550487409,-7.442771474421695,
berlin_a050c206,28800.0,car,14,m,high,4600.0,false,805372.3523077397,5817852.381772622,-10.568817497511317,
berlin_cedbaa9f,28800.0,car,39,f,very_low,1500.0,false,790576.0506996622,5826519.219784356,-6.59276967458598,
berlin_319f9ea3,28800.0,car,18,m,very_low,499.0,false,797417.7471473669,5825285.927189834,-8.31303540471697,
berlin_8412a89f,28800.0,car,36,f,very_high,5600.0,false,808872.1972726434,5834007.389071192,-10.625214527459798,
berlin_f55f1406,28800.0,car,18,f,medium,4600.0,false,800530.2176257267,5828515.630297431,-5.191907049310215,
berlin_2bacfcdd,28800.0,car,66,m,medium,3000.0,false,805316.2253890729,5828098.3046283135,-7.800966026901667,
berlin_48459800,28800.0,car,45,f,medium,3600.0,false,805019.4374765665,5826313.131430099,-8.145200553431563,
berlin_57d8af40,28800.0,car,90,m,low,1500.0,false,780349.6437264753,5819662.717761364,-18.146696202525217,
berlin_6d72e520,28800.0,car,60,f,high,3600.0,false,782282.6738635608,5827150.211043772,-9.821768411943978,
berlin_0f9ffdb5,28800.0,car,14,m,very_low,900.0,false,796013.1215525848,5835190.6363624865,-9.324637680638265,
berlin_4a7e1713,28800.0,car,13,m,medium,3600.0,false,806316.4006203956,5823823.825952541,-9.881947127296181,
bb_8b76e068,28800.0,car,43,f,high,3600.0,false,789362.64,5845739.16,-12.38264054040236,
bb_dcb40df8,28800.0,car,37,f,medium,2000.0,false,791272.43,5813602.22,-13.887597066132018,
berlin_e10db4af,28800.0,car,50,f,medium,2600.0,false,798051.0744085009,5830427.119450777,-4.183892162998327,
berlin_a77a41b9,28800.0,car,37,m,medium,2000.0,false,784643.2367656932,5826871.105867804,-10.320650723708717,
berlin_42481719,28800.0,car,61,f,low,1500.0,false,792087.3913780819,5833306.549743111,-7.555071677042666,
berlin_ae839706,28800.0,car,78,m,medium,2000.0,false,808999.1382956882,5831981.582794945,-12.69861126793258,
bb_b2665d70,28800.0,car,72,m,high,2600.0,true,783799.05,5853049.25,-15.849527736635947,
berlin_1fdcf4f7,28800.0,car,12,m,low,3000.0,false,795063.8379384719,5828934.999573886,-1.9869160545965732,
berlin_a279a426,28800.0,car,41,f,high,3600.0,false,785758.8677212326,5817312.727030611,-9.86088719752371,
berlin_90a3a0dc,28800.0,car,46,f,low,900.0,true,794518.4588520842,5816731.299045339,-16.10609079779532,
berlin_de84e04d,28800.0,car,91,m,medium,1500.0,true,801051.0498039427,5827597.152694293,-7.047860607371818,
bb_cbb22a4d,28800.0,car,68,f,low,900.0,false,789158.16,5812212.26,-22.380040864737566,
berlin_7526f516,28800.0,car,41,f,low,3000.0,false,795272.918594407,5824365.727447287,-4.076505493345848,
berlin_eb88ca48,28800.0,car,8,m,very_high,5600.0,false,792333.0860488582,5824633.066809641,-4.720020463473057,
berlin_25c1bf91,28800.0,car,30,f,medium,1500.0,false,796627.4679870423,5824548.525567837,-5.399127372214742,
berlin_e8ef9c17,28800.0,car,14,m,low,2600.0,false,786106.5259006673,5837691.256691569,-10.209393066946443,
berlin_5c343862,28800.0,car,81,m,low,1500.0,false,805296.3400294181,5827783.197004645,-10.31911070068993,
berlin_4fe213a5,28800.0,car,33,f,very_high,5600.0,false,793718.3605913845,5829082.61368556,-2.925889124643232,
berlin_feade29a,28800.0,car,1,m,very_low,1500.0,false,800788.4216468292,5821306.663837988,-10.50176328731713,
berlin_f9d266f9,28800.0,car,18,f,very_low,900.0,false,780409.7551787453,5827247.428423035,-19.51151606990192,
berlin_d45cce05,28800.0,car,2,m,low,1500.0,false,792768.5623446824,5833060.369123146,-6.697818167411899,
bb_a70e841e,28800.0,car,58,m,medium,1500.0,false,760715.36,5811772.32,-32.91614866624411,
berlin_bc8de399,28800.0,car,55,f,very_high,5600.0,true,803463.7718357365,5827368.661456157,-5.950305429324475,
berlin_910b5d33,28800.0,car,98,m,very_high,5600.0,false,795311.2530019998,5836578.069745018,-6.314936802786395,
berlin_382f9da1,28800.0,car,52,f,high,4600.0,false,782896.1361069494,5828177.348327919,-9.211105735159311,
berlin_f9a94387,28800.0,car,76,m,high,4600.0,false,791353.7076148626,5826787.099599164,-4.541000075382623,
bb_5bc86d88,28800.0,car,48,m,high,3600.0,false,805046.55,5794056.68,-20.610742150908646,
berlin_7cecd19b,28800.0,car,59,f,medium,2600.0,false,808991.9653224899,5832636.359612195,-11.806431467441127,
bb_fb713b79,28800.0,car,63,f,very_low,500.0,false,787514.26,5804288.8,-51.49115969819972,
berlin_83360204,28800.0,car,34,f,high,3600.0,false,794224.0160060911,5824550.3126682965,-4.171812198028343,
bb_f0769ba5,28800.0,car,97,m,medium,1500.0,false,822092.37,5830544.43,-24.855198488970842,
bb_e43610e8,28800.0,car,49,m,medium,3600.0,true,801232.23,5805804.09,-16.81738346067664,
berlin_720f589a,28800.0,car,27,m,very_low,900.0,false,808178.4644512262,5825760.979193198,-17.802552351661404,
berlin_1a2d3281,28800.0,car,57,m,very_low,500.0,true,802239.5474623537,5822935.286083683,-17.69294072508048,
berlin_712f7406,28800.0,car,15,m,medium,3600.0,false,787745.6618999096,5829854.785608444,-6.543268783329361,
bb_173ce538,28800.0,car,38,m,low,2000.0,false,790007.53,5803561.06,-20.34029956283681,
berlin_3db57a69,28800.0,car,43,m,medium,2600.0,false,812283.5103095155,5821385.6715181675,-15.496614732590261,
bb_c561e787,28800.0,car,12,m,low,2000.0,true,816182.06,5802036.97,-23.282646055191588,
berlin_c5fffff0,28800.0,car,39,f,low,900.0,false,813646.232030963,5828465.527351239,-23.548670226536373,
bb_101a16c3,28800.0,car,30,m,medium,3000.0,false,821249.35,5783519.32,-25.604107864564522,
berlin_b67a1f07,28800.0,car,31,f,high,4600.0,false,798566.0748874395,5825035.477341148,-4.3325286420267926,
bb_7511c957,28800.0,car,35,m,high,3600.0,false,780273.43,5813174.78,-13.872471472088128,
berlin_41ba303d,28800.0,car,18,f,very_low,500.0,false,798053.200944522,5836113.121866186,-16.317675348999533,
berlin_3c55114b,28800.0,car,30,f,medium,3600.0,false,795897.2266721855,5816884.651150841,-9.22493627620291,
berlin_3fa5e912,28800.0,car,38,f,very_high,5600.0,false,793455.4776091253,5819006.1040973505,-6.932614448266482,
berlin_90f608b3,28800.0,car,34,f,high,4600.0,false,791964.011213399,5827556.983386244,-3.743877585310553,
berlin_5c425f88,28800.0,car,52,f,high,4600.0,false,786821.9620848802,5836915.77722198,-8.299445890363897,
berlin_88a5d67b,28800.0,car,80,m,medium,2000.0,false,798781.8250167568,5833865.7159064235,-7.241883916648578,
berlin_5e8d2b8f,28800.0,car,86,m,high,2600.0,true,803888.7031928257,5827654.688698409,-7.483742255096059,
berlin_5536ca8b,28800.0,car,46,f,very_high,5600.0,false,807716.3898954506,5828390.682764806,-9.44750142727683,
berlin_59092b02,28800.0,car,98,m,medium,2000.0,true,799777.7581428654,5831684.2425365895,-6.153247500708622,
berlin_371b8350,28800.0,car,76,m,very_high,5600.0,false,795814.8033102556,5820496.331659368,-6.125345150957664,
berlin_f89cb34f,28800.0,car,23,f,medium,2000.0,false,789471.3386352286,5817741.680669654,-11.286571544492379,
bb_08a42cd3,28800.0,car,31,f,medium,3000.0,false,801508.86,5802584.05,-19.252552077950153,
berlin_9316af61,28800.0,car,34,f,low,2600.0,false,803479.9468184747,5827768.432031545,-6.967444649045731,
berlin_41d07942,28800.0,car,35,m,high,4600.0,false,800942.8165076307,5828077.618526453,-5.030862775436036,
berlin_eebcdf86,28800.0,car,48,f,low,1500.0,false,797483.5748890559,5831397.008297288,-4.683213620959868,
bb_db588079,28800.0,car,11,m,very_low,900.0,true,773817.3,5814863.68,-34.36885230056904,
berlin_5d59f5b5,28800.0,car,11,m,medium,3600.0,false,800767.9258702808,5836044.466225255,-7.78091817459519,
berlin_422b6305,28800.0,car,46,f,very_low,1500.0,false,797414.4346641221,5820601.695975737,-8.858519652008036,
berlin_a4c228a5,28800.0,car,28,f,low,1500.0,false,806982.2532452063,5824057.026292932,-13.166092704210865,
bb_a4268dfc,28800.0,car,84,m,low,1500.0,false,812935.12,5812426.18,-22.247730547375358,
bb_096744b9,28800.0,car,67,f,high,3000.0,false,776656.12,5811814.77,-15.969380542804924,
berlin_1a123b0c,28800.0,car,6,m,medium,3000.0,false,791788.6654184158,5827551.148420676,-4.158652903254526,
bb_03003770,28800.0,car,53,m,medium,1500.0,false,822702.04,5822125.77,-26.11639115282466,
berlin_d71d8fc3,28800.0,car,62,f,high,3000.0,false,801766.2632639089,5824088.326696547,-6.876059181846529,
berlin_4a7a7bdc,28800.0,car,26,m,medium,1500.0,false,799845.3106204045,5830396.412021099,-6.224555333811133,
berlin_5f6ce57c,28800.0,car,30,f,high,4600.0,false,803217.9711696343,5837949.633955441,-9.396998699426584,
bb_d5711f75,28800.0,car,54,m,low,900.0,false,778625.07,5812701.29,-29.312253135073487,
berlin_d9dc9f2d,28800.0,car,63,f,low,900.0,false,801070.2591736293,5822690.385047331,-11.564924232924971,
berlin_d7ca09e0,28800.0,car,30,f,high,3600.0,false,795396.7478653034,5831245.939484199,-3.903729093328439,
berlin_b676cc55,28800.0,car,19,f,low,900.0,false,800468.5801880355,5838159.854520629,-15.058530606480376,
bb_5e312999,28800.0,car,11,m,very_low,2000.0,false,787125.94,5854245.19,-19.30952732734226,
berlin_25fb3f32,28800.0,car,16,m,high,5600.0,false,806246.7318939114,5834126.755888817,-9.410110430594752,
