personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_8d4d9441,28800.0,car,5,m,high,3600.0,false,806380.6219394701,5816361.764302611,-22.88000638320421,
bb_e919093d,28800.0,car,7,m,medium,3000.0,false,786084.25,5850767.25,-17.660642641288753,
berlin_17ccea35,28800.0,car,34,f,very_low,500.0,false,794542.0483210327,5815846.496152623,-20.550029838210797,
bb_fb3a0ef8,28800.0,car,43,m,high,3600.0,false,789355.75,5804077.07,-24.160101562502806,
bb_e5b79c25,28800.0,car,18,m,low,900.0,false,798297.97,5868323.21,-29.20701678871142,
berlin_3d61d581,28800.0,car,72,m,very_high,5600.0,false,806840.9111235603,5821009.55072029,-21.39655358315231,
berlin_19ec2f24,28800.0,car,6,m,very_high,5600.0,false,794769.335628962,5816497.601498412,-20.071418840634323,
berlin_c70d3e9a,28800.0,car,49,f,high,4600.0,false,811030.4398710807,5830527.340445863,-17.799848316372287,
berlin_74e56fa4,28800.0,car,75,m,medium,2000.0,false,798840.4521168545,5824926.365383899,-35.86039917209546,
berlin_03c622a0,28800.0,car,4,m,high,4600.0,false,803870.9460091874,5828894.6077978015,-12.08877867990991,
bb_a0a538f3,28800.0,car,61,m,very_low,499.0,false,771262.98,5828696.94,-22.18092685819584,
berlin_26dc1da6,28800.0,car,25,f,very_high,5600.0,false,799838.6295407685,5831201.483052389,-8.768639091793721,
berlin_4c28a36a,28800.0,car,38,f,medium,2000.0,false,795057.6814779674,5825560.909724154,-24.79636413553981,
bb_f7a01216,28800.0,car,67,f,medium,2000.0,false,777082.51,5851561.05,-19.58808254421581,
berlin_4bf58624,28800.0,car,54,f,high,3000.0,false,803383.2027617369,5826865.2983634295,-14.877600556958898,
berlin_2e15bd8b,28800.0,car,50,f,high,4600.0,false,793880.1468436948,5835845.129063463,-8.702596603910278,
berlin_d51fa280,28800.0,car,39,m,medium,2000.0,false,797727.4114433418,5824790.117048963,-31.864745268822425,
berlin_29e5dc39,28800.0,car,33,m,medium,3000.0,false,799220.7635170687,5830493.655212873,-9.60889576355314,
bb_387a1091,28800.0,car,43,m,very_low,1500.0,false,823690.24,5829713.94,-24.944827209465267,
berlin_9c3c83da,28800.0,car,76,m,very_low,500.0,false,796408.2804458197,5834287.421563327,-7.9071474587891295,
berlin_791ff129,28800.0,car,12,m,very_low,2000.0,false,808271.1799427306,5829460.585400249,-16.169558719560435,
berlin_ead98bc4,28800.0,car,31,m,high,5600.0,false,800534.5589439395,5824348.617426469,-29.166879680912544,
berlin_a8a040f1,28800.0,car,18,f,medium,2000.0,false,796911.1758816779,5824127.432231724,-27.75330777044481,
bb_a921f6c5,28800.0,car,37,f,medium,2000.0,false,779362.07,5807590.36,-23.083854216029266,
berlin_4a5a5862,28800.0,car,60,f,high,3600.0,false,808875.8862403992,5829345.685472629,-16.167266228689225,
berlin_f76925b8,28800.0,car,97,m,medium,1500.0,false,793847.2259741079,5816671.034201658,-19.77027825613692,
berlin_69079283,28800.0,car,18,m,very_low,900.0,false,792490.814569489,5824802.032831805,-26.62290306997979,
bb_5cdf2102,28800.0,car,56,m,low,2000.0,false,788252.74,5848535.28,-17.97809024564105,
berlin_3b5667a0,28800.0,car,46,f,medium,3000.0,false,804713.280754309,5815623.286606389,-23.240393309500128,
berlin_09e635f9,28800.0,car,63,f,high,2600.0,false,804739.996710184,5823203.3055114765,-20.869274195066147,
berlin_2782ff30,28800.0,car,7,m,very_high,5600.0,false,799824.9211850275,5833726.591196909,-8.672689057150494,
berlin_3123ee84,28800.0,car,92,m,medium,1500.0,false,790770.1542724851,5822102.555659629,-16.25304785041538,
berlin_7bdb791a,28800.0,car,52,f,high,3600.0,false,791433.0230344819,5829246.640645391,-11.438392080067606,
berlin_ba828a5c,28800.0,car,92,m,medium,2600.0,false,801575.787300376,5821093.216381372,-20.64641972992748,
berlin_d2006609,28800.0,car,39,f,very_high,5600.0,false,798676.6513499347,5829104.65762174,-15.784299087707248,
berlin_7f4c1458,28800.0,car,27,m,medium,2000.0,false,800361.7023615977,5821915.110778007,-19.316796025574206,
bb_9d729ed5,28800.0,car,56,f,high,4600.0,true,806222.97,5813780.99,-25.283124445458697,
bb_5af25ad6,28800.0,car,30,f,medium,2600.0,false,781488.36,5811705.41,-21.717554195552268,
berlin_edf98f3f,28800.0,car,25,m,very_low,900.0,false,794465.3997115821,5836105.214492285,-8.832802151369009,
berlin_8e88da06,28800.0,car,35,f,very_low,1500.0,false,803546.3366516655,5827216.815637509,-14.511060845086076,
bb_45219a47,28800.0,car,17,m,medium,3000.0,false,777274.03,5830174.85,-19.459790049941557,
berlin_83064aa3,28800.0,car,47,f,medium,3600.0,false,792972.4509506697,5818582.659716159,-18.30625363893417,
berlin_0dc4dcda,28800.0,car,17,m,medium,2600.0,false,801987.1110818323,5824960.687693901,-23.46869695673038,
berlin_6b789eb5,28800.0,car,12,m,high,4600.0,false,799309.1093909442,5825547.44349324,-38.72857284457107,
berlin_48de86cd,28800.0,car,95,m,high,3600.0,false,793662.755840201,5821510.504810149,-16.741692209377955,
bb_889bd1e8,28800.0,car,1,f,medium,2600.0,false,777384.83,5812730.2,-22.540424065373408,
berlin_f352417b,28800.0,car,36,f,very_low,1500.0,false,804459.975353353,5830177.707783212,-12.597814657346506,
berlin_ce0ed0b2,28800.0,car,50,f,low,1500.0,true,791822.8112911473,5827839.079553506,-14.673282334752981,
berlin_bac5a053,28800.0,car,54,f,very_high,5600.0,false,784624.2593519054,5830386.076640392,-15.146917296038485,
berlin_ce7ab8e8,28800.0,car,19,f,very_low,900.0,false,798202.5421248125,5831001.307612118,-9.229488100439697,
berlin_1ae93698,28800.0,car,19,f,very_low,500.0,false,804535.559635815,5838867.436051898,-14.433313263090882,
berlin_9a76a08d,28800.0,car,31,f,high,3600.0,false,803904.1339043711,5827142.146457915,-14.46290257375772,
berlin_74312902,28800.0,car,27,f,high,3600.0,false,811557.0166416097,5829599.76550429,-18.764340261122786,
bb_a2384b4c,28800.0,car,51,m,high,3600.0,false,777391.9,5812949.48,-22.631213921462297,
berlin_8f3be12f,28800.0,car,39,f,low,900.0,false,805495.775237055,5833058.525042835,-12.65555736910449,
berlin_f0179c8f,28800.0,car,10,m,high,4600.0,false,800088.1302877852,5829976.419619948,-10.62436368737863,
berlin_9f438f49,28800.0,car,6,m,low,2600.0,false,806552.7974959095,5826984.420445732,-15.925641023748474,
berlin_b6d75166,28800.0,car,67,m,high,4600.0,true,806185.9119188401,5819636.527976678,-21.85704244434015,
berlin_8a649102,28800.0,car,36,f,high,3600.0,false,805695.8542299885,5817686.459036398,-22.521440276527247,
berlin_fb9c49d4,28800.0,car,57,f,medium,2600.0,false,803287.6354006666,5832576.1306027835,-11.221431762725372,
