personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_c9c5845e,28800.0,car,48,f,very_high,5600.0,false,794860.7442946185,5832895.461545245,-5.991257225627593,
berlin_0c8af863,28800.0,car,37,f,high,3600.0,false,807639.7608874552,5825478.057884513,-17.366353012629833,
berlin_8d118953,28800.0,car,21,f,low,900.0,false,795392.1079944553,5825681.618780256,-34.58183433622291,
berlin_5d2bad4b,28800.0,car,2,m,medium,3600.0,false,806305.9489242912,5822753.6927604005,-18.235196396774725,
berlin_8878bbb2,28800.0,car,30,f,low,900.0,false,796115.2546289843,5824678.278731283,-40.77042805121481,
berlin_eb05895d,28800.0,car,82,m,high,3600.0,false,802705.167457696,5829198.081723782,-11.600298563660955,
berlin_04476e1f,28800.0,car,34,f,high,5600.0,false,800694.6192669518,5823252.359345115,-21.10531517865684,
berlin_eead26ce,28800.0,car,35,m,medium,2000.0,false,812699.5498137363,5830495.769352294,-20.813455263712346,
bb_0937d788,28800.0,car,69,f,low,1500.0,false,784670.29,5840712.22,-17.84662814006556,
berlin_e7ff3df2,28800.0,car,40,m,medium,3600.0,false,801000.4821113219,5829943.923620549,-11.887368876992843,
bb_8f81c44e,28800.0,car,27,m,very_low,900.0,false,800673.21,5789493.25,-61.14956989085019,
bb_7044eeaf,28800.0,car,5,f,low,2000.0,false,775070.78,5851337.86,-22.729770328523895,
berlin_66047222,28800.0,car,47,f,medium,2000.0,false,805008.033741133,5816972.432719254,-25.036025035309923,
berlin_0c75b9f5,28800.0,car,6,m,very_low,900.0,false,798090.0410171133,5828710.474156994,-29.560538399819457,
berlin_a0ef07ec,28800.0,car,54,f,medium,3600.0,false,798725.5949603731,5817017.166854902,-19.353186282293745,
berlin_ebe02628,28800.0,car,45,f,medium,1500.0,false,812609.5020311608,5830486.715640982,-22.915514616510233,
bb_3a1f48f7,28800.0,car,34,f,high,3600.0,false,790424.63,5802697.56,-22.46810677904711,
berlin_3a2ab761,28800.0,car,86,m,medium,2600.0,false,792647.669944008,5823450.912531966,-16.476983415277598,
berlin_c0e5785d,28800.0,car,59,f,very_high,5600.0,false,797171.8519337286,5829209.912147525,-24.823507448194707,
berlin_7bda6d08,28800.0,car,85,m,very_high,5600.0,true,791046.9465568939,5826860.1836802745,-13.101003639081718,
berlin_39efd540,28800.0,car,95,m,medium,3000.0,true,796387.6102526855,5820978.275704611,-18.197064119966445,
berlin_7ef27c90,28800.0,car,44,f,very_high,5600.0,false,786738.1703067396,5838657.535444823,-10.596660523963411,
berlin_31ab829a,28800.0,car,63,f,low,1500.0,false,794109.4704769442,5836479.455011668,-10.687121491806845,
berlin_675378a8,28800.0,car,97,m,high,3600.0,false,792671.5601052743,5825713.249753925,-28.551757096193953,
berlin_28fc2b7b,28800.0,car,90,m,very_low,900.0,true,810847.3236303197,5815863.084265852,-38.80287148167088,
berlin_13f17411,28800.0,car,18,m,low,3000.0,false,796059.3528093412,5825659.693789542,-34.14705501501711,
berlin_b451af77,28800.0,car,20,f,medium,3000.0,false,792614.8618488361,5826469.407799611,-19.581182961500133,
berlin_2b8d48de,28800.0,car,32,f,high,4600.0,false,806063.4027704543,5826191.36409627,-14.511384864585747,
berlin_ad990db4,28800.0,car,62,f,medium,1500.0,true,783751.3912633096,5829780.479387506,-19.029866812371917,
berlin_6d0d522f,28800.0,car,15,m,high,4600.0,false,797317.7943767654,5823822.177841403,-27.037524814726567,
berlin_8fbd9a66,28800.0,car,11,m,high,5600.0,false,809784.5985138739,5816575.34149069,-20.99202449628891,
berlin_d58caad1,28800.0,car,44,f,very_high,5600.0,false,801256.7068298822,5831599.603390556,-8.466397322580864,
bb_4ec136cc,28800.0,car,23,f,medium,4600.0,true,787788.73,5850775.08,-16.169166257591584,
berlin_182a5a7f,28800.0,car,57,m,high,3600.0,false,797977.0097594182,5821965.991069741,-16.884974991515193,
bb_43521d50,28800.0,car,40,m,low,1500.0,false,814595.89,5803015.94,-39.607444446003136,
berlin_84c5b959,28800.0,car,33,f,very_high,4600.0,false,797803.9065913176,5820072.32251956,-16.805507822750585,
berlin_1fb591fd,28800.0,car,17,m,low,2600.0,false,795682.0737615183,5831125.2562566325,-5.1547615553346295,
berlin_2e361605,28800.0,car,54,f,medium,2000.0,false,793248.0470510803,5820921.060294302,-18.522575642914624,
berlin_53c83e6a,28800.0,car,33,f,high,3600.0,false,794251.409921125,5820657.240605611,-16.448589954394155,
berlin_75bdc520,28800.0,car,20,f,high,3600.0,false,801268.3597608795,5819931.87675114,-19.205181227014467,
berlin_e197dcad,28800.0,car,62,m,high,3600.0,false,792401.3191582919,5826241.793703242,-18.539721813909946,
berlin_c8761c04,28800.0,car,79,m,low,900.0,false,796462.8966127927,5831302.668486522,-6.639856391069919,
berlin_1a1541ca,28800.0,car,55,f,high,3600.0,false,798265.8730724315,5830766.109275774,-9.375149411459736,
bb_2db612bc,28800.0,car,32,f,very_low,900.0,false,802797.38,5858036.64,-39.06447463290059,
bb_430e3e4c,28800.0,car,42,f,medium,2600.0,false,817371.42,5825799.7,-23.142711118935175,
berlin_33927d9f,28800.0,car,85,m,medium,2000.0,false,806920.3222488795,5825096.83915697,-21.152749446519774,
bb_0ca82d97,28800.0,car,63,f,very_high,5600.0,true,766239.49,5811646.62,-24.0980575994271,
berlin_1603b5f2,28800.0,car,5,m,high,3600.0,false,818605.4984006608,5820309.336950071,-23.601771899203936,
berlin_645f92cc,28800.0,car,45,m,very_high,5600.0,false,793380.6519867335,5824910.243926018,-19.333711672248814,
berlin_ebdfcb48,28800.0,car,62,f,medium,2000.0,false,782443.9926627346,5827247.761427723,-18.478174754656482,
berlin_2ecd2dfb,28800.0,car,30,f,low,900.0,false,805181.9853871047,5842111.66034573,-23.53513973375647,
bb_2e6f14f8,28800.0,car,38,m,high,2600.0,false,816478.2,5830085.55,-21.680811782018907,
berlin_2dc37165,28800.0,car,53,f,medium,2600.0,false,803178.8352313632,5827135.174148183,-15.866971646919515,
bb_36fb658a,28800.0,car,61,f,high,3000.0,true,787487.74,5851094.6,-18.44099254782544,
bb_0a64443e,28800.0,car,58,m,very_low,900.0,false,822626.49,5820319.17,-48.15926963354991,
berlin_773dc53b,28800.0,car,62,f,medium,3000.0,false,799114.8842245336,5837786.659554252,-10.564056820894333,
berlin_10826df5,28800.0,car,31,f,very_high,5600.0,false,802001.0356486496,5830391.6870168485,-9.255489668038148,
berlin_2b187dea,28800.0,car,26,f,low,1500.0,false,797685.3215073937,5816348.364251982,-25.8770478147882,
berlin_eeb4fd8c,28800.0,car,38,f,medium,2000.0,false,794171.3697373248,5833044.625443563,-7.8881102269889345,
berlin_c4d74e59,28800.0,car,27,f,medium,2000.0,false,787287.4948558082,5818125.789656111,-20.20092611145575,
berlin_10aeba6e,28800.0,car,21,f,medium,2600.0,false,801581.2739303482,5824614.404034231,-25.309383532222647,
berlin_82e01632,28800.0,car,29,m,very_low,499.0,false,793815.2056365074,5832641.998406786,-11.31872525162923,
berlin_b21a5f22,28800.0,car,34,f,high,4600.0,false,803837.9114275996,5818227.332501647,-18.978225054971478,
bb_4bb7ef41,28800.0,car,5,f,high,3600.0,false,784396.61,5839119.47,-14.060899396285256,
berlin_b07b2c6e,28800.0,car,7,m,high,5600.0,false,805219.3315678304,5817042.472523728,-19.07491850752244,
bb_96a845d0,28800.0,car,6,m,medium,3000.0,false,775793.14,5815580.56,-22.64528621648636,
berlin_64e22dfd,28800.0,car,61,f,medium,2000.0,false,795535.1136342492,5815621.860082174,-23.31487171589734,
berlin_6e5bdd0c,28800.0,car,62,m,very_low,500.0,true,781139.7150918769,5830440.066545518,-37.999231720909194,
berlin_b42eff11,28800.0,car,38,f,high,3600.0,false,795880.9895526015,5833765.840876728,-6.711109701613335,
berlin_dd67766c,28800.0,car,30,m,very_low,500.0,false,805136.6224064914,5828293.324249567,-27.67658343363858,
berlin_f845f170,28800.0,car,99,m,very_high,5600.0,false,800218.1198581281,5814517.98644871,-18.557696189304416,
berlin_23a52fdd,28800.0,car,29,m,high,3600.0,false,794590.6314025524,5830867.602148158,-4.847305372684027,
berlin_3949a3a7,28800.0,car,4,m,medium,3600.0,true,804522.379176036,5830851.794821648,-12.184682039288992,
berlin_b8344b7e,28800.0,car,42,f,medium,3000.0,false,790740.923667538,5826124.352552875,-13.980997371134256,
berlin_60495a8e,28800.0,car,62,f,very_low,500.0,false,784469.0913774623,5832084.267784256,-32.37941640410276,
berlin_e7f2413b,28800.0,car,5,m,very_high,5600.0,false,809790.8167149328,5834278.842018847,-14.129803334877122,
berlin_e9a650f9,28800.0,car,71,m,very_high,4600.0,false,807188.196875956,5833621.482706445,-13.391406411442688,
berlin_380a8144,28800.0,car,57,m,high,4600.0,false,812502.789341521,5821498.278930046,-20.616082425273984,
berlin_7fc0d56d,28800.0,car,71,m,very_low,900.0,true,795335.4738898347,5833072.340407485,-8.645718606003376,
bb_e12cbf4f,28800.0,car,37,f,medium,2600.0,false,782178.98,5846856.47,-17.531099226697155,
berlin_885197ed,28800.0,car,63,f,high,4600.0,false,794117.3738827163,5821899.310798163,-15.439595212435366,
berlin_7f4343ae,28800.0,car,53,f,very_low,500.0,false,795137.9122166759,5822081.616782946,-39.21502186224505,
berlin_3cac625d,28800.0,car,23,f,very_low,499.0,true,810044.0392798125,5833862.955608419,-39.26882949942548,
bb_9e8ea99c,28800.0,car,51,f,high,3600.0,false,784010.44,5839220.56,-14.32778750091519,
berlin_9d549ee6,28800.0,car,5,m,high,3600.0,false,808682.2121704598,5829888.850748761,-15.281318651409666,
berlin_6c9dc5ef,28800.0,car,61,f,medium,1500.0,false,795093.2494831672,5828749.389739012,-7.0488915819761075,
berlin_e3be235f,28800.0,car,1,m,medium,3600.0,false,794224.6291427154,5836393.786349951,-8.68041647710539,
berlin_dff6a94b,28800.0,car,41,f,medium,3000.0,false,811222.5574925992,5831685.670372223,-17.580302095476803,
bb_78d3c1f7,28800.0,car,87,f,low,1500.0,false,774256.97,5828423.58,-25.894617220670064,
berlin_99cd9b41,28800.0,car,44,f,very_high,4600.0,true,805107.3636144595,5827899.5380372815,-12.540864344975434,
berlin_327c87f8,28800.0,car,17,m,very_low,2000.0,false,798414.4197224877,5824259.848720301,-25.72919213866846,
berlin_d26ae756,28800.0,car,32,f,high,3600.0,false,801208.8539824078,5827766.786281178,-17.451452152532955,
berlin_955778f8,28800.0,car,47,f,high,4600.0,false,800194.9899486955,5813128.8852373995,-19.666781822044538,
berlin_64340955,28800.0,car,49,f,high,4600.0,false,790011.0139696668,5824014.375779402,-14.723808485576935,
berlin_1567f93c,28800.0,car,33,f,medium,3000.0,false,810560.8297556876,5823622.396171654,-19.736833669584552,
berlin_83efe974,28800.0,car,71,m,medium,2000.0,false,794834.6021875674,5827808.429205331,-10.923136450272656,
bb_94fcd2d6,28800.0,car,63,f,medium,2000.0,true,776458.7,5831227.11,-22.14873484738467,
berlin_d04aaf25,28800.0,car,43,f,very_low,2000.0,false,794033.0820999119,5824303.551735319,-22.00476388698992,
bb_0ad86771,28800.0,car,36,m,medium,3600.0,false,777229.78,5812769.13,-20.75459327537012,
berlin_4cd1d65b,28800.0,car,60,f,high,2600.0,false,798524.7220464684,5825402.953329636,-36.210742853123136,
bb_00e12396,28800.0,car,58,m,medium,2000.0,false,845091.56,5803587.68,-48.65928589480357,
berlin_1641c12d,28800.0,car,78,m,low,1500.0,false,785129.9362665978,5829228.592184075,-18.31328795009078,
berlin_2b552d93,28800.0,car,19,f,high,4600.0,false,800190.9860476246,5823164.206448033,-20.877561466725638,
berlin_5d893d55,28800.0,car,33,f,low,2600.0,false,793924.5457336884,5816237.990887596,-20.374537537780082,
bb_f0ccec5f,28800.0,car,42,f,high,3600.0,false,805842.51,5845088.94,-15.713392892111688,
berlin_68ff55a9,28800.0,car,15,m,low,1500.0,false,808667.5391829418,5833939.521768006,-18.99183235928739,
berlin_399ebef6,28800.0,car,47,m,low,3000.0,false,805059.8693511097,5841638.029927726,-15.376934585279466,
berlin_cbb4b5ac,28800.0,car,53,f,medium,3000.0,false,806856.3356993333,5822038.05339348,-20.545550824853237,
berlin_18b81bfc,28800.0,car,20,m,medium,2000.0,false,807084.4546895812,5823809.894056886,-21.022531230162695,
berlin_427c0979,28800.0,car,26,f,low,900.0,false,792835.3338636638,5825843.280631408,-36.95065810446435,
berlin_7a3ab13c,28800.0,car,40,f,low,1500.0,false,795041.0895939639,5832428.765170317,-7.007235700847188,
berlin_ece6d09e,28800.0,car,90,m,very_high,5600.0,true,804836.1857751568,5834100.041802315,-11.565994427926931,
bb_ab143764,28800.0,car,85,f,medium,2000.0,false,784023.81,5839027.24,-16.770339598045894,
bb_78c94d65,28800.0,car,95,f,low,900.0,true,787102.38,5853554.82,-33.40418054900054,
berlin_11411b9c,28800.0,car,67,m,medium,3000.0,false,801113.9739633881,5827621.912956395,-18.4704271542398,
berlin_4d91aae1,28800.0,car,2,m,medium,3600.0,false,803476.2632956121,5825482.960272646,-17.212638381046354,
berlin_468ecc02,28800.0,car,25,f,very_low,1500.0,false,794031.1193794117,5828683.802001347,-8.813860244209677,
berlin_1b1f74cc,28800.0,car,40,f,high,3600.0,false,802210.5095092991,5824744.7691599615,-21.254533997912773,
