personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_3866ab7d,28800.0,car,32,f,medium,3600.0,false,790592.3861980359,5819780.245187516,-5.425447418450033,
berlin_e3dae70e,28800.0,car,75,m,high,3000.0,false,791811.2865473767,5817028.695819852,-7.204304501908091,
berlin_a39bcb5e,28800.0,car,66,m,medium,2600.0,false,806707.0422121771,5833619.728675805,-14.18446952462475,
berlin_6614e790,28800.0,car,41,f,low,900.0,false,791094.6590829287,5818745.74764266,-9.678485782699205,
bb_ebe5feeb,28800.0,car,88,m,low,1500.0,false,825702.32,5823268.31,-33.66351955805877,
bb_e3af9310,28800.0,car,21,f,very_low,900.0,false,774706.06,5814753.07,-19.404494672512456,
berlin_dbe335b8,28800.0,car,9,m,high,5600.0,false,801275.6454280843,5824130.967145074,-13.220804835644183,
bb_abd67388,28800.0,car,3,f,very_high,5600.0,false,801802.78,5816077.73,-9.88799445798733,
berlin_70773f32,28800.0,car,17,m,very_high,5600.0,false,786049.989319399,5835110.980920116,-8.736850967467229,
berlin_5fcb70d1,28800.0,car,18,f,medium,2600.0,false,798382.0443443635,5833371.303241949,-7.748406780216159,
berlin_afe137f6,28800.0,car,5,m,low,2600.0,false,803924.8275562272,5841416.303493637,-14.985148726118148,
berlin_b83ec748,28800.0,car,17,m,low,2600.0,false,803421.732755312,5840163.876637408,-18.325109340824085,
berlin_0c74d582,28800.0,car,93,m,low,1500.0,true,806583.5462426238,5833640.107246969,-16.624580688844656,
berlin_57c5e29c,28800.0,car,17,m,low,3000.0,false,800961.0095333689,5825150.932740858,-18.24824560714401,
berlin_12702464,28800.0,car,34,m,medium,1500.0,false,794831.451485771,5830626.428732438,-5.144935362573768,
bb_73f3c439,28800.0,car,26,m,low,1500.0,false,765992.77,5811571.13,-22.445464995620505,
berlin_91943a41,28800.0,car,8,m,high,4600.0,false,797334.2542407871,5831850.374692945,-6.051630388991527,
bb_1625febc,28800.0,car,30,f,very_low,1500.0,false,783067.53,5845557.96,-14.453868763231334,
berlin_d0d5e8d0,28800.0,car,67,m,medium,3000.0,false,798442.436413643,5818541.7340802075,-8.7793530352313,
berlin_25010cd7,28800.0,car,48,f,high,3600.0,false,792696.7536823013,5833437.888343366,-7.107523482707418,
berlin_c2e962e4,28800.0,car,4,m,low,2000.0,false,795198.5993647063,5822320.972841587,-5.272316586306143,
berlin_81a6d2e0,28800.0,car,82,m,medium,1500.0,false,811784.4594789145,5820303.52639075,-20.857513930634585,
bb_b16fe655,28800.0,car,6,m,very_low,900.0,false,771003.95,5834027.34,-17.216935328539616,
berlin_86a1f320,28800.0,car,34,m,high,2600.0,false,791679.0017353755,5827586.321212164,-7.983477629916094,
berlin_5ff6d409,28800.0,car,52,f,very_high,5600.0,false,794358.4351089271,5824405.712219999,-7.559272049158806,
bb_8947b12c,28800.0,car,15,m,medium,2600.0,false,787597.86,5814959.83,-9.292660891076117,
berlin_4702a285,28800.0,car,34,f,medium,1500.0,false,797900.4056588034,5830451.410884903,-9.55328643129051,
berlin_446700d0,28800.0,car,38,f,high,3600.0,false,812975.5740305698,5831258.292057369,-17.69151209718092,
bb_40e38755,28800.0,car,50,m,medium,3000.0,false,776722.96,5829952.19,-5.549030970060651,
berlin_193ff772,28800.0,car,97,m,medium,1500.0,false,788320.8344803805,5827701.3471283205,-3.776435327591417,
