personId,sex,age_group,economic_status,restricted_mobility,income,income_bin,bezirk,access_base,access_policy,delta,changed
berlin_259a532f,f,15–29,low,No restriction,2000,2000,7,-13.942462222295555,-19.39585604962901,-5.453393827333455,TRUE
bb_9f5fdc42,f,45–59,medium,No restriction,3600,3600,NA,-13.36494214665714,-18.794746297514973,-5.429804150857832,TRUE
berlin_268418f8,f,60+,medium,No restriction,2000,2000,10,-3.1778897503026546,-26.81693417953433,-23.639044429231674,TRUE
berlin_79bf418d,m,60+,medium,Restricted mobility,2600,2600,7,-13.435312874172162,-19.945284072102464,-6.509971197930302,TRUE
berlin_ceb11c5d,f,30–44,high,No restriction,4600,4600,9,-10.663235589299084,-17.22490391245488,-6.561668323155796,TRUE
berlin_d7c71d08,f,30–44,high,No restriction,3000,3000,4,-5.297469240903803,-7.612118700314925,-2.3146494594111218,TRUE
berlin_d7cc2900,m,15–29,low,No restriction,1500,1500,7,-13.542065368835862,-20.879159595473094,-7.337094226637232,TRUE
berlin_752c2b2a,m,60+,medium,No restriction,1500,1500,6,-11.873859663392691,-19.548713912042217,-7.674854248649526,TRUE
bb_7512680b,m,45–59,low,No restriction,2000,2000,NA,-15.411239771962494,-18.45264004074071,-3.041400268778217,TRUE
berlin_12abf13a,f,45–59,low,No restriction,900,900,3,-14.308790371320654,-32.58649162014576,-18.277701248825103,TRUE
berlin_fcae33e3,m,60+,medium,Restricted mobility,2000,2000,1,-10.94622654958826,-13.818465387465672,-2.8722388378774113,TRUE
berlin_ac57bb84,m,<15,low,No restriction,2000,2000,11,-7.442771474421696,-26.96908469387186,-19.526313219450163,TRUE
berlin_a050c206,m,<15,high,No restriction,4600,4600,5,-10.568817497511317,-19.546168699253133,-8.977351201741817,TRUE
berlin_cedbaa9f,f,30–44,very_low,No restriction,1500,1500,2,-6.59276967458598,-16.438418393653226,-9.845648719067245,TRUE
berlin_319f9ea3,m,15–29,very_low,No restriction,499,499,11,-8.31303540471697,-54.10349698786034,-45.79046158314337,TRUE
berlin_8412a89f,f,30–44,very_high,No restriction,5600,5600,7,-10.6252145274598,-14.415763150035616,-3.790548622575816,TRUE
berlin_f55f1406,f,15–29,medium,No restriction,4600,4600,11,-5.191907049310214,-15.4747195236543,-10.282812474344087,TRUE
berlin_2bacfcdd,m,60+,medium,No restriction,3000,3000,6,-7.800966026901667,-13.458119338535774,-5.657153311634106,TRUE
berlin_48459800,f,45–59,medium,No restriction,3600,3600,6,-8.145200553431563,-15.086558298476213,-6.94135774504465,TRUE
berlin_57d8af40,m,60+,low,No restriction,1500,1500,8,-18.14669620252521,-26.398443665916002,-8.251747463390792,TRUE
berlin_6d72e520,f,60+,high,No restriction,3600,3600,8,-9.821768411943978,-15.709030697872699,-5.8872622859287205,TRUE
berlin_0f9ffdb5,m,<15,very_low,No restriction,900,900,4,-9.324637680638267,-11.404656838364282,-2.0800191577260154,TRUE
berlin_4a7e1713,m,<15,medium,No restriction,3600,3600,6,-9.881947127296181,-17.904091746111163,-8.022144618814982,TRUE
bb_8b76e068,f,30–44,high,No restriction,3600,3600,NA,-12.382640540402363,-14.929654256885273,-2.54701371648291,TRUE
bb_dcb40df8,f,30–44,medium,No restriction,2000,2000,NA,-13.88759706613202,-22.75358337245072,-8.8659863063187,TRUE
berlin_e10db4af,f,45–59,medium,No restriction,2600,2600,10,-4.183892162998328,-9.132184173631583,-4.948292010633255,TRUE
berlin_a77a41b9,m,30–44,medium,No restriction,2000,2000,8,-10.320650723708718,-18.05176438885003,-7.731113665141313,TRUE
berlin_42481719,f,60+,low,No restriction,1500,1500,1,-7.555071677042666,-9.452159068383551,-1.897087391340885,TRUE
berlin_ae839706,m,60+,medium,No restriction,2000,2000,7,-12.698611267932577,-17.66887627487673,-4.970265006944153,TRUE
bb_b2665d70,m,60+,high,Restricted mobility,2600,2600,NA,-15.849527736635949,-18.44353922238315,-2.5940114857472025,TRUE
berlin_1fdcf4f7,m,<15,low,No restriction,3000,3000,10,-1.9869160545965734,-6.457882826125928,-4.470966771529355,TRUE
berlin_a279a426,f,30–44,high,No restriction,3600,3600,9,-9.860887197523713,-17.47593875233659,-7.615051554812876,TRUE
berlin_90a3a0dc,f,45–59,low,Restricted mobility,900,900,9,-16.10609079779532,-31.415234249937015,-15.309143452141694,TRUE
berlin_de84e04d,m,60+,medium,Restricted mobility,1500,1500,11,-7.047860607371818,-20.90724825429132,-13.859387646919505,TRUE
bb_cbb22a4d,f,60+,low,No restriction,900,900,NA,-22.380040864737563,-34.73173289637846,-12.351692031640898,TRUE
berlin_7526f516,f,30–44,low,No restriction,3000,3000,12,-4.076505493345849,-19.65717726092918,-15.580671767583333,TRUE
berlin_eb88ca48,m,<15,very_high,No restriction,5600,5600,2,-4.720020463473057,-15.396571277883094,-10.676550814410037,TRUE
berlin_25c1bf91,f,30–44,medium,No restriction,1500,1500,12,-5.399127372214742,-33.49058989245816,-28.091462520243418,TRUE
berlin_e8ef9c17,m,<15,low,No restriction,2600,2600,1,-10.209393066946443,-12.924613684820832,-2.7152206178743885,TRUE
berlin_5c343862,m,60+,low,No restriction,1500,1500,6,-10.319110700689931,-16.850654231657575,-6.531543530967644,TRUE
berlin_4fe213a5,f,30–44,very_high,No restriction,5600,5600,10,-2.9258891246432315,-12.784495236025395,-9.858606111382162,TRUE
berlin_feade29a,m,<15,very_low,No restriction,1500,1500,5,-10.501763287317129,-24.389426523634356,-13.887663236317227,TRUE
berlin_f9d266f9,f,15–29,very_low,No restriction,900,900,8,-19.51151606990192,-28.839613924135076,-9.328097854233157,TRUE
berlin_d45cce05,m,<15,low,No restriction,1500,1500,1,-6.6978181674118975,-8.505075080798044,-1.807256913386146,TRUE
bb_a70e841e,m,45–59,medium,No restriction,1500,1500,NA,-32.9161486662441,-39.085228042396594,-6.169079376152496,TRUE
berlin_bc8de399,f,45–59,very_high,Restricted mobility,5600,5600,11,-5.950305429324476,-12.751133627239936,-6.80082819791546,TRUE
berlin_910b5d33,m,60+,very_high,No restriction,5600,5600,1,-6.314936802786393,-8.56666609504734,-2.251729292260947,TRUE
berlin_382f9da1,f,45–59,high,No restriction,4600,4600,8,-9.211105735159311,-14.983009073018357,-5.771903337859046,TRUE
berlin_f9a94387,m,60+,high,No restriction,4600,4600,2,-4.541000075382624,-13.708468587938668,-9.167468512556045,TRUE
bb_5bc86d88,m,45–59,high,No restriction,3600,3600,NA,-20.610742150908646,-29.070595122377235,-8.459852971468589,TRUE
berlin_7cecd19b,f,45–59,medium,No restriction,2600,2600,7,-11.806431467441127,-16.25429663022462,-4.447865162783492,TRUE
bb_fb713b79,f,60+,very_low,No restriction,500,500,NA,-51.49115969819973,-64.74844320990887,-13.25728351170914,TRUE
berlin_83360204,f,30–44,high,No restriction,3600,3600,2,-4.171812198028343,-20.08799642974989,-15.916184231721546,TRUE
bb_f0769ba5,m,60+,medium,No restriction,1500,1500,NA,-24.855198488970842,-32.25981752654604,-7.404619037575195,TRUE
bb_e43610e8,m,45–59,medium,Restricted mobility,3600,3600,NA,-16.817383460676645,-24.551384331244027,-7.734000870567382,TRUE
berlin_720f589a,m,15–29,very_low,No restriction,900,900,6,-17.8025523516614,-28.092940148126903,-10.290387796465502,TRUE
berlin_1a2d3281,m,45–59,very_low,Restricted mobility,500,500,5,-17.692940725080486,-49.73823833905729,-32.0452976139768,TRUE
berlin_712f7406,m,15–29,medium,No restriction,3600,3600,8,-6.5432687833293635,-12.304381492985213,-5.761112709655849,TRUE
bb_173ce538,m,30–44,low,No restriction,2000,2000,NA,-20.340299562836808,-28.051895682543073,-7.711596119706265,TRUE
berlin_3db57a69,m,30–44,medium,No restriction,2600,2600,3,-15.496614732590263,-22.89183383546173,-7.395219102871465,TRUE
