bezirk,n,mean_delta,median_delta,sd_delta,p25,p75,share_improved,share_worsened
1,2726,-1.9767983584348334,-1.9450569888350007,0.47728093419472967,-2.1901501320372567,-1.7638951633403108,7.336757153338225e-4,0.9992663242846662
2,3418,-13.784425929091064,-12.001608738866102,6.039401969602584,-16.45594604400909,-9.302401001717616,0,1
3,2755,-10.479800231445058,-9.673642484053556,3.408909955090723,-11.431715261742681,-8.522637105629185,0,1
4,4081,-3.460429458073074,-2.7805047828772906,2.141054176289271,-3.754167038021567,-2.161724842617577,4.90075961774075e-4,0.9995099240382259
5,3298,-14.97367954884069,-13.093087481873605,6.059464039460653,-17.838136396157452,-10.403503879783582,0,1
6,2953,-5.639991715640095,-5.629617283939615,2.4011698072853833,-7.202271911407308,-3.419113681497265,0,1
7,2616,-5.5166544724838245,-5.172348406347626,1.2582090314524157,-6.065997354430781,-4.7252067601246415,0,1
8,2457,-6.534155272853901,-6.125602099183254,1.479472065297916,-6.9114706738381315,-5.598755416886325,0,1
9,2970,-10.553880476237744,-9.727612860660884,3.30448845527189,-11.436897260025546,-8.585493300384517,0,1
10,3971,-9.227432628291934,-5.131734025516178,9.848964020023242,-12.923252872621742,-1.8009538890824355,0,1
11,2872,-20.168209931666492,-20.175054006517943,9.825662817567348,-28.052190864033133,-10.985929936719076,0,1
12,3586,-15.218460410760406,-12.549842266904555,6.433447750746715,-18.650769546249165,-10.434123225644385,0,1
