income_bin,n,mean_delta,median_delta,sd_delta,p25,p75,share_improved,share_worsened
499,744,-14.93998200901967,-13.65805698548476,11.90485981779576,-22.50374421637629,-3.20826430966163,0.016129032258064516,0.9838709677419355
500,2073,-14.423576117749208,-13.100266454638373,10.87574577363098,-22.21331515776769,-4.757911883199759,0.015918958031837915,0.984081041968162
900,4909,-11.234853072316302,-10.173973084680014,8.384882227850786,-16.032737049777396,-4.33335034269901,0.001018537380321858,0.9989814626196781
1500,6369,-9.76302978945021,-8.3903964749244615,7.170838520444949,-12.772345916489979,-4.744703359050646,0,1
2000,7318,-8.917652430709822,-7.602032293368124,6.553925553448201,-11.430740658343995,-4.447084242022943,0,1
2600,4664,-8.443493761678045,-7.1467881215691955,6.139206241109236,-10.529718239079507,-4.406482296768901,0,1
3000,6064,-8.227792056402683,-6.78964128733727,6.02202256410693,-10.115449096429321,-4.256376196637719,0,1
3600,7049,-7.980004215897647,-6.5270535710201365,6.033105182696894,-9.72761286066088,-3.9009770285542134,0,1
4600,4718,-7.655942959076751,-6.258787683334879,5.768086732203017,-9.208373698192162,-3.7073175142660806,0,1
5600,5358,-7.821855483200884,-6.468944750428834,5.924539749693251,-9.11968882311414,-3.815342778727323,0,1
