personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_d2772200,28800.0,teleportedWalk,25,m,very_low,499.0,true,792251.9030064276,5825751.662321231,-21.195,
bb_0d8a62ba,28800.0,teleportedWalk,73,f,low,900.0,false,816463.51,5798000.51,-251.14266666666668,
berlin_1bd939d6,28800.0,teleportedWalk,12,m,low,2600.0,false,808010.3007365656,5828886.275950188,-64.35333333333332,
berlin_e1395665,28800.0,teleportedWalk,50,f,high,4600.0,false,795990.4908365111,5824430.256022107,-22.60666666666667,
bb_300a89c1,28800.0,teleportedWalk,35,m,high,3600.0,false,831025.79,5813722.97,-199.96333333333337,
berlin_231ab9b3,28800.0,teleportedWalk,33,f,high,3600.0,false,791432.2629375157,5822035.7714488385,-41.24666666666667,
berlin_c62d439e,28800.0,teleportedWalk,35,m,high,3600.0,false,793592.226421858,5824449.892201524,-24.816666666666666,
berlin_d08a9451,28800.0,teleportedWalk,56,f,medium,3000.0,false,781831.0819359431,5828809.754414667,-71.77666666666667,
berlin_024c13ec,28800.0,teleportedWalk,49,f,medium,2600.0,false,800669.0299339616,5824768.726029167,-33.41666666666667,
berlin_5b26548d,28800.0,teleportedWalk,57,m,high,4600.0,false,801511.0753274346,5824564.340312064,-37.556666666666665,
berlin_814e24e3,28800.0,teleportedWalk,35,m,medium,2600.0,false,799768.1849550748,5830982.498765824,-24.39333333333333,
bb_a5f7971e,28800.0,teleportedWalk,30,m,very_low,1500.0,false,805953.42,5841752.33,-86.26,
berlin_ae4f36de,28800.0,teleportedWalk,41,f,high,3600.0,false,794051.1481282507,5823206.727193727,-30.046666666666667,
berlin_371ce1e6,28800.0,teleportedWalk,33,f,medium,2000.0,false,783067.0818173337,5830293.415795829,-65.83333333333333,
berlin_707cdf92,28800.0,teleportedWalk,12,m,low,2000.0,false,799702.7444010745,5832438.607243124,-28.506666666666668,
berlin_0794810a,28800.0,teleportedWalk,16,m,very_high,5600.0,false,793636.3216466194,5821006.955149973,-37.485,
berlin_8c526649,28800.0,teleportedWalk,42,m,very_high,5600.0,false,802672.1927482046,5828119.0821821345,-36.74666666666667,
berlin_24f41fec,28800.0,teleportedWalk,78,m,high,3600.0,false,798017.7243068141,5830526.679292959,-20.037333333333333,
