person,age,sex,income_bin,homeX,homeY,district_ord,base_timeCar,base_distCar,base_car_acc,policy_timeCar,policy_distCar,policy_car_acc,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_car_acc,delta_pct_car_acc
bb_4d05b016,6,f,1500,817235.03,5829276.19,NA,2967.254,26032.95,-20.560844422889485,3689.94,30492.57,-27.080407949723384,722.6860000000001,24.355380429177963,4459.619999999999,17.130674779462176,-6.519563526833899,-31.708637022592104
berlin_1dc555cd,56,m,4600,794074.8430571056,5827833.455810585,Mitte,359.189,2722.16,-2.575676711724804,178.395,1605.83,-11.666493440518606,-180.794,-50.33394675226691,-1116.33,-41.00897816439886,-9.0908167287938,-352.9486712137149
berlin_60f06c92,15,m,5600,794072.4246765708,5827770.520987687,Mitte,359.189,2722.16,-2.4704095022807055,178.395,1605.83,-11.881490771586753,-180.794,-50.33394675226691,-1116.33,-41.00897816439886,-9.411081269306047,-380.9522777749052
berlin_776def71,93,m,2000,794174.9861385914,5827820.478884506,Mitte,359.189,2722.16,-3.172597261548278,178.395,1605.83,-11.913324036624205,-180.794,-50.33394675226691,-1116.33,-41.00897816439886,-8.740726775075927,-275.5069759724345
berlin_05d765e5,54,m,1500,795626.121887515,5825587.208817592,Tempelhof-Schöneberg,463.651,3737.86,-3.957537202848354,2729.403,22698.92,-28.557549758756185,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-24.60001255590783,-621.5990221949776
berlin_477a6b42,5,m,2000,795700.28131236,5825676.711730348,Tempelhof-Schöneberg,463.651,3737.86,-3.5635574251182223,2729.403,22698.92,-26.82151627015261,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-23.257958845034388,-652.6612614994634
berlin_6256f5fe,79,m,1500,795632.6753285951,5825594.263271748,Tempelhof-Schöneberg,463.651,3737.86,-3.9431687457106626,2729.403,22698.92,-28.58682541769483,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-24.643656671984168,-624.9708866451956
berlin_90351074,69,m,3000,795684.047625831,5825678.914701367,Tempelhof-Schöneberg,463.651,3737.86,-3.235880099226615,2729.403,22698.92,-24.71525055286426,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-21.479370453637642,-663.7875877654205
berlin_91122793,13,m,5600,795601.4193400809,5825616.196297938,Tempelhof-Schöneberg,463.651,3737.86,-2.938036425941333,2729.403,22698.92,-22.489510164438148,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-19.551473738496814,-665.4605629075076
berlin_ef9f1061,17,m,2000,795654.964688275,5825663.193447341,Tempelhof-Schöneberg,463.651,3737.86,-3.598635775898315,2729.403,22698.92,-26.756018960713455,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-23.15738318481514,-643.5045007863971
berlin_f6de7c72,45,f,2000,795708.2029565808,5825629.251460227,Tempelhof-Schöneberg,463.651,3737.86,-3.599687103890636,2729.403,22698.92,-26.63470329503704,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-23.035016191146404,-639.917179641796
berlin_23ab5e86,10,m,1500,783333.9309338515,5830415.145510369,Spandau,1894.835,14678.26,-12.899807761044768,2542.267,19626.23,-19.350145376953154,647.4319999999998,34.16825211693893,4947.969999999999,33.70951325293324,-6.450337615908387,-50.00336233992039
berlin_a5a54011,22,f,500,783204.7228854505,5830392.362501093,Spandau,1894.835,14678.26,-23.85829850883929,2542.267,19626.23,-33.98900492083597,647.4319999999998,34.16825211693893,4947.969999999999,33.70951325293324,-10.130706411996677,-42.46198197345606
berlin_da01a6d0,6,m,2600,783312.241918155,5830419.684306708,Spandau,1894.835,14678.26,-10.504755383580232,2542.267,19626.23,-16.176553446469946,647.4319999999998,34.16825211693893,4947.969999999999,33.70951325293324,-5.671798062889714,-53.99267146910613
berlin_98a4b2e5,67,m,2000,797864.3192028825,5828043.79367814,Mitte,448.845,3375.38,-3.5918590468421225,4973.04,1309.99,-30.432070616889888,4524.195,1007.9637736857935,-2065.3900000000003,-61.1898512167519,-26.840211570047764,-747.2512484487676
bb_b338ac97,7,f,2000,767346.97,5811600.6,NA,3976.429,49913.21,-28.192719216105374,4600.122,48028.8,-32.19812356175771,623.6930000000002,15.6847513183311,-1884.4099999999962,-3.7753732929619157,-4.005404345652337,-14.20722958629762
