person,timeCar,distCar,expSum
berlin_05d765e5,3307.296000,41965.520000,2.13131281493005e-13
berlin_98a4b2e5,3691.228000,45869.860000,8.64886139076012e-13
berlin_477a6b42,3307.296000,41965.520000,1.10498390724866e-11
berlin_6256f5fe,3307.296000,41965.520000,2.16215755677108e-13
berlin_90351074,3307.296000,41965.520000,5.36129767237096e-10
berlin_91122793,3307.296000,41965.520000,1.95870829035385e-08
berlin_ef9f1061,3307.296000,41965.520000,1.06689485039811e-11
bb_d2cfc998,2214.106000,31451.560000,1.49980264514377e-07
bb_4d05b016,4305.736000,67114.200000,6.85433664349669e-19
berlin_f6de7c72,3307.296000,41965.520000,1.06577378338485e-11
bb_6c7edd13,4868.197000,77197.620000,3.06598237052879e-26
berlin_34cab585,3993.601000,50790.080000,2.36138676076975e-21
berlin_5252d0f2,3993.601000,50790.080000,9.65036654294504e-14
berlin_6b6880fe,3993.601000,50790.080000,8.06362962178644e-16
berlin_a81187c7,3993.601000,50790.080000,7.69854643817218e-14
berlin_aae6904d,3993.601000,50790.080000,2.55878073959686e-21
berlin_c3e51477,3993.601000,50790.080000,7.81623950872797e-10
berlin_c76a1cb4,3993.601000,50790.080000,3.35115834561899e-32
berlin_e1db5b9a,3993.601000,50790.080000,8.22085750047160e-12
bb_b338ac97,3264.159000,41353.460000,1.45374205175718e-11
berlin_f237071b,3993.601000,50790.080000,7.90626310109292e-16
berlin_f3e7a343,3993.601000,50790.080000,2.66239763219412e-21
berlin_fdc43e72,3993.601000,50790.080000,7.73800438290669e-16
berlin_1dc555cd,3565.337000,44963.730000,2.25746567741051e-09
berlin_60f06c92,3565.337000,44963.730000,6.26072813238519e-09
berlin_776def71,3565.337000,44963.730000,1.59270200087231e-12
berlin_018dedf6,2576.565000,37359.830000,1.07790499964046e-23
berlin_3df5213e,2576.565000,37359.830000,1.24043136184719e-15
berlin_73b0f174,2576.565000,37359.830000,3.66352876004096e-08
berlin_95f3785e,2576.565000,37359.830000,1.23011763469144e-15
