person,timeCar,distCar,expSum
berlin_2df0ec6b,3678.918000,60100.720000,5.37783964443219e-12
bb_88bca602,4402.481000,86951.650000,2.71890990313014e-22
berlin_65d1530f,5607.637000,63332.540000,3.49728324659514e-14
berlin_f3fe4a9e,5607.637000,63332.540000,1.17152635293908e-40
bb_52c9838b,5310.366000,74673.220000,8.61832330383504e-13
berlin_04389740,4542.659000,56508.340000,2.34634024317233e-12
bb_f2577192,1660.986000,21157.380000,5.11875419352020e-10
bb_14918f7c,2182.615000,27315.790000,2.88191057440124e-06
bb_3c197822,2182.615000,27315.790000,2.90978100545634e-07
bb_7b4199ac,2182.615000,27315.790000,2.61653865037888e-08
bb_bb289ea1,2182.615000,27315.790000,2.72356602813391e-18
berlin_5f935487,4455.167000,54792.460000,6.54518637192519e-15
berlin_7dba9a18,4455.167000,54792.460000,1.22336262364748e-10
berlin_8261adb9,4455.167000,54792.460000,3.52781431851441e-17
berlin_b0ce42d0,4455.167000,54792.460000,4.39360371304716e-23
berlin_c293db51,4455.167000,54792.460000,1.04682426407088e-10
berlin_e6995b2a,4455.167000,54792.460000,9.99239756275678e-13
bb_4d05b016,4633.444000,67394.290000,2.07166808900878e-19
bb_959a628e,1771.299000,22162.110000,4.17238599181524e-15
bb_157e3645,3350.407000,71255.210000,1.56388319714433e-10
bb_dbd2b375,3350.407000,71255.210000,3.07321584460428e-41
berlin_78f11f60,2377.983000,34651.110000,7.06536399647475e-07
berlin_d5cb99f9,2377.983000,34651.110000,1.61863441983661e-09
bb_9bc79be7,4446.860000,98344.610000,7.61034180178190e-35
berlin_0653f5ca,5037.396000,62872.710000,3.55364729718456e-14
berlin_690e28c6,5037.396000,62872.710000,1.16422952767664e-39
bb_1254ba80,656.888000,7675.500000,0.00150563283067395
bb_129b471a,1703.853000,21631.370000,6.85249376408882e-07
berlin_ae4f36de,2804.739000,39000.770000,1.45186737248119e-08
bb_96c992c3,1703.853000,21631.370000,9.06181571885590e-06
berlin_da86ba05,2804.739000,39000.770000,2.96495058049904e-12
bb_e816e26c,1703.853000,21631.370000,2.76196715349813e-06
bb_8a014e87,2073.315000,29625.180000,2.59077636848594e-07
berlin_4f75ab0f,2139.725000,32845.250000,3.70868096539387e-07
berlin_9045f2ce,2139.725000,32845.250000,3.00931746208409e-10
berlin_c33071c2,2139.725000,32845.250000,5.51522870505631e-08
berlin_f13348e7,2613.984000,32053.930000,3.00063082545648e-14
bb_f0a2af22,692.804000,8731.470000,0.000249455907242197
bb_fd28a3d6,692.804000,8731.470000,4.72456164616624e-07
bb_00cf6742,1656.299000,21381.820000,4.07961837500835e-05
bb_7e6442ba,2155.390000,26291.600000,3.04218633858119e-07
bb_8d9596eb,2155.390000,26291.600000,1.42102200746279e-07
bb_b279b1eb,2155.390000,26291.600000,2.96352395332286e-08
bb_814da828,2037.898000,36153.100000,3.14264031656873e-07
bb_bbb381ba,3758.684000,76461.330000,2.02122111741871e-13
berlin_01eecdec,2462.670000,46140.890000,1.16024933016970e-08
bb_d09ff99c,2303.800000,28089.630000,2.19744828056601e-06
berlin_ca49209e,2785.405000,38840.900000,3.40181676417672e-12
berlin_0c08ab2d,2462.670000,46140.890000,5.76686626574436e-11
berlin_22ab05a6,2462.670000,46140.890000,6.35882006546574e-18
berlin_3840f888,2462.670000,46140.890000,2.05515682230957e-07
berlin_57044e97,2462.670000,46140.890000,5.63241701517300e-18
berlin_5928555d,2462.670000,46140.890000,1.78978959687846e-08
berlin_6c4f1b26,2462.670000,46140.890000,1.43719284122101e-08
berlin_8423ffa7,2462.670000,46140.890000,4.02727118878971e-11
berlin_b1d1f88d,2462.670000,46140.890000,1.12662350225714e-09
berlin_e167f873,2462.670000,46140.890000,6.01247027996753e-18
