person,timeCar_base,distCar_base,expSum_base,timeCar_policy,distCar_policy,expSum_policy,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_expSum,delta_pct_expSum
bb_4d05b016,2967.254,26032.95,1.1763558697807401e-9,3689.94,30492.57,1.73431611593755e-12,722.6860000000001,24.355380429177963,4459.619999999999,17.130674779462176,-1.1746215536648025e-9,-99.85256875402332
berlin_1dc555cd,359.189,2722.16,0.0761023060467948,178.395,1605.83,8.57642463500572e-6,-180.794,-50.33394675226691,-1116.33,-41.00897816439886,-0.0760937296221598,-99.9887304011133
berlin_60f06c92,359.189,2722.16,0.0845502284000295,178.395,1605.83,6.91726033836163e-6,-180.794,-50.33394675226691,-1116.33,-41.00897816439886,-0.08454331113969114,-99.99181875617695
berlin_776def71,359.189,2722.16,0.0418946451244009,178.395,1605.83,6.70052928702432e-6,-180.794,-50.33394675226691,-1116.33,-41.00897816439886,-0.04188794459511388,-99.98400623930068
berlin_05d765e5,463.651,3737.86,0.0191101207350988,2729.403,22698.92,3.95925727226487e-13,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.019110120734702873,-99.99999999792819
berlin_477a6b42,463.651,3737.86,0.0283378354621683,2729.403,22698.92,2.24679520106455e-12,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.028337835459921502,-99.99999999207138
berlin_6256f5fe,463.651,3737.86,0.0193866858345511,2729.403,22698.92,3.8450276389980897e-13,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.019386685834166598,-99.99999999801668
berlin_90351074,463.651,3737.86,0.0393255792934164,2729.403,22698.92,1.8463033854723597e-11,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.039325579274953365,-99.99999995305082
berlin_91122793,463.651,3737.86,0.0529696364937943,2729.403,22698.92,1.70973906533951e-10,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.05296963632282039,-99.9999996772228
berlin_ef9f1061,463.651,3737.86,0.0273610235657602,2729.403,22698.92,2.39888046406491e-12,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.02736102356336132,-99.99999999123249
berlin_f6de7c72,463.651,3737.86,0.0273322732714297,2729.403,22698.92,2.7082910331365097e-12,2265.752,488.67618100683484,18961.059999999998,507.27047026908434,-0.027332273268721407,-99.99999999009124
berlin_23ab5e86,1894.835,14678.26,2.4985305946131e-6,2542.267,19626.23,3.94764997960705e-9,647.4319999999998,34.16825211693893,4947.969999999999,33.70951325293324,-2.4945829446334927e-6,-99.8420011350624
berlin_a5a54011,1894.835,14678.26,4.34983326332221e-11,2542.267,19626.23,1.7328569698730802e-15,647.4319999999998,34.16825211693893,4947.969999999999,33.70951325293324,-4.3496599776252226e-11,-99.9960162680614
berlin_da01a6d0,1894.835,14678.26,2.74058138278384e-5,2542.267,19626.23,9.43218047594764e-8,647.4319999999998,34.16825211693893,4947.969999999999,33.70951325293324,-2.7311492023078926e-5,-99.65583286323114
berlin_98a4b2e5,448.845,3375.38,0.0275470714953649,4973.04,1309.99,6.07462758840115e-14,4524.195,1007.9637736857935,-2065.3900000000003,-61.1898512167519,-0.027547071495304155,-99.99999999977948
bb_b338ac97,3976.429,49913.21,5.70239916723822e-13,4600.122,48028.8,1.03880159908058e-14,623.6930000000002,15.6847513183311,-1884.4099999999962,-3.7753732929619157,-5.598519007330162e-13,-98.17830781638584
bb_d2cfc998,1993.749,22858.15,7.08959501586622e-6,2915.699,31686.52,5.471234241189061e-9,921.95,46.24202946308688,8828.369999999999,38.622416949753145,-7.084123781625031e-6,-99.92282726687569
berlin_34cab585,1701.679,12818.64,3.75310469812926e-7,2742.972,20490.25,8.64756076833586e-12,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-3.7530182225215766e-7,-99.99769589141154
berlin_5252d0f2,1701.679,12818.64,3.66282139545419e-5,2742.972,20490.25,1.15387058363085e-8,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-3.6616675248705587e-5,-99.9684977655459
berlin_6b6880fe,1701.679,12818.64,1.04486946632904e-5,2742.972,20490.25,1.6129811199353601e-9,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-1.0447081682170464e-5,-99.98456284567676
berlin_a81187c7,1701.679,12818.64,2.92200306404416e-5,2742.972,20490.25,9.204962559911241e-9,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-2.921082567788169e-5,-99.9684977655459
berlin_aae6904d,1701.679,12818.64,4.0668357148463e-7,2742.972,20490.25,9.370431098418769e-12,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-4.0667420105353155e-7,-99.99769589141154
berlin_c3e51477,1701.679,12818.64,3.2754370948264e-4,2742.972,20490.25,4.08349593343043e-7,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-3.2713535988929696e-4,-99.87532974026948
berlin_c76a1cb4,1701.679,12818.64,8.01313913026553e-10,2742.972,20490.25,4.11317341434719e-16,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-8.013135017092115e-10,-99.99994866963686
berlin_e1db5b9a,1701.679,12818.64,9.13964905547346e-5,2742.972,20490.25,5.87550219746944e-8,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-9.133773553275991e-5,-99.93571413779885
berlin_f237071b,1701.679,12818.64,1.02447821819298e-5,2742.972,20490.25,1.5815028355034e-9,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-1.0243200679094297e-5,-99.98456284567676
berlin_f3e7a343,1701.679,12818.64,4.23152074352226e-7,2742.972,20490.25,9.74988328738127e-12,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-4.231423244689386e-7,-99.99769589141155
berlin_fdc43e72,1701.679,12818.64,1.00267558025913e-5,2742.972,20490.25,1.5478457668595602e-9,1041.2930000000001,61.19209322087186,7671.610000000001,59.847300493656114,-1.002520795682444e-5,-99.98456284567675
berlin_018dedf6,1072.06,8089.71,1.13513777131651e-6,2728.001,23973.19,7.88053483455001e-18,1655.9410000000003,154.46346286588442,15883.48,196.3417724491978,-1.1351377713086294e-6,-99.99999999930576
berlin_3df5213e,1072.06,8089.71,6.49440942052138e-5,2728.001,23973.19,1.18755114506399e-12,1655.9410000000003,154.46346286588442,15883.48,196.3417724491978,-6.494409301766266e-5,-99.99999817142552
berlin_73b0f174,1072.06,8089.71,0.00236229532918788,2728.001,23973.19,6.95447810878757e-8,1655.9410000000003,154.46346286588442,15883.48,196.3417724491978,-0.002362225784406792,-99.99705605051881
berlin_95f3785e,1072.06,8089.71,6.44041081256839e-5,2728.001,23973.19,1.17767709731705e-12,1655.9410000000003,154.46346286588442,15883.48,196.3417724491978,-6.440410694800681e-5,-99.9999981714255
berlin_beae680b,1072.06,8089.71,0.00265531191979035,2728.001,23973.19,7.8171041486727e-8,1655.9410000000003,154.46346286588442,15883.48,196.3417724491978,-0.002655233748748863,-99.99705605051881
berlin_e5a9b9fc,1072.06,8089.71,9.7477752809909e-4,2728.001,23973.19,4.00575585979624e-9,1655.9410000000003,154.46346286588442,15883.48,196.3417724491978,-9.747735223432302e-4,-99.99958905947825
bb_6c7edd13,5488.586,76265.44,2.51549835597484e-26,6062.032,80833.96,5.85694824178662e-29,573.4459999999999,10.447973303142192,4568.520000000004,5.990288654992358,-2.5096414077330534e-26,-99.76716549116897
bb_e8060db8,3217.892,33223.1,1.18534611186554e-7,3794.052,33955.12,1.3686845759833e-9,576.1600000000003,17.904889287769766,732.0200000000041,2.203346466765606,-1.171659266105707e-7,-98.84532917239741
berlin_64a8ca3c,1923.552,15243.45,2.97857794841407e-5,3405.082,31999.29,8.1505462574635e-10,1481.53,77.02053284756533,16755.84,109.92157287228284,-2.9784964429514953e-5,-99.99726361156274
bb_0e848a09,2534.273,32246.62,4.993087447899551e-10,3242.49,41074.99,1.52151681097787e-13,708.2169999999996,27.945568610800795,8828.369999999999,27.3776600462312,-4.991565931088573e-10,-99.96952753528045
bb_25b93edb,2534.273,32246.62,1.73556903465486e-13,3242.49,41074.99,5.9255336243346295e-18,708.2169999999996,27.945568610800795,8828.369999999999,27.3776600462312,-1.7355097793186167e-13,-99.99658582660442
bb_25cd1e4b,3554.424,42869.98,8.08570640218301e-18,4096.459,57950.11,9.96856638553246e-24,542.0349999999999,15.249587556239769,15080.129999999997,35.176433485623264,-8.085696433616624e-18,-99.99987671372308
berlin_4d1dac1a,1863.822,14794.33,3.14401147025484e-6,3419.413,31565.44,2.96329950347361e-12,1555.5910000000001,83.46242291377611,16771.11,113.36174061278882,-3.1440085069553363e-6,-99.99990574781513
berlin_0e1fbade,1866.456,15632.99,2.10900177061757e-5,3329.718,23472.48,3.1965716920552305e-9,1463.262,78.3978834754208,7839.49,50.14709278263467,-2.1086821134483645e-5,-99.98484320052933
bb_82f237c4,1930.298,22757.59,1.05968792967569e-6,2886.178,31585.96,3.21395587241871e-10,955.8799999999999,49.51981507518528,8828.369999999999,38.79307958355871,-1.0593665340884481e-6,-99.96967073246364
berlin_5e4c55f0,1165.781,9522.49,0.00169371216505816,1122.498,8301.38,2.0359500785369e-4,-43.2829999999999,-3.712789966554602,-1221.1100000000006,-12.823431686460166,-0.0014901171572044701,-87.97936201593625
berlin_f292fc03,1165.781,9522.49,2.0986006260116e-4,1122.498,8301.38,3.28782170578458e-5,-43.2829999999999,-3.712789966554602,-1221.1100000000006,-12.823431686460166,-1.7698184554331418e-4,-84.33326634409185
berlin_bdb2ebe6,168.604,1128.6,0.155466341136986,0,0,2.04914982601399e-5,-168.604,-100,-1128.6,-100,-0.15544584963872587,-99.98681933458376
berlin_d666775d,168.604,1128.6,0.159353374985583,0,0,1.74401777042421e-5,-168.604,-100,-1128.6,-100,-0.15933593480787875,-99.98905565840333
berlin_94e28d26,1742.89,15981.2,1.6531686728037e-4,2432.052,19097.11,9.80916385243426e-7,689.162,39.541336515786995,3115.91,19.49734688258704,-1.6433595089512657e-4,-99.40664470517709
bb_f0a2af22,3139.343,36750.42,9.80215942708538e-12,3572.502,51682.22,7.71983586789518e-16,433.1590000000001,13.797759594921615,14931.800000000003,40.630283953217415,-9.80138744349859e-12,-99.99212435185805
berlin_a46e43a8,1742.89,15981.2,3.58930002735362e-5,2432.052,19097.11,1.5925224929032e-7,689.162,39.541336515786995,3115.91,19.49734688258704,-3.573374802424588e-5,-99.55631391057678
bb_fd28a3d6,3139.343,36750.42,1.6504733962230498e-23,3572.502,51682.22,1.95169420774977e-32,433.1590000000001,13.797759594921615,14931.800000000003,40.630283953217415,-1.6504733942713557e-23,-99.99999988174943
berlin_bb6bda9b,1742.89,15981.2,2.3266271787993e-4,2432.052,19097.11,1.47688644163698e-6,689.162,39.541336515786995,3115.91,19.49734688258704,-2.3118583143829301e-4,-99.36522428041128
berlin_2acbd25f,1809.202,14267.96,2.0735092979551e-4,3411.262,30494.11,1.70002753801511e-8,1602.0600000000002,88.55064276957467,16226.150000000001,113.72438666775071,-2.0733392952012987e-4,-99.9918012061017
berlin_82080be4,1809.202,14267.96,1.60210338086181e-5,3411.262,30494.11,7.160068827278019e-11,1602.0600000000002,88.55064276957467,16226.150000000001,113.72438666775071,-1.6020962207929828e-5,-99.99955308322092
berlin_1999f097,1734.4,13131.5,2.62412293643812e-5,3302.617,29669.48,1.20357156725235e-10,1568.217,90.4184155904059,16537.98,125.94128622015764,-2.6241109007224473e-5,-99.99954134329968
berlin_5c08be08,1734.4,13131.5,5.2966084651939e-6,3302.617,29669.48,5.22028042003278e-12,1568.217,90.4184155904059,16537.98,125.94128622015764,-5.29660324491348e-6,-99.99990144107396
berlin_d228f1fb,1734.4,13131.5,1.6250612331232e-4,3302.617,29669.48,1.01088105039174e-8,1568.217,90.4184155904059,16537.98,125.94128622015764,-1.6249601450181607e-4,-99.99377942793915
berlin_e250d544,1734.4,13131.5,3.44343184241728e-10,3302.617,29669.48,1.5429548409786001e-21,1568.217,90.4184155904059,16537.98,125.94128622015764,-3.4434318424018507e-10,-99.9999999995519
bb_9bc68cdb,2645.406,35194.18,2.36280074736312e-7,3256.598,44015.3,6.76199632506765e-10,611.192,23.10390163173441,8821.120000000003,25.064144128375776,-2.3560387510380523e-7,-99.71381436489665
bb_a857d731,2645.406,35194.18,4.79131474421994e-22,3256.598,44015.3,2.8606671439200798e-28,611.192,23.10390163173441,8821.120000000003,25.064144128375776,-4.791311883552796e-22,-99.99994029473545
bb_e57d52f2,2436.169,31598.17,8.16312312484264e-7,3241.608,40426.54,1.2214656295504202e-9,805.4390000000003,33.061704668272206,8828.370000000003,27.93949776205395,-8.150908468547136e-7,-99.85036785420606
bb_92d6d503,3485.808,38323.84,1.6610178999229198e-25,3363.265,51878.58,5.64274039179271e-33,-122.54300000000012,-3.5154833542180213,13554.740000000005,35.36895050182864,-1.661017843495516e-25,-99.99999660284192
berlin_04bd6863,1904.492,14361.72,1.16753597415241e-5,2723.961,19751.72,1.45587500719946e-8,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-1.1660800991452106e-5,-99.87530362751723
bb_b1e95b53,3485.808,38323.84,8.79781325700342e-10,3363.265,51878.58,6.2170418371004e-12,-122.54300000000012,-3.5154833542180213,13554.740000000005,35.36895050182864,-8.735642838632417e-10,-99.293342373214
berlin_094c84ea,1904.492,14361.72,3.48012874719126e-5,2723.961,19751.72,7.16297553233334e-8,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-3.4729657716589266e-5,-99.79417498452852
berlin_1f9ec7f1,1904.492,14361.72,2.96438170645062e-6,2723.961,19751.72,2.23946153380171e-9,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-2.962142244916818e-6,-99.92445434645178
berlin_3bdf0d7c,1904.492,14361.72,7.32049316692763e-5,2723.961,19751.72,1.78068298405868e-7,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-7.302686337087043e-5,-99.75675368537964
berlin_5979c708,1904.492,14361.72,4.29438818268804e-5,2723.961,19751.72,8.83892514142247e-8,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-4.2855492575466176e-5,-99.79417498452852
berlin_ccdabe71,1904.492,14361.72,6.77269714925859e-11,2723.961,19751.72,9.28573835334329e-16,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-6.772604291875056e-11,-99.99862894528594
berlin_d9dc6189,1904.492,14361.72,3.99302237045526e-5,2723.961,19751.72,8.21863891176864e-8,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-3.984803731543492e-5,-99.79417498452854
berlin_f2ccb176,1904.492,14361.72,2.84854668580138e-5,2723.961,19751.72,5.02520762478366e-8,819.4689999999998,43.02821959871713,5390.000000000002,37.53032366596761,-2.8435214781765965e-5,-99.82358696629998
berlin_1658c3c1,2365.253,19579.13,7.30174791165537e-10,2561.529,24452.06,1.59444103392701e-12,196.27599999999984,8.298308891268707,4872.93,24.888388809921583,-7.2858035013161e-10,-99.78163570514644
berlin_8462e4a3,2365.253,19579.13,1.90391349459296e-5,2561.529,24452.06,5.24539525607876e-7,196.27599999999984,8.298308891268707,4872.93,24.888388809921583,-1.8514595420321723e-5,-97.24494034472917
berlin_d2db6cd9,2365.253,19579.13,7.51152426889321e-10,2561.529,24452.06,1.6402487002521999e-12,196.27599999999984,8.298308891268707,4872.93,24.888388809921583,-7.495121781890688e-10,-99.78163570514646
berlin_2e4c0641,870.75,6461.17,0.00421228153803072,2677.077,18643.14,2.6270092768641e-9,1806.3270000000002,207.44496124031008,12181.97,188.54123943496302,-0.004212278911021443,-99.99993763452768
berlin_52c99bcd,870.75,6461.17,0.00503036032338691,5376.712,16322.31,5.95177519754189e-13,4505.962,517.480562733276,9861.14,152.62158401651712,-0.005030360322791733,-99.99999998816828
berlin_743d6b2e,870.75,6461.17,0.00753949603269326,2677.077,18643.14,9.472519735416971e-9,1806.3270000000002,207.44496124031008,12181.97,188.54123943496302,-0.0075394865601735245,-99.9998743613672
berlin_7824f548,870.75,6461.17,0.00741478423596388,5376.712,16322.31,1.86732536740775e-12,4505.962,517.480562733276,9861.14,152.62158401651712,-0.007414784234096554,-99.99999997481618
berlin_f0e950e3,870.75,6461.17,1.35606491691641e-5,5376.712,16322.31,3.4219153948279896e-19,4505.962,517.480562733276,9861.14,152.62158401651712,-1.3560649169163758e-5,-99.99999999999748
berlin_4c1a4837,1529.888,12820.72,1.69000081517062e-5,1538.003,10725.89,3.08730757162148e-6,8.115000000000009,0.5304309857976538,-2094.83,-16.339409955135125,-1.381270058008472e-5,-81.73191667182842
bb_022b990d,2371.951,19552.68,1.35145313468598e-5,2795.062,25461.23,1.38732930074385e-7,423.1109999999999,17.838100365479722,5908.549999999999,30.218619647025363,-1.3375798416785414e-5,-98.97345363658043
berlin_a5a5507a,1039.137,7770.98,0.00130733739309384,877.11,6421.29,2.8153607269866e-4,-162.02699999999993,-15.592457972336655,-1349.6899999999996,-17.368337069455844,-0.00102580132039518,-78.46492617851317
berlin_58591eb4,766.89,5775.77,0.013644486059105,537.454,4106.22,0.00298139920100649,-229.43600000000004,-29.917719620806118,-1669.5500000000002,-28.90610256294832,-0.01066308685809851,-78.14942103285016
berlin_c92a91d2,766.89,5775.77,0.0149518047565241,537.454,4106.22,0.00338734063345341,-229.43600000000004,-29.917719620806118,-1669.5500000000002,-28.90610256294832,-0.011564464123070689,-77.34493802846528
berlin_cf29c32a,1039.137,7770.98,0.00204763312048875,877.11,6421.29,4.0426680028835e-4,-162.02699999999993,-15.592457972336655,-1349.6899999999996,-17.368337069455844,-0.0016433663202004,-80.25687335083467
berlin_8739c16c,1688.684,11213,7.72164593291018e-5,3211.369,29472.63,1.82767311387971e-10,1522.6850000000002,90.16991929810435,18259.63,162.8433960581468,-7.721627656179041e-5,-99.9997633052422
berlin_50ae76c1,630.444,4893.3,0.0114211003567895,2629.162,22164.98,1.47375032202107e-10,1998.7179999999998,317.0333923393672,17271.68,352.96589213822983,-0.011421100209414468,-99.99999870962492
berlin_e85a29fd,630.444,4893.3,0.0243936086591659,2629.162,22164.98,3.4647545277277905e-9,1998.7179999999998,317.0333923393672,17271.68,352.96589213822983,-0.02439360519441137,-99.99998579646588
berlin_3ac0da90,1169.313,7430.16,6.82696521055986e-5,1175.831,8153.01,3.67530906261476e-6,6.517999999999802,0.5574213234608527,722.8500000000004,9.728592654801515,-6.459434304298384e-5,-94.61648192240699
berlin_5951089f,1169.313,7430.16,5.33522740097594e-5,1175.831,8153.01,3.09727332735064e-6,6.517999999999802,0.5574213234608527,722.8500000000004,9.728592654801515,-5.025500068240876e-5,-94.19467420117074
bb_2b338d19,1968.543,16892.75,6.46270176715655e-5,2008.533,15253.5,5.94222957439556e-6,39.99000000000001,2.0314516878727065,-1639.25,-9.703867043554187,-5.868478809716994e-5,-90.8053476881852
bb_3f9b6884,1968.543,16892.75,4.83192625077079e-6,2008.533,15253.5,5.75299208568651e-7,39.99000000000001,2.0314516878727065,-1639.25,-9.703867043554187,-4.256627042202139e-6,-88.09379161205369
berlin_9cd80e76,1909.128,15666.4,1.66348848658138e-6,3406.971,31907.82,2.31468598708376e-12,1497.843,78.45691855129672,16241.42,103.6704029004749,-1.6634861718953928e-6,-99.99986085350119
bb_865f7e02,1968.543,16892.75,9.31305029651865e-7,2008.533,15253.5,1.2913892537051e-7,39.99000000000001,2.0314516878727065,-1639.25,-9.703867043554187,-8.02166104281355e-7,-86.13355224562848
berlin_06bd2381,846.052,6678.32,0.0034807201512663,2770.769,25852.7,2.60772826131342e-10,1924.7169999999996,227.49393654290748,19174.38,287.11382503384084,-0.003480719890493474,-99.99999250807836
berlin_27296964,1331.681,10661.06,2.88452042170258e-8,3412.625,30990.08,3.2545643035696696e-22,2080.944,156.26445072055543,20329.020000000004,190.68479119337107,-2.8845204217025475e-8,-99.99999999999886
berlin_0dc21139,846.052,6678.32,0.00187680776465414,2770.769,25852.7,2.3754385729571197e-11,1924.7169999999996,227.49393654290748,19174.38,287.11382503384084,-0.0018768077408997542,-99.99999873431972
berlin_713e9bea,1331.681,10661.06,6.32442298898e-4,3412.625,30990.08,1.2076647130617801e-9,2080.944,156.26445072055543,20329.020000000004,190.68479119337107,-6.32441091233287e-4,-99.999809047447485
berlin_8870865f,1331.681,10661.06,4.2398602012759e-4,3412.625,30990.08,4.5253062457722e-10,2080.944,156.26445072055543,20329.020000000004,190.68479119337107,-4.2398556759696545e-4,-99.99989326756
berlin_fb1cf40d,1331.681,10661.06,0.00123144699216016,3412.625,30990.08,8.136426800237271e-9,2080.944,156.26445072055543,20329.020000000004,190.68479119337107,-0.0012314388557333597,-99.99933927916896
bb_0c0ec604,2903.639,23961.23,3.0261560335362e-9,3709.184,30650.34,1.47716609699565e-12,805.5450000000001,27.742601611288453,6689.110000000001,27.916388265543965,-3.0246788674392044e-9,-99.95118671738584
bb_1eaf7358,2943.051,39378.87,1.68825447105576e-7,3410.817,47489.25,1.1434162848481301e-9,467.7660000000001,15.893914172741148,8110.379999999997,20.59576620659759,-1.6768203082072787e-7,-99.32272278590024
berlin_331a13fb,379.518,2542.86,0.0672305783320798,175.151,1273.39,0.0139297047025239,-204.36699999999996,-53.84909279665259,-1269.47,-49.922921434919736,-0.05330087362955589,-79.2807007642872
berlin_4d706dad,379.518,2542.86,0.0204727325370867,175.151,1273.39,0.00765336312063136,-204.36699999999996,-53.84909279665259,-1269.47,-49.922921434919736,-0.01281936941645534,-62.616797211768564
berlin_8e7c6b0c,379.518,2542.86,0.0527463942953806,175.151,1273.39,0.0117876436717629,-204.36699999999996,-53.84909279665259,-1269.47,-49.922921434919736,-0.0409587506236177,-77.6522284997304
