person,timeCar,distCar,expSum
bb_4d05b016,3689.940000,30492.570000,1.73431611593755e-12
bb_14918f7c,3342.423000,42340.040000,5.33790285381271e-09
bb_157e3645,3254.885000,50784.690000,1.01701403191871e-09
bb_dbd2b375,3254.885000,50784.690000,1.38541715831431e-31
bb_3c197822,3342.423000,42340.040000,1.47304319769207e-10
bb_7b4199ac,3342.423000,42340.040000,3.27652801362222e-12
bb_bb289ea1,3342.423000,42340.040000,1.18252032518857e-27
berlin_2df0ec6b,4445.145000,36276.530000,1.38699281552049e-11
bb_f2577192,4352.395000,59696.120000,1.08440655161469e-24
berlin_04389740,498.154000,3318.050000,0.00252197496480969
bb_88bca602,3940.748000,55654.630000,5.68215226113248e-17
berlin_5f935487,166.597000,1234.920000,0.0128467814480969
berlin_7dba9a18,166.597000,1234.920000,0.0162057774249691
berlin_8261adb9,166.597000,1234.920000,0.0100691571289617
berlin_b0ce42d0,166.597000,1234.920000,0.00733300247363168
berlin_c293db51,166.597000,1234.920000,0.0138671892525287
berlin_e6995b2a,166.597000,1234.920000,0.0134873597662766
bb_52c9838b,2604.232000,45360.440000,5.22171416488370e-08
berlin_78f11f60,2781.013000,28920.280000,1.28917194106401e-07
berlin_d5cb99f9,2781.013000,28920.280000,8.25295797206126e-10
berlin_65d1530f,1393.751000,8593.010000,8.40517388854983e-05
berlin_f3fe4a9e,1393.751000,8593.010000,1.94885198342168e-08
bb_959a628e,4459.738000,60700.850000,4.47874270661436e-38
bb_8a014e87,3322.728000,31829.820000,1.05526591360066e-09
bb_7e6442ba,3409.395000,40087.710000,1.41370792224976e-10
bb_8d9596eb,3409.395000,40087.710000,4.45006511409327e-11
bb_b279b1eb,3409.395000,40087.710000,3.81860984239526e-12
bb_f0a2af22,3572.502000,51682.220000,7.71983586789518e-16
bb_fd28a3d6,3572.502000,51682.220000,1.95169420774977e-32
bb_129b471a,3407.321000,47988.170000,5.93890227194643e-13
bb_96c992c3,3407.321000,47988.170000,2.06109344306960e-10
bb_e816e26c,3407.321000,47988.170000,1.30580234144748e-11
bb_1254ba80,4161.330000,60347.380000,1.43367654338380e-12
berlin_ae4f36de,2581.636000,20877.750000,2.00099193252631e-07
berlin_da86ba05,2581.636000,20877.750000,2.08380218369797e-09
berlin_4f75ab0f,3240.864000,28293.090000,7.55437527487890e-09
berlin_9045f2ce,3240.864000,28293.090000,1.64567468250654e-11
berlin_c33071c2,3240.864000,28293.090000,1.47357222093917e-09
berlin_f13348e7,3037.239000,32611.580000,2.04671608284141e-15
bb_9bc79be7,2984.264000,26547.230000,8.37387570093020e-14
bb_814da828,3919.930000,41354.000000,1.04579380940379e-10
berlin_0653f5ca,931.252000,6942.940000,0.000405901605859963
berlin_690e28c6,931.252000,6942.940000,5.78276652132513e-07
bb_00cf6742,3253.965000,43024.570000,9.08041576557210e-09
berlin_34570898,3399.293000,25527.870000,2.64285950476358e-08
bb_5c7e7d69,3253.483000,33747.510000,2.40090137489565e-09
berlin_58591eb4,537.454000,4106.220000,0.00298139920100649
berlin_c92a91d2,537.454000,4106.220000,0.00338734063345341
berlin_01eecdec,4354.799000,33145.660000,6.26128719679342e-11
berlin_0c08ab2d,4354.799000,33145.660000,1.55848613768849e-12
berlin_22ab05a6,4354.799000,33145.660000,1.44271053661179e-17
berlin_3840f888,4354.799000,33145.660000,5.40272887469625e-10
berlin_57044e97,4354.799000,33145.660000,1.27790176333389e-17
berlin_5928555d,4354.799000,33145.660000,9.65860216118385e-11
berlin_6c4f1b26,4354.799000,33145.660000,7.75581325674551e-11
berlin_8423ffa7,4354.799000,33145.660000,1.08836342498934e-12
berlin_b1d1f88d,4354.799000,33145.660000,1.31905123615496e-11
berlin_e167f873,4354.799000,33145.660000,1.36412952948356e-17
bb_d09ff99c,3228.317000,40446.980000,1.16307283639421e-08
berlin_020471f0,2689.751000,19673.680000,5.95661100252166e-08
berlin_ca49209e,2562.301000,20717.880000,2.39084485166093e-09
berlin_50f80b6a,2689.751000,19673.680000,1.53043239219084e-11
berlin_965bc44e,2689.751000,19673.680000,5.06403604166659e-07
berlin_c1a257ba,2689.751000,19673.680000,2.63853139062221e-07
berlin_db5f2940,2689.751000,19673.680000,1.53953102830545e-08
bb_57e4b5eb,3423.514000,46496.590000,2.68822049446570e-10
bb_bbb381ba,3719.365000,32658.210000,3.13831993331320e-10
berlin_bdf9ac04,2760.797000,28300.340000,9.08554397143694e-08
berlin_433de6c5,905.283000,7240.320000,0.000419153294112686
berlin_7f8b9e9b,905.283000,7240.320000,0.000718537256585537
bb_7aae8416,3320.636000,35800.820000,9.72735187407075e-17
bb_cf4ab852,3341.840000,37973.650000,1.69867038586771e-25
bb_37481923,3158.266000,38000.000000,6.69169641625353e-10
bb_3935636c,3158.266000,38000.000000,1.72525096979458e-11
bb_5af0b247,3158.266000,38000.000000,1.56274115737348e-08
bb_81d41526,3158.266000,38000.000000,1.74733116050373e-11
bb_9db9df89,3158.266000,38000.000000,1.66723393548459e-08
bb_cd074066,3158.266000,38000.000000,4.86681546277194e-10
berlin_171b0956,654.985000,5655.940000,4.47192719210371e-06
berlin_34cf3ede,654.985000,5655.940000,0.000527144734397130
berlin_778f29b5,654.985000,5655.940000,0.000630021759504551
berlin_9e6b3c2e,654.985000,5655.940000,0.00169938476490546
berlin_eeb4fd8c,654.985000,5655.940000,0.000375177906564500
bb_cc083b2c,3411.660000,49702.940000,3.10527453850504e-15
berlin_32f93333,3348.987000,32302.370000,4.00583274739685e-11
bb_815686ba,4219.028000,44135.000000,9.96016661235094e-30
berlin_efbe2a2d,3348.987000,32302.370000,4.45194404542641e-10
berlin_15998b6c,3026.872000,32441.940000,5.39023401193868e-08
berlin_7e087acc,3289.088000,28821.930000,1.58406309723330e-10
berlin_8308f9ef,2002.627000,12806.320000,4.38000769250911e-06
berlin_9c3de00e,2002.627000,12806.320000,9.95179067278895e-07
berlin_a35ec6d1,2002.627000,12806.320000,3.53027614172699e-06
bb_25fb3df6,3019.896000,32829.660000,1.69154195466074e-08
bb_6ac768ec,7408.634000,112296.640000,1.13289359696927e-32
berlin_09edd53e,3290.028000,24092.190000,1.72738894473883e-13
berlin_360a40c7,3290.028000,24092.190000,5.77423010018184e-09
berlin_ba9331d1,3290.028000,24092.190000,4.47115705425851e-08
bb_ca670a21,3714.697000,35204.250000,4.46883879658526e-17
bb_91221f91,3072.266000,27771.710000,4.32710626824413e-10
bb_f3fa2eb7,3072.266000,27771.710000,3.32845691213162e-14
bb_bb96a994,3436.639000,47193.540000,2.07060847426633e-10
berlin_68f186ad,3424.774000,32666.980000,2.67575568174065e-10
berlin_7c2d1a5d,2565.025000,20737.260000,1.89781099973450e-08
berlin_34b2e0ab,2350.475000,18087.910000,2.29023007330957e-07
berlin_39f2da5d,2350.475000,18087.910000,1.75009494208540e-06
berlin_6f77e249,2350.475000,18087.910000,1.56649171777966e-08
berlin_750e5b7f,2350.475000,18087.910000,1.79894792321865e-06
berlin_9875046b,2350.475000,18087.910000,7.98617137487830e-08
berlin_b800e706,2350.475000,18087.910000,1.63703431098486e-08
berlin_06b90de9,3261.826000,28624.410000,6.62603328979322e-09
berlin_5942b18c,3261.826000,28624.410000,1.40544785690762e-11
