"id","xcoord","ycoord","personId","homeX","homeY","mode","age","sex","economic_status","accessibility","teleportedWalk_accessibility","diff","distance_m"
722,795947.408558944,5825645.83349804,"berlin_c0a26439",795913.060552208,5825739.40679177,"teleportedWalk",28,"f","very_high",-15.79,-16.2933333333333,0.5,99.68
760,796147.408558944,5825645.83349804,"berlin_e6e6242f",796176.726705773,5825673.18943792,"teleportedWalk",36,"f","medium",-16.31333333,-16.43,0.12,40.1
798,796347.408558944,5825645.83349804,"berlin_3ffa2091",796368.404031885,5825693.33797452,"teleportedWalk",21,"m","low",-16.41333333,-16.63,0.22,51.94
836,796547.408558944,5825645.83349804,"berlin_3db48551",796566.5253,5825652.66478524,"teleportedWalk",21,"f","high",-16.88666667,-16.8933333333333,0.01,20.3
609,795347.408558944,5825845.83349804,"berlin_b88455c4",795424.970293963,5825873.18149536,"teleportedWalk",54,"f","very_high",-15.07,-15.2433333333333,0.17,82.24
647,795547.408558944,5825845.83349804,"berlin_d232d0de",795568.272055933,5825855.63264595,"teleportedWalk",14,"m","high",-15.12333333,-15.1766666666667,0.05,23.05
685,795747.408558944,5825845.83349804,"berlin_c8d86550",795745.793212084,5825865.93415256,"teleportedWalk",7,"m","high",-15.07666667,-15.1833333333333,0.11,20.17
761,796147.408558944,5825845.83349804,"berlin_e57ab819",796143.845667237,5825826.49245337,"teleportedWalk",57,"f","medium",-15.5,-15.4033333333333,0.1,19.67
799,796347.408558944,5825845.83349804,"berlin_be90f674",796385.909469033,5825860.79305782,"teleportedWalk",79,"m","low",-15.59,-15.6166666666667,0.03,41.31
837,796547.408558944,5825845.83349804,"berlin_570a6f32",796514.230492703,5825901.184831,"teleportedWalk",30,"f","low",-15.57,-15.8966666666667,0.33,64.53
496,794747.408558944,5826045.83349804,"berlin_a2f63800",794767.253707241,5826043.341,"teleportedWalk",63,"f","low",-14.84666667,-14.8666666666667,0.02,20
534,794947.408558944,5826045.83349804,"berlin_eb262831",794895.845,5826065.1543533,"teleportedWalk",43,"f","medium",-14.54666667,-14.5766666666667,0.03,55.06
572,795147.408558944,5826045.83349804,"berlin_a6987633",795114.142214721,5826030.98492894,"teleportedWalk",41,"f","low",-14.46333333,-14.3566666666667,0.11,36.43
610,795347.408558944,5826045.83349804,"berlin_54ee4350",795323.713642519,5825986.42606872,"teleportedWalk",75,"m","medium",-14.53,-14.21,0.32,63.96
648,795547.408558944,5826045.83349804,"berlin_6dd7661f",795570.184603768,5825983.96197377,"teleportedWalk",33,"m","very_high",-14.45666667,-14.14,0.32,65.93
686,795747.408558944,5826045.83349804,"berlin_d904e578",795789.689270255,5826090.69809785,"teleportedWalk",36,"f","high",-13.92,-14.1433333333333,0.22,61.65
724,795947.408558944,5826045.83349804,"berlin_df35c6ef",795953.225176272,5826071.15931872,"teleportedWalk",31,"m","high",-14.09666667,-14.2233333333333,0.13,25.99
762,796147.408558944,5826045.83349804,"berlin_27e68732",796135.5603102,5826053.46807088,"teleportedWalk",54,"f","low",-14.33,-14.38,0.05,14.09
800,796347.408558944,5826045.83349804,"berlin_71d70c82",796328.1811,5826012.26709979,"teleportedWalk",50,"f","very_low",-14.75333333,-14.61,0.14,38.68
838,796547.408558944,5826045.83349804,"berlin_07389064",796514.97041502,5825979.45892611,"teleportedWalk",51,"f","low",-15.18333333,-14.9066666666667,0.28,73.88
876,796747.408558944,5826045.83349804,"berlin_b5216434",796695.561128491,5826046.36314635,"teleportedWalk",33,"f","very_high",-15.16666667,-15.27,0.1,51.85
497,794747.408558944,5826245.83349804,"berlin_b1bdfa12",794755.0544,5826166.48640556,"teleportedWalk",80,"m","low",-14.25666667,-13.88,0.38,79.71
535,794947.408558944,5826245.83349804,"berlin_24bc6905",794966.594889019,5826269.69616607,"teleportedWalk",71,"m","high",-13.42333333,-13.57,0.15,30.62
573,795147.408558944,5826245.83349804,"berlin_3a978067",795141.408032738,5826225.57624357,"teleportedWalk",36,"f","medium",-13.44333333,-13.3333333333333,0.11,21.13
649,795547.408558944,5826245.83349804,"berlin_7693c3b9",795501.244730742,5826192.72486456,"teleportedWalk",99,"m","low",-13.38666667,-13.1,0.29,70.37
687,795747.408558944,5826245.83349804,"berlin_9ba586b4",795737.406343826,5826260.71391415,"teleportedWalk",25,"f","high",-13.02666667,-13.1033333333333,0.08,17.93
725,795947.408558944,5826245.83349804,"berlin_2df81c61",795949.4731,5826160.42842748,"teleportedWalk",50,"f","low",-13.63333333,-13.1933333333333,0.44,85.43
763,796147.408558944,5826245.83349804,"berlin_3b8588aa",796135.90280004,5826218.11679357,"teleportedWalk",24,"f","high",-13.49,-13.36,0.13,30.01
801,796347.408558944,5826245.83349804,"berlin_7d352a41",796343.58862295,5826248.89093986,"teleportedWalk",19,"m","high",-13.58666667,-13.6066666666667,0.02,4.89
839,796547.408558944,5826245.83349804,"berlin_29d18e18",796497.695904405,5826215.59,"teleportedWalk",57,"f","low",-13.98666667,-13.9266666666667,0.06,58.19
915,796947.408558944,5826245.83349804,"berlin_a1b014f5",796945.17205018,5826237.69868727,"teleportedWalk",68,"m","high",-14.79666667,-14.7633333333333,0.03,8.44
574,795147.408558944,5826445.83349804,"berlin_13bd003c",795155.11771275,5826378.3002872,"teleportedWalk",19,"m","very_low",-12.65,-12.3133333333333,0.34,67.97
764,796147.408558944,5826445.83349804,"berlin_561c7682",796208.759150251,5826473.44817549,"teleportedWalk",41,"f","medium",-12.27666667,-12.3433333333333,0.07,67.28
916,796947.408558944,5826445.83349804,"berlin_0729aa32",796972.446287048,5826422.79264942,"teleportedWalk",50,"f","medium",-14.02,-13.85,0.17,34.03
1334,799147.408558944,5826445.83349804,"berlin_2ffa9b1e",799145.754894176,5826530.574,"teleportedWalk",45,"f","medium",-21.63666667,-21.8833333333333,0.25,84.76
1372,799347.408558944,5826445.83349804,"berlin_b748f80c",799327.901828971,5826457.231,"teleportedWalk",62,"f","medium",-22.64,-22.7566666666667,0.12,22.59
1410,799547.408558944,5826445.83349804,"berlin_d6a9c8d1",799554.245690971,5826466.4388423,"teleportedWalk",64,"f","very_low",-23.62333333,-23.6466666666667,0.02,21.71
1448,799747.408558944,5826445.83349804,"berlin_c234e098",799723.064117375,5826490.98195133,"teleportedWalk",23,"m","very_low",-24.32333333,-24.5466666666667,0.22,51.29
1486,799947.408558944,5826445.83349804,"berlin_0569bb8f",799954.611182839,5826543.95443611,"teleportedWalk",29,"f","high",-25.25333333,-25.46,0.21,98.38
1524,800147.408558944,5826445.83349804,"berlin_d2f81cd0",800129.237581134,5826475.29806331,"teleportedWalk",37,"f","medium",-26.22666667,-26.38,0.15,34.62
651,795547.408558944,5826645.83349804,"berlin_2400c5f5",795604.703657386,5826582.82244145,"teleportedWalk",46,"f","medium",-11.34,-11.02,0.32,85.17
879,796747.408558944,5826645.83349804,"berlin_cef84800",796697.534093571,5826583.92164203,"teleportedWalk",65,"m","medium",-12.61,-12.44,0.17,79.5
955,797147.408558944,5826645.83349804,"berlin_2dcdd838",797143.045421021,5826640.95229761,"teleportedWalk",36,"m","medium",-13.54,-13.5333333333333,0.01,6.55
1069,797747.408558944,5826645.83349804,"berlin_db93afe2",797778.99288228,5826622.672,"teleportedWalk",81,"m","high",-15.75666667,-15.5533333333333,0.2,39.17
1107,797947.408558944,5826645.83349804,"berlin_a5f9f206",798014.236483219,5826605.79354684,"teleportedWalk",91,"m","low",-16.70333333,-16.3066666666667,0.4,77.9
1259,798747.408558944,5826645.83349804,"berlin_79bbdf55",798799.701171014,5826704.14923964,"teleportedWalk",26,"f","high",-19.63333333,-19.5766666666667,0.06,78.33
1297,798947.408558944,5826645.83349804,"berlin_793ecc7d",798940.03200974,5826678.07645771,"teleportedWalk",24,"f","medium",-20.32333333,-20.4433333333333,0.12,33.08
1335,799147.408558944,5826645.83349804,"berlin_843de030",799205.813568512,5826684.454,"teleportedWalk",19,"m","very_low",-21.48666667,-21.3266666666667,0.16,70.02
1373,799347.408558944,5826645.83349804,"berlin_d8726c19",799374.240327796,5826646.91132158,"teleportedWalk",65,"m","low",-22.34333333,-22.2266666666667,0.12,26.85
1411,799547.408558944,5826645.83349804,"berlin_81dedb7d",799594.416230717,5826628.526,"teleportedWalk",38,"f","high",-23.39333333,-23.1333333333333,0.26,50.09
1449,799747.408558944,5826645.83349804,"berlin_bab2b9f4",799771.769853325,5826628.14757739,"teleportedWalk",43,"f","high",-24.21,-24.0533333333333,0.16,30.1
1487,799947.408558944,5826645.83349804,"berlin_959b5ed2",799951.038894607,5826610.693,"teleportedWalk",28,"m","low",-25.08,-24.9833333333333,0.1,35.33
1525,800147.408558944,5826645.83349804,"berlin_a475b05a",800115.989129907,5826609.09970204,"teleportedWalk",64,"f","low",-25.85333333,-25.92,0.07,48.34
1563,800347.408558944,5826645.83349804,"berlin_71c348c4",800353.943491198,5826650.5231061,"teleportedWalk",64,"f","high",-26.88666667,-26.8666666666667,0.02,8.04
348,793947.408558944,5826845.83349804,"berlin_b5de42b3",793945.7084,5826897.997,"teleportedWalk",2,"m","high",-13.08333333,-13.28,0.2,52.19
880,796747.408558944,5826845.83349804,"berlin_90f4aa18",796814.963030835,5826864.5937717,"teleportedWalk",60,"m","medium",-11.62666667,-11.53,0.1,70.11
918,796947.408558944,5826845.83349804,"berlin_b3e946b2",796920.353585801,5826803.13811179,"teleportedWalk",95,"m","medium",-12.19,-12.0833333333333,0.11,50.55
1032,797547.408558944,5826845.83349804,"berlin_42d596e9",797503.518143428,5826843.07504888,"teleportedWalk",36,"m","very_high",-13.93333333,-14.0833333333333,0.15,43.98
1070,797747.408558944,5826845.83349804,"berlin_10c00d2c",797740.3458,5826931.57184297,"teleportedWalk",41,"f","medium",-14.51333333,-14.8366666666667,0.32,86.03
1108,797947.408558944,5826845.83349804,"berlin_d4bb1a55",797921.864406426,5826803.30795577,"teleportedWalk",8,"m","very_high",-15.66333333,-15.6233333333333,0.04,49.61
1146,798147.408558944,5826845.83349804,"berlin_d20ff660",798137.32439566,5826883.5458683,"teleportedWalk",24,"f","very_low",-16.27666667,-16.4366666666667,0.16,39.04
1184,798347.408558944,5826845.83349804,"berlin_bb8bd124",798341.080659045,5826878.7190147,"teleportedWalk",58,"f","high",-17.15,-17.2733333333333,0.12,33.49
1222,798547.408558944,5826845.83349804,"berlin_6bab8f70",798609.2443,5826807.67418105,"teleportedWalk",62,"f","high",-18.51,-18.1333333333333,0.38,72.66
1260,798747.408558944,5826845.83349804,"berlin_2bc6d061",798726.407431974,5826808.18657786,"teleportedWalk",60,"f","low",-19.02,-19.01,0.01,43.11
1298,798947.408558944,5826845.83349804,"berlin_17e1c61f",798912.402298019,5826888.26976312,"teleportedWalk",45,"f","medium",-19.63666667,-19.9033333333333,0.27,55.01
1336,799147.408558944,5826845.83349804,"berlin_4d5a6099",799172.856045793,5826823.58276934,"teleportedWalk",78,"m","medium",-20.98,-20.81,0.17,33.8
1374,799347.408558944,5826845.83349804,"berlin_dd926fc1",799336.183992033,5826802.6304457,"teleportedWalk",44,"f","low",-21.78,-21.73,0.05,44.64
1412,799547.408558944,5826845.83349804,"berlin_ff18674b",799557.004572024,5826913.92081853,"teleportedWalk",52,"m","medium",-22.55,-22.6566666666667,0.11,68.76
1450,799747.408558944,5826845.83349804,"berlin_23e98cce",799731.455000859,5826807.83569807,"teleportedWalk",39,"m","medium",-23.60666667,-23.5966666666667,0.01,41.21
1488,799947.408558944,5826845.83349804,"berlin_de17859b",799977.340286517,5826868.46223577,"teleportedWalk",74,"m","very_high",-24.63666667,-24.5433333333333,0.09,37.52
1526,800147.408558944,5826845.83349804,"berlin_9d8ee159",800162.786671671,5826816.41736542,"teleportedWalk",25,"m","very_high",-25.63,-25.4966666666667,0.13,33.19
1564,800347.408558944,5826845.83349804,"berlin_f9aeea36",800342.515748582,5826909.40862819,"teleportedWalk",54,"f","very_high",-26.31,-26.4566666666667,0.15,63.76
387,794147.408558944,5827045.83349804,"berlin_cd1acf6d",794149.420663058,5827124.40505945,"teleportedWalk",27,"f","very_high",-11.5,-11.8133333333333,0.31,78.6
957,797147.408558944,5827045.83349804,"berlin_1166e7cf",797182.992470577,5827031.21808923,"teleportedWalk",34,"f","medium",-12.08,-11.9,0.18,38.47
995,797347.408558944,5827045.83349804,"berlin_4e44a0c6",797309.393010189,5827008.72638155,"teleportedWalk",48,"m","very_low",-12.61333333,-12.6133333333333,0,53.12
1071,797747.408558944,5827045.83349804,"berlin_394468d9",797710.137310098,5827087.49,"teleportedWalk",24,"f","medium",-13.87,-14.1566666666667,0.29,55.9
1185,798347.408558944,5827045.83349804,"berlin_d2079d81",798357.336788377,5827015.951,"teleportedWalk",8,"m","very_low",-16.82333333,-16.6966666666667,0.13,31.49
1223,798547.408558944,5827045.83349804,"berlin_faac9843",798458.299598243,5827082.01816881,"teleportedWalk",39,"f","high",-17.08666667,-17.5833333333333,0.5,96.18
1261,798747.408558944,5827045.83349804,"berlin_c5873030",798774.637748272,5827014.44579724,"teleportedWalk",58,"m","very_high",-18.69,-18.4866666666667,0.2,41.55
1299,798947.408558944,5827045.83349804,"berlin_18d5c159",798977.332997181,5827015.13530867,"teleportedWalk",64,"f","low",-19.61333333,-19.4033333333333,0.21,42.87
