"personId","age","sex","economic_status","income","carAvail","restricted_mobility","homeX","homeY","twalk_expSum","car_base_expSum","car_policy_expSum","pt_expSum","brainExpBeta","age_group","income_bin","bezirk","car_base_expSum_adj","car_policy_expSum_adj","mm_expSum_base","mm_expSum_policy","mm_logSum_base","mm_logSum_policy","mm_delta","car_share_base","changed","outcome","car_logSum_base","car_logSum_policy","car_delta"
"bb_a3182de8",42,"m","very_low",499,"always","No restriction",822208.99,5840749.26,6.89950135812152e-56,2.57500442310706e-19,1.1782964238017e-23,1.10312565400006e-26,1,"30–44","500",NA,2.57500442310706e-19,1.1782964238017e-23,2.57500453341963e-19,1.1793995494557e-23,-42.8032654722214,-52.7944516862903,-9.9911862140689,0.999999957160244,TRUE,"Worsened",-42.8032655150612,-52.7953874521796,-9.99212193711839
"bb_e72cea5d",62,"f","low",900,"always","No restriction",817710.09,5801704.81,1.44027511076407e-88,6.55871672347783e-15,2.66396186201444e-18,2.68778300055421e-33,1,"60+","900",NA,6.55871672347783e-15,2.66396186201444e-18,6.55871672347783e-15,2.66396186201444e-18,-32.6579814325121,-40.4667172373778,-7.80873580486568,1,TRUE,"Worsened",-32.6579814325121,-40.4667172373778,-7.80873580486568
"bb_1f354b40",61,"f","low",1500,"always","No restriction",812508.09,5812712.1,7.7570069210436e-54,1.53864393508148e-07,1.72083409514072e-10,3.83572242524674e-12,1,"60+","1500",NA,1.53864393508148e-07,1.72083409514072e-10,1.53868229230573e-07,1.75919131939318e-10,-15.6871692551608,-22.4609967041001,-6.77382744893924,0.999975071381243,TRUE,"Worsened",-15.6871941840903,-22.4830418176247,-6.7958476335344
"bb_d16fc378",91,"f","low",1500,"always","No restriction",812774.6,5812655.98,1.71703058857265e-54,1.67789491872855e-07,1.88305274040554e-10,3.83572242524674e-12,1,"60+","1500",NA,1.67789491872855e-07,1.88305274040554e-10,1.67793327595281e-07,1.92140996465801e-10,-15.6005328077368,-22.3727916568159,-6.77225884907912,0.99997714019693,TRUE,"Worsened",-15.6005556678012,-22.3929566719452,-6.79240100414406
"bb_a5b8402d",97,"m","medium",1500,"always","Restricted mobility",812905.46,5812464.2,3.63950692069368e-55,1.47574755168275e-07,1.75572297796796e-10,3.83572242524674e-12,1,"60+","1500",NA,1.47574755168275e-07,1.75572297796796e-10,1.47578590890701e-07,1.79408020222043e-10,-15.7289049834665,-22.4413584614946,-6.71245347802811,0.999974008950742,TRUE,"Worsened",-15.7289309748536,-22.462970204594,-6.73403922974042
"bb_a4268dfc",84,"m","low",1500,"always","No restriction",812935.12,5812426.18,2.62964332027672e-55,1.39497530135069e-07,1.65962680235277e-10,3.83572242524674e-12,1,"60+","1500",NA,1.39497530135069e-07,1.65962680235277e-10,1.39501365857494e-07,1.69798402660524e-10,-15.7851914446398,-22.4964092492774,-6.71121780463761,0.999972504051113,TRUE,"Worsened",-15.7852189409667,-22.5192581707071,-6.73403922974042
"bb_0ab81cc0",59,"f","low",1500,"always","No restriction",819589.54,5814557.43,1.49459895900481e-51,2.82648006607071e-09,4.70680246368946e-12,7.57654681282357e-36,1,"45–59","1500",NA,2.82648006607071e-09,4.70680246368946e-12,2.82648006607071e-09,4.70680246368946e-12,-19.6842336923515,-26.0820123208891,-6.39777862853758,1,TRUE,"Worsened",-19.6842336923515,-26.0820123208891,-6.39777862853758
"bb_d8927987",48,"m","low",2000,"always","No restriction",812718.96,5812467.67,2.61677231192354e-42,1.01921360367111e-06,1.78745314453913e-09,3.83572242524674e-12,1,"45–59","2000",NA,1.01921360367111e-06,1.78745314453913e-09,1.01921743939354e-06,1.79128886696438e-09,-13.79647544141,-20.140330438786,-6.34385499737608,0.999996236600477,TRUE,"Worsened",-13.7964792048166,-20.1424740545492,-6.34599484973261
"bb_13b561d8",26,"f","very_low",1500,"always","No restriction",812805.74,5811057.18,2.06175278795858e-40,6.61363545842714e-08,1.13778768729369e-10,3.83572242524674e-12,1,"15–29","1500",NA,6.61363545842714e-08,1.13778768729369e-10,6.61401903066967e-08,1.17614491154615e-10,-16.5314892520655,-22.8636088639516,-6.33211961188608,0.999942006177977,TRUE,"Worsened",-16.5315472475693,-22.8967651781678,-6.36521793059851
"bb_f99a9ae2",88,"m","low",1500,"always","Restricted mobility",812877.54,5811198.73,7.1582925006036e-58,5.84454850495367e-08,1.00354114253558e-10,3.83572242524674e-12,1,"60+","1500",NA,5.84454850495367e-08,1.00354114253558e-10,5.84493207719619e-08,1.04189836678805e-10,-16.6551057697637,-22.984806528038,-6.32970075827429,0.999934375243808,TRUE,"Worsened",-16.6551713966733,-23.0223160424877,-6.36714464581436
