personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_023865c8,8,m,medium,3000.0,never,false,809043.4694099862,5833260.097923638,9.001051632207374E-4,1.0,
berlin_8cf6fcf4,47,f,low,1500.0,always,false,797989.3700252543,5830741.370080696,0.026732168797869757,1.0,
bb_0db1995a,90,f,medium,1500.0,always,false,806510.2,5842473.78,1.2957248871728088E-6,1.0,
berlin_b4ab41d5,28,m,medium,2000.0,always,false,803182.7789747168,5827382.922792667,0.03105069374677307,1.0,
bb_5b35341c,63,m,high,3600.0,always,true,780759.36,5835055.27,0.002078258515410243,1.0,
berlin_5c9c710f,26,f,medium,3000.0,always,false,806919.8209017764,5816289.473925285,1.1022631050532256E-4,1.0,
berlin_037d1813,7,m,medium,3600.0,never,false,803149.5750070676,5837773.648118533,0.0018335874735804709,1.0,
berlin_83579348,99,m,very_low,500.0,always,false,780345.5212007747,5830453.280293167,2.126057941806654E-4,1.0,
berlin_c7935347,62,f,low,900.0,always,true,794354.3593029801,5836093.35979935,1.7455061569666254E-5,1.0,
berlin_8d962a9c,7,m,very_high,5600.0,never,false,785112.1462561992,5826924.974740329,0.1629695491489868,1.0,
berlin_12590381,19,f,medium,3000.0,always,false,805394.7368601875,5827468.755524409,0.010903050632702601,1.0,
bb_b9656c89,20,m,very_high,5600.0,always,false,848095.46,5895591.01,3.768456786629819E-15,1.0,
berlin_d519fc87,59,m,high,3600.0,always,false,791847.7317355855,5826372.180903228,0.18989271278433584,1.0,
berlin_413e0daf,29,f,very_low,500.0,always,false,795693.9830148623,5830670.746135298,0.0037321509517304415,1.0,
bb_2486daf6,33,m,medium,2000.0,always,false,867380.84,5747335.94,3.421299904101115E-24,1.0,
berlin_8febba8b,35,f,high,3600.0,always,false,805036.7585482143,5815620.291776652,2.275795833806752E-4,1.0,
berlin_ba2cc07e,22,f,medium,3000.0,always,false,791261.2506055953,5829626.27832129,0.029666349565362966,1.0,
bb_138726e5,57,f,medium,2600.0,always,false,777674.01,5830840.76,0.0032590120045434766,1.0,
berlin_a00f5ef5,34,m,low,3000.0,always,false,801157.7584645041,5820839.549532834,0.008031306155488735,1.0,
