personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_131c2c8e,28800.0,car,46,f,very_high,always,true,765937.23,5843302.71,-13.51962762705164,
bb_018b4271,28800.0,car,30,m,medium,always,false,800985.42,5809781.66,-34.239893437367236,
bb_0b938d0c,28800.0,car,42,f,medium,always,false,812600.43,5871884.11,-25.742396227215288,
bb_04b072ea,28800.0,car,51,m,medium,always,false,800167.04,5808444.02,-34.61079541526406,
bb_148b7c41,28800.0,car,59,m,very_low,always,true,814755.74,5848774.27,-31.167415460325927,
bb_0f0ac569,28800.0,car,51,f,high,always,false,770431.24,5828365.65,-16.72563589183425,
bb_143ffbb7,28800.0,car,78,m,medium,always,true,802034.44,5814838.97,-31.084898947430197,
bb_0c567c10,28800.0,car,74,f,low,always,false,801667.35,5855600.83,-31.360704879242395,
bb_0c63877d,28800.0,car,36,f,high,always,false,815346.36,5831237.46,-40.64994462700676,
bb_0a3844eb,28800.0,car,5,m,very_low,never,false,774438.71,5818273.27,-21.82031325888614,
bb_08bd7d70,28800.0,car,59,m,very_high,always,false,739933.78,5809019.72,-33.7811932608737,
bb_117ada04,28800.0,car,51,f,medium,always,true,776481.16,5801413.33,-27.585111293284875,
bb_10129015,28800.0,car,48,f,medium,always,false,780888.22,5799329.16,-26.156197774405218,
bb_0bfbac76,28800.0,car,42,f,very_low,always,false,813312.4,5807882.52,-130.3703484650297,
bb_12698bba,28800.0,car,73,m,low,always,false,807471.96,5843833.22,-24.223350896150684,
bb_0025be67,28800.0,car,38,m,medium,always,false,786800.02,5851130.36,-18.36278914221712,
bb_1353fc6a,28800.0,car,78,f,medium,always,false,790077.1,5812534.78,-20.705043539615517,
bb_10b21560,28800.0,car,46,m,low,always,false,814589.78,5830274.09,-36.40598648061922,
bb_00d9d462,28800.0,car,9,f,high,never,false,806066.42,5840386.09,-30.463755090350062,
bb_0f080ed3,28800.0,car,45,f,medium,always,false,826749.54,5831715.61,-32.66313600987722,
bb_0cde4385,28800.0,car,42,m,low,always,false,765781.43,5847422.61,-14.722672674581027,
bb_0529f274,28800.0,car,59,m,medium,always,false,805205.05,5843543.98,-30.955407525344103,
bb_0d04345e,28800.0,car,19,m,very_low,always,false,802030.06,5853020.81,-27.760816733239427,
bb_0d4b2627,28800.0,car,2,f,very_low,never,false,795838.81,5841765.33,-22.442632503758965,
bb_08b49a6d,28800.0,car,70,m,medium,always,false,773715.28,5798817.06,-24.50184116351511,
bb_0124bdf0,28800.0,car,24,m,high,always,false,783916.52,5840368.43,-19.291796335417263,
bb_0ff810b0,28800.0,car,15,m,low,never,false,787284.24,5816057.32,-18.169847309682503,
bb_0eb9593d,28800.0,car,89,f,high,always,false,793117.46,5840045.64,-23.41627264302931,
bb_0eedffb7,28800.0,car,78,m,medium,always,true,785852.22,5814205.22,-21.437903479826733,
bb_0e38d585,28800.0,car,76,f,low,always,false,783658.85,5845951.17,-16.892957740549072,
bb_026a1c21,28800.0,car,67,m,low,always,false,762181.29,5805899.21,-27.83268093387064,
bb_02cb97be,28800.0,car,28,m,very_high,always,false,802455.9,5805972.93,-91.8456697014674,
bb_0edb6570,28800.0,car,14,m,very_high,always,false,795975.42,5840794.12,-26.04829748224255,
bb_0d20c211,28800.0,car,72,m,very_low,always,false,778589.13,5809003.58,-25.42088060823356,
bb_063583a1,28800.0,car,57,f,medium,always,true,772550.89,5815868.77,-24.168978922044758,
bb_1254ba80,28800.0,car,4,f,high,never,false,788173.21,5789255.99,-30.05402869237881,
bb_15fd06c7,28800.0,car,63,m,high,always,false,814446.12,5846310.63,-76.0038823704689,
bb_006def2b,28800.0,car,50,m,low,always,false,785958.59,5811680.76,-25.615179772566144,
bb_097a0a32,28800.0,car,63,m,very_low,always,false,830291.52,5813504.25,-37.094196934634354,
bb_13490f37,28800.0,car,74,m,low,always,false,767226.43,5811623.21,-71.06549802445845,
bb_0f3f0f92,28800.0,car,62,m,high,always,false,774369.07,5803897.93,-28.02595649053976,
bb_0b9fca18,28800.0,car,32,f,medium,always,false,775301.5,5833150.91,-19.663403087895688,
bb_0d06e41f,28800.0,car,20,m,high,always,false,770105.64,5813566.8,-20.4609847612091,
bb_02333214,28800.0,car,55,m,very_high,always,false,793357.21,5809472.66,-22.949764347735716,
bb_099141b4,28800.0,car,37,m,low,always,false,775642.71,5831041.5,-21.131869479932497,
bb_0d1b0619,28800.0,car,7,f,low,never,false,770966.01,5841080.53,-14.413951083897174,
bb_07363827,28800.0,car,53,f,high,always,false,784414.47,5839352.55,-17.350721986791513,
bb_0647bddf,28800.0,car,28,f,high,always,false,785865.54,5811716.85,-25.56043707122699,
bb_02cc675d,28800.0,car,23,f,very_low,always,false,786743.41,5812044.05,-25.57650854883168,
bb_0267b5aa,28800.0,car,75,m,low,always,true,786441.37,5801511.1,-64.80603313490668,
bb_0b077463,28800.0,car,57,f,medium,always,false,749963.64,5784084.96,-28.60843716682576,
bb_0c861f9f,28800.0,car,29,m,very_low,always,false,775452.08,5813125.56,-19.626938373211182,
bb_0f5aaa06,28800.0,car,7,m,low,never,false,822583.93,5819778.02,-33.1608973249538,
bb_06e8f4dd,28800.0,car,45,f,medium,always,false,758925.21,5836272.66,-14.079131428106175,
bb_01cdfe6e,28800.0,car,98,m,low,always,true,784210.89,5837445.57,-20.135717335298132,
bb_15826368,28800.0,car,24,f,very_low,always,false,775432.8,5813193.42,-22.34179035115362,
bb_057d8574,28800.0,car,42,f,medium,always,false,790527.3,5803142.9,-33.90736027615817,
bb_0220a496,28800.0,car,42,m,high,always,false,877896.29,5813469.98,-59.909894420551865,
bb_028a8b56,28800.0,car,38,f,low,always,false,784886.05,5853861.25,-19.378208941505733,
bb_03838863,28800.0,car,50,m,very_low,always,false,819380.63,5811512.49,-35.29085485412378,
bb_0468a76a,28800.0,car,75,f,high,always,true,815456.37,5830930.73,-37.5194813937817,
bb_03c1e815,28800.0,car,52,m,low,always,false,797879.36,5852831.34,-21.9790930818385,
bb_02cb558c,28800.0,car,40,m,very_low,always,false,766585.73,5828911.74,-16.75552440512736,
bb_07f333bc,28800.0,car,21,f,low,always,false,792836.77,5804527.18,-23.187958572047364,
bb_0599fa71,28800.0,car,6,f,medium,never,false,820018.11,5842521.03,-30.735991389697098,
bb_129c0420,28800.0,car,38,m,medium,always,false,806968.3,5843977.88,-30.185017568123218,
bb_104deaf3,28800.0,car,94,f,medium,always,false,801187.72,5852471.28,-31.123081986081463,
bb_01a3d101,28800.0,car,21,m,very_high,always,false,783697.42,5840702.17,-20.276945909275938,
bb_13fdc71e,28800.0,car,52,f,low,always,true,780123.15,5842756.33,-18.318628210053202,
bb_06812b31,28800.0,car,30,f,high,always,false,780944.97,5809731.13,-24.58425849828839,
bb_0160f6b5,28800.0,car,68,f,low,always,false,812927.6,5810580.59,-41.25589660296873,
bb_02808d2b,28800.0,car,13,f,high,never,false,814768.99,5804331.97,-42.65483231293902,
bb_0c99ce4e,28800.0,car,66,f,low,always,false,765460.05,5798638.48,-29.88473417114688,
bb_05fe26b1,28800.0,car,98,m,medium,always,true,801042.56,5810405.96,-29.298525386922208,
bb_164ee2b6,28800.0,car,30,f,medium,always,true,807638.38,5847894.06,-23.56387755321324,
bb_155a6faf,28800.0,car,62,m,medium,always,false,789000.52,5813452.62,-25.193167080735996,
bb_158c395b,28800.0,car,33,f,medium,always,false,810002.15,5851978.31,-34.73842408539427,
bb_02c6dd3c,28800.0,car,16,m,medium,never,false,815499.43,5800459.57,-42.48366545673002,
bb_0337e812,28800.0,car,3,f,high,never,false,774630.29,5804611.88,-27.72725495345016,
bb_1587b9ef,28800.0,car,58,m,low,always,true,810198.07,5834626.36,-31.696735471415412,
bb_0d62b4a1,28800.0,car,41,f,high,always,false,755964.82,5870569.3,-26.97249650097762,
bb_0e0a9e81,28800.0,car,35,f,very_low,always,false,775114.69,5814261.97,-44.403462461270045,
bb_0322de67,28800.0,car,92,f,low,always,true,780867.32,5836202.38,-19.298972815692423,
bb_00db29ac,28800.0,car,15,f,low,never,false,788297.9,5815515.32,-25.0233347456996,
bb_114d51a7,28800.0,car,32,m,medium,always,false,845716.65,5813006.48,-41.854651179347414,
bb_02d54031,28800.0,car,90,m,medium,always,true,818697.48,5823841.47,-36.96273560358454,
bb_03053cff,28800.0,car,43,m,low,always,false,783805.8,5841285.24,-18.628917055246355,
bb_0f621811,28800.0,car,59,m,very_low,always,true,819512.43,5828575.86,-39.72726474777797,
bb_09bad24f,28800.0,car,58,m,low,always,false,844540.07,5813293.05,-60.4229026770431,
bb_10a55abd,28800.0,car,48,m,low,always,false,822731.21,5820372.67,-38.004570713675406,
bb_0425bb26,28800.0,car,32,f,high,always,false,775552.96,5812963.24,-23.533220024430065,
bb_01b12e6a,28800.0,car,40,f,very_high,always,false,783206.75,5849656.0,-21.975205768669845,
bb_0b599418,28800.0,car,5,m,high,never,false,775095.22,5818657.89,-22.090417744823696,
bb_14cde362,28800.0,car,84,f,very_low,always,false,799525.81,5810628.69,-33.73049939886461,
bb_0198c1fa,28800.0,car,6,m,very_high,never,false,780255.02,5842979.51,-42.191639228004334,
bb_0e31c321,28800.0,car,11,m,medium,never,false,762429.48,5796276.42,-26.024403131190812,
bb_15b6fea1,28800.0,car,57,f,very_low,always,true,805292.65,5793929.03,-37.28091721570029,
bb_15689fa0,28800.0,car,1,m,low,never,false,784300.82,5839422.01,-23.058744025757115,
bb_159549df,28800.0,car,32,m,very_low,always,false,771486.19,5814148.25,-23.95471485260287,
bb_14c6c2de,28800.0,car,23,m,very_high,always,false,775502.26,5828367.27,-19.33133873633725,
bb_12be37aa,28800.0,car,18,m,very_low,always,true,808484.18,5845548.19,-15.105514069409313,
bb_12649366,28800.0,car,96,f,medium,always,true,802155.13,5809587.55,-35.66087302372256,
bb_075d141d,28800.0,car,23,f,medium,always,false,785811.42,5851191.04,-23.182720379949938,
bb_069f9e0f,28800.0,car,64,f,medium,always,false,796324.77,5853720.72,-29.019716032885235,
bb_14eb4ddd,28800.0,car,38,f,high,always,false,808123.02,5837435.52,-83.92917517249876,
bb_0bbaeafa,28800.0,car,52,f,high,always,false,765905.0,5833818.15,-15.276475758281022,
bb_03129ef1,28800.0,car,68,m,low,always,false,788274.81,5853314.38,-23.408420122378736,
bb_00564c86,28800.0,car,93,m,high,always,false,814783.29,5812997.37,-34.25570850911043,
bb_11fbcfb5,28800.0,car,70,f,medium,always,true,789551.81,5803870.41,-30.475556413256008,
bb_116ce986,28800.0,car,58,m,low,always,false,768103.24,5828836.8,-15.192267732896976,
bb_1649798c,28800.0,car,60,f,medium,always,false,819274.59,5746362.21,-51.12308647029856,
