personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_b82b5437,28800.0,car,43,f,medium,always,false,786869.48,5844518.08,-9.289751193774116,
bb_3e778570,28800.0,car,50,m,high,always,false,800433.71,5810027.56,-28.70604097231743,
bb_55b0e00f,28800.0,car,27,f,low,always,true,810014.69,5813471.18,-25.065738192234228,
bb_c08e20a2,28800.0,car,11,f,high,never,false,779803.07,5812986.82,-20.559298816248077,
bb_b61c7d99,28800.0,car,64,f,high,always,false,790091.89,5845848.51,-10.178027899420389,
bb_04a31a1c,28800.0,car,67,m,medium,always,false,827505.96,5831434.55,-20.106675065106273,
bb_810925cf,28800.0,car,49,m,high,always,false,778795.6,5814519.24,-19.33333258175974,
bb_7b1b7065,28800.0,car,2,m,high,never,false,807342.02,5842964.16,-15.788044410101683,
bb_81b76c99,28800.0,car,42,m,high,always,true,787651.26,5791492.6,-20.810534332813475,
bb_cd49997d,28800.0,car,40,m,very_high,always,false,818129.16,5804580.09,-40.52051421417611,
bb_39a8bd30,28800.0,car,48,f,high,always,false,800903.87,5807996.79,-24.47552318717502,
bb_55e62cd9,28800.0,car,66,m,very_high,always,false,806470.56,5841619.7,-17.771045885327272,
bb_380a6f19,28800.0,car,86,f,medium,always,false,810071.39,5851794.19,-16.352804627128414,
bb_bacf674a,28800.0,car,54,f,very_low,always,false,814818.6,5806156.38,-28.971737836389675,
bb_cbeca7b6,28800.0,car,3,f,medium,never,false,778070.33,5830986.73,-12.908731838540916,
bb_c66dc4e4,28800.0,car,38,f,low,always,false,792396.86,5812870.78,-21.560167399332148,
bb_8dfc6dbf,28800.0,car,30,f,very_low,always,false,802589.83,5859054.16,-15.38783426373719,
bb_50a6d11b,28800.0,car,39,f,medium,always,true,823437.1,5818826.63,-24.83762033926921,
bb_400f218a,28800.0,car,28,f,medium,always,false,784255.59,5800899.64,-22.783822341267946,
bb_6e6399b3,28800.0,car,50,f,very_high,always,false,776045.8,5834016.12,-12.425348017397214,
bb_49dbb602,28800.0,car,81,f,medium,always,false,791507.14,5844413.84,-10.928424601481561,
bb_71cbb0cf,28800.0,car,30,m,medium,always,false,777437.94,5814937.55,-19.921905597242553,
bb_1dc4acf0,28800.0,car,1,f,medium,never,false,809689.73,5845357.55,-23.687528134652748,
bb_5d377580,28800.0,car,55,f,medium,always,false,801602.81,5809540.56,-23.33540289772055,
bb_89e878d5,28800.0,car,63,m,medium,always,false,745071.95,5848204.38,-17.67145093887264,
bb_49c13009,28800.0,car,30,f,medium,always,false,777346.93,5811166.59,-22.017862360528152,
bb_4e0675da,28800.0,car,57,m,high,always,false,775973.01,5813490.59,-24.169283424705128,
bb_c8a374b3,28800.0,car,97,f,very_low,always,false,783739.69,5840941.75,-7.596781982963617,
bb_ad160875,28800.0,car,54,m,medium,always,false,775265.52,5813243.65,-21.806615656324176,
bb_a527944c,28800.0,car,60,m,medium,always,false,783442.66,5780416.17,-24.903947252077966,
bb_9535c8be,28800.0,car,16,m,low,never,false,810344.49,5847479.56,-18.680701984474542,
bb_1acb0acd,28800.0,car,56,m,medium,always,false,812962.0,5834385.76,-15.070945377048428,
bb_869922d8,28800.0,car,3,m,medium,never,false,780305.83,5831414.42,-12.500471566900742,
bb_6d37cf57,28800.0,car,72,m,medium,always,false,773364.68,5839771.86,-12.696526928057137,
bb_9de14aee,28800.0,car,51,m,medium,always,false,802199.01,5814464.77,-15.965456952778194,
bb_1fe2a332,28800.0,car,28,m,medium,always,false,779091.84,5821796.75,-16.655529183043175,
bb_763981b3,28800.0,car,55,f,high,always,false,802649.16,5803338.44,-22.691952301294428,
bb_6aa8a4c2,28800.0,car,19,m,very_low,always,false,789991.3,5803789.44,-25.276316851219555,
bb_50b40445,28800.0,car,68,f,medium,always,false,795892.98,5843864.09,-12.060988683079156,
bb_4a313b81,28800.0,car,59,m,very_high,always,false,790346.06,5846385.07,-10.893011063444561,
bb_b7197147,28800.0,car,81,f,medium,always,false,788153.35,5804193.75,-60.18811891654458,
bb_ac30a12d,28800.0,car,60,f,very_low,always,true,770564.75,5809312.97,-22.72983563730133,
bb_50234b8b,28800.0,car,12,f,high,never,false,816293.45,5808718.64,-28.822710650884652,
bb_43e4b156,28800.0,car,69,f,low,always,false,781599.9,5811619.87,-21.567087693762208,
bb_d4f8e33c,28800.0,car,22,m,high,always,false,786352.92,5813949.41,-20.088448586758698,
bb_82857b3a,28800.0,car,44,m,low,always,true,778598.06,5821234.41,-21.701299644589508,
bb_4143a543,28800.0,car,65,m,very_low,always,false,786512.12,5852714.37,-12.270667829420798,
bb_085b8043,28800.0,car,72,m,low,always,false,773663.57,5811626.84,-52.424166484772954,
bb_aa3ca0f4,28800.0,car,92,f,very_low,always,false,822741.6,5831541.48,-24.451590085753093,
bb_5a77a15b,28800.0,car,36,m,high,always,false,806150.46,5814568.98,-24.167399646047556,
bb_7da2e8f3,28800.0,car,20,m,medium,always,false,814729.07,5813172.64,-24.765220928040343,
bb_444dbc07,28800.0,car,51,f,medium,always,false,775824.25,5819427.04,-14.987350171426595,
bb_41cc0225,28800.0,car,67,m,high,always,false,753219.55,5805290.84,-12.907335883317284,
bb_02434f4d,28800.0,car,19,f,medium,always,true,777515.94,5831452.83,-15.6645159278408,
bb_d9ee3bce,28800.0,car,3,m,high,never,false,762265.53,5832453.86,-23.912170201258007,
bb_446321b0,28800.0,car,57,m,medium,always,false,799839.56,5850020.28,-15.189119851961816,
bb_1e2f8a03,28800.0,car,2,m,high,never,false,770246.9,5833115.21,-14.908956196890893,
bb_2b682002,28800.0,car,82,m,low,always,true,779357.13,5844228.47,-10.130999313379451,
bb_8ba99f9e,28800.0,car,24,f,high,always,false,778441.86,5812648.58,-19.849154208217865,
bb_8b86a99b,28800.0,car,59,f,very_low,always,true,767588.63,5829562.54,-12.800372904190802,
bb_7e859476,28800.0,car,51,f,very_low,always,false,781613.45,5846357.29,-9.8264181297936,
bb_83ef6bea,28800.0,car,0,m,very_low,never,false,810011.91,5844941.56,-11.790017961810575,
bb_c30b21a9,28800.0,car,83,f,medium,always,true,818048.84,5804293.41,-30.953775352606268,
bb_7743ae46,28800.0,car,65,m,very_low,always,false,788663.19,5848254.86,-10.458387507683849,
bb_a981531f,28800.0,car,71,m,medium,always,false,790662.48,5803332.98,-26.03516502225848,
bb_90933f9f,28800.0,car,50,m,medium,always,false,783556.8,5803454.9,-17.83129233378562,
bb_3ca9879b,28800.0,car,1,m,very_low,never,false,789111.49,5812159.72,-20.985504602592997,
bb_d4d3d8b9,28800.0,car,49,m,high,always,false,821888.54,5830433.93,-25.87962756058739,
bb_b34ef800,28800.0,car,32,f,low,always,false,813971.48,5830646.43,-22.95262913688189,
bb_16f26a38,28800.0,car,37,f,medium,always,false,792062.47,5813739.02,-20.532547405042134,
bb_33e0cba9,28800.0,car,48,f,high,always,false,813079.3,5811236.37,-26.557417844371116,
bb_2abce0ba,28800.0,car,55,m,very_low,always,true,814412.13,5806988.85,-21.828301776163382,
bb_ba3cb294,28800.0,car,23,m,low,always,true,786044.23,5853033.02,-10.729222570338342,
bb_2545eaca,28800.0,car,60,f,very_high,always,true,786082.43,5849805.37,-11.324564069451569,
bb_7ebec462,28800.0,car,4,m,medium,never,false,767625.3,5810818.54,-17.743191681118237,
bb_c5d44bbe,28800.0,car,90,m,medium,always,false,821892.65,5830584.14,-25.351599562578148,
bb_d89d53b3,28800.0,car,84,f,medium,always,false,767704.68,5810825.42,-17.763511191007126,
bb_cceb413c,28800.0,car,48,f,high,always,false,789965.55,5810870.79,-21.97650029496459,
bb_c2afe879,28800.0,car,63,m,low,always,false,815639.26,5801305.74,-28.283842178512987,
bb_14c6c2de,28800.0,car,23,m,very_high,always,false,775502.26,5828367.27,-15.853078515811351,
bb_505e8dcc,28800.0,car,56,m,low,always,false,784016.62,5852961.38,-12.174453343670796,
bb_ac257ef9,28800.0,car,11,m,very_low,never,false,788156.9,5815796.91,-21.260720993097454,
bb_209b653c,28800.0,car,15,m,low,never,false,806854.11,5846076.2,-25.560766498932235,
bb_480b8b9f,28800.0,car,72,m,low,always,false,821259.13,5841259.4,-24.561914215449743,
bb_9e504853,28800.0,car,56,f,high,always,true,778981.03,5812980.12,-20.708113096121714,
bb_6f6eeb41,28800.0,car,62,m,very_high,always,false,820434.26,5812723.11,-28.626935348409976,
bb_37aa2cd7,28800.0,car,93,f,medium,always,false,820839.58,5834340.91,-24.456432875183058,
bb_d7387018,28800.0,car,61,m,high,always,false,789126.29,5843989.53,-9.80742562413278,
bb_18ff6e11,28800.0,car,59,f,medium,always,true,795838.83,5842803.68,-11.85399538792123,
bb_35b5f25d,28800.0,car,57,f,medium,always,false,777227.91,5804043.9,-20.438468731514828,
bb_9187faf4,28800.0,car,9,m,medium,never,false,796628.65,5850500.48,-14.085318077506095,
bb_7f356889,28800.0,car,52,f,low,always,true,799357.73,5807931.27,-59.42644543291562,
bb_9975eac9,28800.0,car,98,m,low,always,true,770677.87,5834135.46,-13.86913242111392,
bb_0682d5f0,28800.0,car,52,f,very_low,always,true,812362.51,5812171.37,-26.011882006313975,
bb_dbbe2917,28800.0,car,70,m,high,always,false,822245.37,5818150.27,-33.07651771952569,
