personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_890d97f6,28800.0,car,86,m,low,always,true,810474.74,5846609.75,-52.91463869755364,
bb_77583cca,28800.0,car,98,m,medium,always,false,864819.68,5852641.49,-29.270653167518276,
bb_a3f835d5,28800.0,car,22,f,medium,always,false,809319.14,5846456.9,-22.294973791611564,
bb_1e867e6e,28800.0,car,26,f,high,always,false,777542.57,5813001.58,-69.12572192604748,
bb_d3c4130e,28800.0,car,25,f,very_low,always,false,769808.51,5813831.24,-26.100862606937273,
bb_ab3cd928,28800.0,car,27,f,very_low,always,false,813284.7,5812208.8,-32.82128940482364,
bb_96811a5a,28800.0,car,67,m,medium,always,false,813989.47,5832877.77,-27.721611416236186,
bb_8b04c943,28800.0,car,44,f,high,always,false,773858.67,5818090.08,-31.791710827348485,
bb_bbe46716,28800.0,car,18,f,low,always,true,779118.36,5812195.41,-27.659392632589675,
bb_80bea82c,28800.0,car,45,m,low,always,false,777768.14,5830750.5,-15.408989273089617,
bb_545041ca,28800.0,car,39,m,medium,always,false,784598.73,5840557.67,-11.786139649136173,
bb_1b9cab14,28800.0,car,47,f,high,always,false,754259.32,5857761.75,-18.246444058235184,
bb_6e17c85e,28800.0,car,94,m,medium,always,true,787285.34,5814661.1,-25.092401371610503,
bb_5c7e7d69,28800.0,car,57,m,high,always,true,820207.52,5834906.64,-28.62962532108363,
bb_51cb0968,28800.0,car,45,m,medium,always,false,775991.76,5813350.99,-28.268202694746083,
bb_cbf0daea,28800.0,car,45,f,very_low,always,false,765986.5,5810919.78,-26.299619164341156,
bb_2fc2b2b6,28800.0,car,59,f,high,always,false,814269.01,5824796.34,-28.966769751876885,
bb_b006828d,28800.0,car,36,m,medium,always,false,777121.76,5814571.05,-26.959464659535442,
bb_c732162c,28800.0,car,65,f,very_low,always,false,784734.01,5840155.95,-15.011162747875517,
bb_3f0d1f45,28800.0,car,36,f,medium,always,false,778794.2,5808890.4,-29.950770499866827,
bb_c72fd391,28800.0,car,65,f,very_low,always,false,809891.06,5849243.5,-16.462556854070986,
bb_7f1c4e7c,28800.0,car,42,m,medium,always,false,817889.97,5829413.39,-29.31968596074812,
bb_14f41b94,28800.0,car,40,m,medium,always,false,886390.11,5791643.83,-42.00022724392987,
bb_565b2aef,28800.0,car,67,f,low,always,true,802432.05,5855284.76,-18.604395554364096,
bb_6e2e7770,28800.0,car,61,m,medium,always,false,778602.25,5810349.63,-29.682599595409073,
bb_63ed4126,28800.0,car,42,m,medium,always,false,807375.42,5844292.51,-21.662611076836164,
bb_abd67388,28800.0,car,3,f,very_high,never,false,801802.78,5816077.73,-96.84287293313807,
bb_bf2abc25,28800.0,car,62,f,high,always,false,816159.41,5801735.87,-33.166382765860405,
bb_8a8769a7,28800.0,car,5,f,high,never,false,781773.61,5810217.13,-30.609109054188924,
bb_7469e6b8,28800.0,car,28,m,high,always,false,810471.54,5847337.57,-18.577077612372452,
bb_a85b9ef4,28800.0,car,69,m,medium,always,false,810506.22,5843101.22,-23.115317949420465,
bb_5e097130,28800.0,car,22,f,very_low,always,false,765649.54,5847609.92,-12.998174226546595,
bb_d0017aba,28800.0,car,0,f,high,never,false,775659.91,5813661.87,-20.961175144093,
bb_84ff3e9e,28800.0,car,45,f,high,always,false,821039.71,5864052.34,-23.116913067305724,
bb_18b5d2bd,28800.0,car,37,f,very_high,always,false,813508.27,5793944.42,-26.00335417135695,
bb_c3b7c61b,28800.0,car,60,f,very_low,always,false,814865.54,5811138.94,-22.80785617355455,
bb_7f5bf441,28800.0,car,55,m,very_high,always,false,799209.52,5807721.06,-31.681358914240885,
bb_15167ddf,28800.0,car,46,f,medium,always,false,790174.49,5803597.52,-33.334718652974026,
bb_678f5e2c,28800.0,car,19,m,high,always,false,801657.0,5810510.2,-30.563576953526024,
bb_5c3cdcb6,28800.0,car,63,m,low,always,false,807033.37,5849216.89,-20.191985882751794,
bb_3d43da5e,28800.0,car,9,f,low,never,false,796176.99,5841565.03,-21.249577576180215,
bb_cbc436be,28800.0,car,37,f,high,always,false,799108.74,5806848.55,-28.63196611311198,
bb_3f7ff946,28800.0,car,67,m,low,always,true,779297.78,5825413.38,-21.64694241049172,
bb_710e6cbc,28800.0,car,71,f,medium,always,false,766832.47,5809670.86,-19.808003605803542,
bb_a1b7325b,28800.0,car,76,f,high,always,false,769853.03,5795777.53,-27.77266788593659,
bb_c38f4167,28800.0,car,11,m,very_low,never,false,789171.98,5845421.29,-13.901857706902685,
bb_7166bcab,28800.0,car,27,m,high,always,false,780117.93,5823009.78,-23.97480814018619,
bb_a0a538f3,28800.0,car,61,m,very_low,always,false,771262.98,5828696.94,-25.500900303452855,
bb_392e2600,28800.0,car,5,m,very_low,never,false,788700.82,5846394.51,-13.463224493778252,
bb_a516cba6,28800.0,car,78,m,medium,always,true,762381.66,5805128.04,-28.837157065125425,
bb_8cb1550c,28800.0,car,17,m,low,never,false,772277.46,5815527.81,-61.89246521492689,
bb_b2d3631d,28800.0,car,66,m,high,always,false,771210.58,5808545.47,-24.79408771608277,
bb_93e7c334,28800.0,car,72,f,low,always,false,783566.21,5841169.08,-14.203962597089962,
bb_220e56ee,28800.0,car,23,m,medium,always,false,809839.54,5852272.5,-21.81826432608897,
bb_50f18357,28800.0,car,38,m,very_low,always,false,787016.34,5793580.4,-46.73710454442627,
bb_90812400,28800.0,car,38,f,medium,always,false,810193.47,5845459.78,-27.069403566742242,
bb_81f50dba,28800.0,car,17,m,very_high,never,false,767730.15,5792896.26,-32.747216972484125,
bb_7ec71193,28800.0,car,43,m,medium,always,false,762212.46,5859967.0,-25.0286717906168,
bb_9979f030,28800.0,car,17,f,very_low,never,false,815818.26,5808974.07,-24.791498990418678,
bb_8564b450,28800.0,car,54,f,high,always,false,807994.59,5808181.87,-42.14002614203805,
bb_32836c8c,28800.0,car,17,f,very_low,never,false,794430.18,5802794.04,-33.856237089974826,
bb_1aad2c4f,28800.0,car,35,f,medium,always,false,766996.71,5849555.35,-12.826379067508556,
bb_a351e1f9,28800.0,car,51,m,high,always,false,775393.6,5814158.49,-71.89278057736544,
bb_0eaa3656,28800.0,car,62,f,very_low,always,true,791420.48,5813063.04,-27.92009764789119,
bb_a4de21f7,28800.0,car,28,f,high,always,false,778291.45,5810139.05,-28.862942234697208,
bb_3e4628e8,28800.0,car,93,m,very_low,always,true,784454.14,5837671.12,-15.904264196060215,
bb_2597fd61,28800.0,car,23,f,medium,always,false,777491.11,5812832.48,-27.653420406373538,
bb_300a89c1,28800.0,car,35,m,high,always,false,831025.79,5813722.97,-27.767161482116283,
bb_78fdf26f,28800.0,car,78,f,medium,always,false,799368.19,5806851.01,-28.938912272267235,
bb_a2841e33,28800.0,car,45,m,high,always,false,855614.77,5800842.6,-34.17145529136246,
bb_7eec90e7,28800.0,car,65,m,high,always,false,822866.07,5821853.52,-35.21486455260393,
bb_b1548858,28800.0,car,21,m,high,always,false,762368.77,5835969.5,-17.64100212145069,
bb_66944194,28800.0,car,53,m,high,always,false,820549.07,5803700.3,-38.00110175585763,
bb_aa28d9e5,28800.0,car,49,f,medium,always,false,777054.91,5812543.8,-21.688868431162316,
bb_94c34a87,28800.0,car,45,m,very_low,always,false,781693.41,5844753.27,-11.497826655832618,
bb_07fa7e79,28800.0,car,91,m,medium,always,false,767268.57,5822717.14,-19.301166092268673,
bb_d75c82f4,28800.0,car,54,m,very_low,always,true,805153.16,5789354.91,-38.278623493213544,
bb_67096aea,28800.0,car,49,m,medium,always,false,773189.19,5820893.34,-23.9727421325848,
bb_1c776e3f,28800.0,car,57,m,medium,always,false,825093.82,5830207.7,-24.86574995646636,
bb_60c09002,28800.0,car,53,f,very_low,always,true,789706.71,5845987.07,-13.65403064954982,
bb_33b6667b,28800.0,car,93,f,low,always,true,823991.62,5829158.67,-31.66141882267606,
bb_54b43637,28800.0,car,33,f,high,always,false,781859.2,5810987.92,-36.643205293193304,
bb_1918b256,28800.0,car,2,f,very_low,never,false,809037.17,5846142.0,-22.988313073180137,
bb_b61789f9,28800.0,car,36,f,medium,always,false,792653.32,5840194.14,-16.664918264049756,
bb_d6ff6222,28800.0,car,41,m,high,always,true,791804.47,5813051.76,-28.962144595772862,
bb_a7c7eac9,28800.0,car,49,m,low,always,false,757163.04,5811949.01,-21.01974064892641,
bb_3feec708,28800.0,car,6,m,very_low,never,true,817345.44,5829495.68,-29.701549893771592,
bb_ce28bbc9,28800.0,car,13,f,very_high,never,false,815637.47,5829312.68,-28.14784054106818,
bb_b5021aa5,28800.0,car,92,f,medium,always,false,773950.66,5830170.37,-19.963365336676393,
bb_52b9ec63,28800.0,car,42,f,high,always,false,761711.12,5795821.97,-26.34119078420841,
bb_3d44b59e,28800.0,car,41,f,medium,always,false,815122.7,5808188.59,-41.02287495129528,
bb_6bc47907,28800.0,car,87,m,medium,always,true,795877.92,5843017.85,-16.51675701523365,
bb_028feb34,28800.0,car,58,m,medium,always,false,791074.23,5801988.9,-32.68206216298682,
bb_16cd2c91,28800.0,car,20,f,low,always,false,805071.65,5809714.74,-40.2769340345982,
bb_0b47af84,28800.0,car,25,f,medium,always,false,799628.52,5807108.59,-32.059886567664904,
bb_bbd440bb,28800.0,car,17,f,medium,never,false,819480.84,5830081.89,-29.502341666633225,
bb_3023fbab,28800.0,car,50,f,very_low,always,true,789474.5,5789397.67,-40.87044855729992,
bb_bc46c750,28800.0,car,81,m,medium,always,false,823815.73,5824297.29,-14.550468638753227,
bb_95afae41,28800.0,car,42,f,very_high,always,false,772628.09,5821669.14,-22.461966882742903,
bb_3e450d9d,28800.0,car,2,f,medium,never,false,815261.18,5807365.86,-38.64552264676149,
bb_b80b59a5,28800.0,car,70,f,medium,always,true,818525.09,5824159.07,-22.05938117176602,
bb_c98701d0,28800.0,car,63,m,medium,always,false,803162.81,5798257.5,-37.699577727877724,
bb_0a916745,28800.0,car,5,f,high,never,false,815560.41,5809683.12,-32.685054083794256,
bb_b71b08e7,28800.0,car,27,f,low,always,true,805899.31,5840391.38,-21.612690814569262,
bb_98a5f09a,28800.0,car,24,f,very_low,always,false,788195.99,5849000.59,-12.013134637107633,
bb_206bbda3,28800.0,car,18,f,high,always,false,796886.28,5852559.27,-14.119950504198464,
bb_4fe8fac3,28800.0,car,33,f,high,always,false,824440.48,5869051.61,-22.620705209055444,
bb_3adf8560,28800.0,car,20,m,low,always,false,771080.32,5833974.38,-17.37172700016232,
bb_5091269d,28800.0,car,85,m,low,always,true,769423.69,5834253.29,-18.880904530062608,
bb_b23c0b83,28800.0,car,43,f,low,always,false,788441.09,5815955.66,-26.089824689454897,
bb_71636abb,28800.0,car,42,m,medium,always,false,809931.37,5802517.31,-22.87368116650992,
bb_38c5de59,28800.0,car,65,m,high,always,true,770443.49,5821688.32,-24.00486391228455,
bb_3442cf63,28800.0,car,75,f,very_low,always,false,807830.59,5843867.83,-22.694036465333667,
bb_97e3aac8,28800.0,car,52,m,very_low,always,false,787754.01,5850475.66,-11.595988742244229,
bb_bc6795be,28800.0,car,57,m,low,always,false,769815.03,5835626.82,-14.661758128833814,
bb_0902a9d7,28800.0,car,50,f,high,always,false,752595.56,5811048.56,-23.063099424823925,
bb_be27e33d,28800.0,car,36,m,medium,always,false,820400.39,5833218.84,-28.762347085745475,
bb_70f80f58,28800.0,car,43,m,very_low,always,true,810149.34,5847036.47,-20.794927727554438,
bb_777661fb,28800.0,car,2,f,high,never,false,772392.8,5806948.26,-27.278166180380765,
bb_47ed6996,28800.0,car,52,m,very_low,always,false,791188.91,5843443.18,-15.176803547143262,
bb_1a7d37b2,28800.0,car,27,m,very_low,always,false,765174.95,5809539.51,-21.518666700960345,
bb_a7bdf4f6,28800.0,car,98,m,medium,always,true,816556.58,5808588.07,-35.62326922854345,
