personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
bb_5b4760b0,28800.0,pt,62,m,very_low,499.0,false,772610.49,5807238.59,-14.813333333333334,
bb_0eaa3656,28800.0,pt,62,f,very_low,500.0,true,791420.48,5813063.04,-13.613333333333335,
bb_629a2aaf,28800.0,pt,57,m,medium,3000.0,true,787138.17,5807224.17,-29.403333333333332,
bb_7c578917,28800.0,pt,40,m,high,3000.0,false,769835.68,5832518.76,-20.21333333333334,
bb_54264945,28800.0,pt,67,f,low,900.0,false,819314.96,5804117.4,-22.513333333333332,
bb_1faa17f0,28800.0,pt,30,m,very_high,5600.0,false,755133.39,5828134.12,-23.713333333333335,
bb_c176535b,28800.0,pt,14,f,medium,3000.0,false,812961.04,5792573.28,-17.61333333333334,
bb_d624e423,28800.0,pt,31,f,very_low,500.0,false,867805.13,5746347.23,-34.71333333333334,
bb_77025c8e,28800.0,pt,77,f,medium,1500.0,false,764898.99,5814580.36,-17.61333333333334,
bb_a9ca5ff6,28800.0,pt,35,m,high,3600.0,false,775696.84,5813120.12,-14.813333333333334,
bb_862a095f,28800.0,pt,7,f,medium,3600.0,true,778915.69,5813782.79,-14.813333333333334,
bb_8f343ddd,28800.0,pt,73,f,medium,2000.0,false,791610.2,5840974.17,-19.680000000000003,
bb_a4b7da69,28800.0,pt,30,f,high,5600.0,false,777524.15,5812622.34,-14.813333333333334,
bb_78e26a5e,28800.0,pt,34,m,high,3600.0,false,778417.39,5808685.51,-17.613333333333337,
bb_b84dc155,28800.0,pt,37,m,very_low,500.0,false,790388.79,5797636.96,-13.613333333333335,
bb_894e3311,28800.0,pt,53,f,medium,3000.0,false,785617.03,5813158.35,-17.613333333333333,
bb_5f11b314,28800.0,pt,42,f,medium,3000.0,false,759439.04,5818512.64,-17.61333333333334,
bb_84fe3ef5,28800.0,pt,40,m,low,2000.0,false,815671.83,5807800.37,-17.61333333333334,
bb_956a6fdf,28800.0,pt,45,m,medium,3600.0,false,817570.28,5804022.69,-22.513333333333335,
bb_afefbfbf,28800.0,pt,18,m,medium,2600.0,false,778546.93,5812989.93,-12.213333333333335,
bb_c82df537,28800.0,pt,45,m,high,3000.0,false,781515.96,5767387.42,-25.613333333333337,
bb_389b9dd1,28800.0,pt,57,f,low,1500.0,false,780642.28,5811358.63,-12.213333333333335,
bb_7729cd65,28800.0,pt,36,m,medium,3000.0,false,783335.08,5840768.0,-20.213333333333335,
bb_680e113a,28800.0,pt,51,f,high,3600.0,false,779812.38,5812163.28,-12.213333333333335,
bb_0bbaeafa,28800.0,pt,52,f,high,3600.0,false,765905.0,5833818.15,-20.213333333333342,
bb_bb0e2739,28800.0,pt,9,m,medium,2600.0,false,785695.51,5851389.33,-36.213333333333324,
bb_b9c195ce,28800.0,pt,87,m,medium,2000.0,false,817860.55,5804094.44,-22.513333333333335,
bb_1b2f99e6,28800.0,pt,60,m,medium,2000.0,true,774866.03,5812635.15,-14.813333333333334,
bb_afc5a21e,28800.0,pt,0,f,medium,3000.0,false,809414.86,5845641.81,-16.093333333333334,
bb_35bfb3a6,28800.0,pt,31,m,low,1500.0,false,768150.71,5810490.87,-17.61333333333334,
bb_a937717b,28800.0,pt,2,m,medium,3000.0,false,813529.31,5839137.36,-26.813333333333333,
bb_474b355b,28800.0,pt,48,f,medium,2000.0,false,819547.48,5828049.68,-16.943333333333335,
bb_6ffe1bee,28800.0,pt,1,m,very_low,500.0,false,784388.37,5839235.12,-16.213333333333335,
bb_751fec36,28800.0,pt,57,f,low,1500.0,false,812918.8,5809883.75,-21.613333333333326,
bb_0f2029c3,28800.0,pt,47,m,high,5600.0,false,754441.46,5826711.3,-23.713333333333335,
bb_40769e13,28800.0,pt,56,m,high,3600.0,false,823700.62,5819376.26,-16.213333333333335,
bb_06806396,28800.0,pt,75,m,medium,2600.0,true,815345.12,5803371.25,-17.613333333333337,
bb_3e3d8949,28800.0,pt,7,f,medium,3600.0,false,793769.44,5839899.16,-22.813333333333336,
bb_950a4d89,28800.0,pt,21,f,very_low,2000.0,false,827818.92,5819452.38,-16.213333333333335,
bb_b065d68c,28800.0,pt,14,f,high,4600.0,false,791934.33,5815020.99,-13.613333333333335,
bb_0edb6570,28800.0,pt,14,m,very_high,5600.0,false,795975.42,5840794.12,-16.21333333333333,
bb_087e5dc6,28800.0,pt,98,m,medium,2000.0,true,799190.84,5807958.44,-25.613333333333333,
bb_25eded91,28800.0,pt,39,f,high,3000.0,true,793075.57,5790353.94,-25.613333333333337,
bb_bd6cc378,28800.0,pt,66,m,medium,2000.0,false,779528.17,5814596.02,-17.61333333333334,
bb_aee61331,28800.0,pt,38,m,high,4600.0,false,780376.7,5831678.47,-16.113333333333337,
bb_3832137e,28800.0,pt,55,m,high,4600.0,false,762967.61,5836064.1,-13.313333333333333,
bb_85f1e805,28800.0,pt,8,m,medium,3600.0,false,784237.55,5800754.61,-21.513333333333335,
bb_3111f037,28800.0,pt,37,m,very_low,1500.0,false,781501.57,5811676.41,-14.813333333333334,
bb_7e2ae655,28800.0,pt,62,m,very_low,900.0,false,811107.31,5833189.21,-19.443333333333335,
bb_96d94794,28800.0,pt,57,f,medium,1500.0,false,747030.37,5821042.11,-36.21333333333333,
bb_dc70327d,28800.0,pt,64,f,medium,2000.0,false,781413.63,5810797.34,-14.813333333333334,
bb_3bb432b6,28800.0,pt,81,f,medium,1500.0,false,778712.34,5810957.07,-17.613333333333337,
bb_6d1d6573,28800.0,pt,34,f,medium,3000.0,false,794303.16,5804669.99,-25.613333333333333,
bb_646129b3,28800.0,pt,38,m,high,3600.0,false,800935.36,5853452.75,-22.813333333333333,
bb_78b7a698,28800.0,pt,38,m,medium,3000.0,false,786797.84,5779255.27,-21.51333333333333,
bb_72a23d57,28800.0,pt,41,m,high,3600.0,false,817714.26,5804287.44,-17.61333333333334,
bb_3a684775,28800.0,pt,98,m,low,900.0,true,803887.33,5844374.96,-30.813333333333336,
bb_58d33593,28800.0,pt,45,f,medium,2600.0,true,812239.55,5813669.7,-29.613333333333337,
bb_412b2ae6,28800.0,pt,21,f,very_low,2000.0,false,802491.88,5812232.5,-18.813333333333336,
bb_7a7368f1,28800.0,pt,18,m,low,2000.0,false,796728.71,5807861.22,-25.613333333333337,
bb_301d0462,28800.0,pt,46,m,low,900.0,false,780926.05,5809268.27,-17.61333333333334,
bb_5284e775,28800.0,pt,45,f,medium,2600.0,false,815214.76,5810757.49,-17.61333333333334,
bb_2f311d49,28800.0,pt,50,f,medium,2000.0,false,774525.43,5831847.87,-13.313333333333334,
bb_80d8e091,28800.0,pt,33,m,medium,2000.0,false,809850.61,5844833.83,-22.813333333333333,
bb_069cbd73,28800.0,pt,18,m,very_low,2000.0,false,829501.16,5828418.57,-30.043333333333337,
bb_2e2f3aad,28800.0,pt,62,m,medium,1500.0,false,817114.12,5825288.61,-20.943333333333335,
bb_d8e50c3e,28800.0,pt,33,f,high,4600.0,false,774724.58,5812440.71,-14.813333333333334,
bb_b197b5d6,28800.0,pt,58,f,very_low,499.0,false,823970.65,5820498.88,-23.913333333333334,
bb_db15ed94,28800.0,pt,67,m,low,900.0,false,765732.36,5812062.07,-17.61333333333334,
bb_8914af1e,28800.0,pt,68,f,high,4600.0,false,768251.63,5803184.94,-17.613333333333337,
bb_8b6aa915,28800.0,pt,27,m,medium,3600.0,false,754881.35,5826853.38,-23.713333333333335,
bb_a7c7eac9,28800.0,pt,49,m,low,900.0,false,757163.04,5811949.01,-22.813333333333336,
bb_380a6f19,28800.0,pt,86,f,medium,2600.0,false,810071.39,5851794.19,-26.813333333333333,
bb_9255e9e3,28800.0,pt,58,f,low,900.0,false,809973.18,5813467.16,-21.61333333333333,
bb_8b61d8ac,28800.0,pt,52,f,high,4600.0,false,802022.51,5808838.32,-18.813333333333336,
bb_1e867e6e,28800.0,pt,26,f,high,3600.0,false,777542.57,5813001.58,-14.813333333333334,
bb_ab592856,28800.0,pt,57,f,high,2600.0,false,778796.37,5806585.17,-17.613333333333333,
bb_6e7088ef,28800.0,pt,58,f,high,3600.0,false,816022.77,5827041.53,-16.943333333333335,
bb_a1fc81a8,28800.0,pt,65,f,low,1500.0,false,796163.19,5854055.7,-29.613333333333333,
bb_d0103d74,28800.0,pt,17,f,very_low,2000.0,false,779908.0,5807987.32,-17.613333333333337,
bb_aca0b41d,28800.0,pt,0,m,medium,3000.0,false,821526.1,5832083.22,-34.943333333333335,
bb_13f1864e,28800.0,pt,39,f,medium,2000.0,false,784380.85,5837457.96,-16.21333333333333,
