personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_0c1baae8,28800.0,teleportedWalk,71,m,very_high,always,false,795993.0589297108,5830860.652021465,-16.589999999999996,
berlin_fc0cc48a,28800.0,teleportedWalk,6,m,high,never,false,793984.9416068724,5828581.454051911,-8.629999999999999,
berlin_29589974,28800.0,teleportedWalk,50,f,high,always,false,798615.4619993116,5827330.902430362,-17.196666666666665,
berlin_b73021f4,28800.0,teleportedWalk,19,f,medium,always,false,798366.8122632378,5827308.674729926,-14.484000000000002,
berlin_84a7ccaf,28800.0,teleportedWalk,1,m,medium,never,false,796362.6275090897,5829383.86797924,-4.970000000000001,
berlin_66f6f84f,28800.0,teleportedWalk,51,f,high,always,false,797593.2121693648,5829031.92806767,-10.276666666666667,
berlin_55f657d8,28800.0,teleportedWalk,55,f,low,always,false,796403.8835307672,5830948.055673284,-12.040000000000001,
berlin_08708b78,28800.0,teleportedWalk,33,f,high,always,false,798302.2858676217,5826906.251524295,-16.900000000000002,
berlin_35efeba0,28800.0,teleportedWalk,31,m,medium,always,false,794866.084097119,5829335.054881578,-4.976666666666667,
berlin_876cba2c,28800.0,teleportedWalk,37,f,medium,always,false,794337.2990693293,5829179.71271131,-7.083333333333334,
berlin_f6200e45,28800.0,teleportedWalk,9,m,high,never,true,796611.6914388752,5830569.555437789,-10.673333333333334,
berlin_67f11664,28800.0,teleportedWalk,17,m,medium,never,false,797668.8244039016,5831548.37103422,-16.137,
berlin_dea3a14a,28800.0,teleportedWalk,91,m,medium,always,false,797079.1759834639,5831304.523391181,-22.794999999999998,
berlin_00cfc9e3,28800.0,teleportedWalk,52,m,high,always,false,795384.4361070562,5832351.13086035,-18.696666666666665,
berlin_f0f0a257,28800.0,teleportedWalk,92,m,low,always,true,799239.6327706443,5826654.67847089,-32.575,
berlin_9d647569,28800.0,teleportedWalk,3,m,very_low,never,false,794931.725629493,5828976.0350664845,-3.8166666666666664,
berlin_4dc5ca4d,28800.0,teleportedWalk,52,m,low,always,false,796164.6035101637,5825577.957170858,-16.793333333333333,
berlin_f2317845,28800.0,teleportedWalk,67,m,very_high,always,false,795129.9823191785,5827938.215487796,-7.545,
berlin_8411b372,28800.0,teleportedWalk,36,f,low,always,false,796861.8127945047,5831567.735188681,-15.913333333333332,
berlin_b7d97e63,28800.0,teleportedWalk,53,f,medium,always,false,798462.5597607784,5827119.848025663,-17.006666666666668,
berlin_e36a251d,28800.0,teleportedWalk,29,m,medium,always,false,797179.4045570118,5830309.042992228,-10.224,
berlin_6141fe58,28800.0,teleportedWalk,64,m,high,always,true,795711.4929703537,5829270.293029678,-3.9949999999999997,
berlin_23404819,28800.0,teleportedWalk,64,m,medium,always,false,795717.0191932258,5828416.146017575,-2.785,
berlin_1166e7cf,28800.0,teleportedWalk,34,f,medium,always,false,797182.9924705771,5827031.218089229,-12.079999999999998,
berlin_e7604abd,28800.0,teleportedWalk,14,m,low,never,false,794322.1359856804,5830964.628320679,-13.323333333333332,
berlin_2442ebe2,28800.0,teleportedWalk,52,m,high,always,false,799183.7329290493,5827210.2688731,-20.14333333333333,
berlin_7b4311b8,28800.0,teleportedWalk,37,f,low,always,false,795954.3615695946,5831280.950084793,-13.193333333333333,
berlin_82f0eb6f,28800.0,teleportedWalk,55,m,high,always,false,796352.4378080567,5830436.393387703,-9.463333333333335,
berlin_529929d9,28800.0,teleportedWalk,64,f,very_high,always,false,796995.1970475792,5832105.970111158,-28.144999999999996,
berlin_055510ac,28800.0,teleportedWalk,32,f,low,always,false,795548.9371749354,5830310.169737938,-8.053333333333333,
berlin_b66f0aa7,28800.0,teleportedWalk,29,m,very_high,always,false,794766.9672263823,5829204.248100597,-4.554,
berlin_eddc232d,28800.0,teleportedWalk,60,f,medium,always,false,794145.0089942969,5828674.60314824,-11.635,
berlin_ed2b4f35,28800.0,teleportedWalk,4,m,medium,never,false,794132.9967451721,5828651.344951923,-7.83,
berlin_37b87164,28800.0,teleportedWalk,11,m,medium,never,false,795770.3959620462,5831409.130143067,-13.773333333333333,
berlin_7846960b,28800.0,teleportedWalk,56,m,medium,always,false,794187.6710125662,5831344.804478653,-15.386666666666667,
berlin_f4d60917,28800.0,teleportedWalk,20,f,high,always,false,794772.0929496771,5831051.929558974,-11.442,
berlin_07c28d10,28800.0,teleportedWalk,37,f,high,always,false,795649.3861700121,5829333.374660617,-2.96,
