personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_00125af2,28800,teleportedWalk,62,f,low,always,FALSE,797786.5719259878,5829166.405,-11.38333333
berlin_00145301,28800,teleportedWalk,57,f,medium,always,FALSE,796674.5729565185,5829951.042851909,-8.206666667
berlin_001c00ac,28800,teleportedWalk,62,f,high,always,FALSE,798380.0138911689,5827009.956226131,-16.94
berlin_0028320c,28800,teleportedWalk,31,m,medium,always,FALSE,795234.8215011514,5832180.212396094,-17.88666667
berlin_002b6fab,28800,teleportedWalk,34,m,high,always,FALSE,796331.7696639078,5825545.833,-17.12
berlin_003f8d6d,28800,teleportedWalk,15,m,low,always,FALSE,793977.6156752359,5828500.765,-8.723333333
berlin_0069badb,28800,teleportedWalk,56,f,low,always,FALSE,796998.6614396118,5832700.055728974,-21.66
berlin_0072f557,28800,teleportedWalk,53,f,high,always,FALSE,797109.1270121298,5829132.788343149,-7.903333333
berlin_00877108,28800,teleportedWalk,62,f,very_low,always,FALSE,798045.9988806235,5830528.243,-15.53666667
berlin_00b33ee3,28800,teleportedWalk,54,f,very_high,always,FALSE,795462.7611745009,5830316.786013504,-8.123333333
berlin_00cf6b9c,28800,teleportedWalk,48,f,very_high,always,FALSE,796369.5134475443,5830940.218407932,-11.94333333
berlin_00cfc9e3,28800,teleportedWalk,52,m,high,always,FALSE,795384.4361070562,5832351.131,-18.69666667
berlin_00d9fedf,28800,teleportedWalk,24,f,high,always,FALSE,793647.9499639965,5831808.560980127,-18.90333333
berlin_00df5ae1,28800,teleportedWalk,82,m,low,always,FALSE,793544.3569386951,5832103.575826442,-20.48666667
berlin_00e0549c,28800,teleportedWalk,62,f,high,always,FALSE,795050.1423,5830989.346586703,-11.96333333
berlin_00e703b2,28800,teleportedWalk,48,f,high,always,FALSE,796793.2047373797,5831529.271180311,-15.59
berlin_00f9f618,28800,teleportedWalk,40,f,very_low,always,TRUE,795928.9950257532,5828990.248046721,-1.93
berlin_00fd989a,28800,teleportedWalk,29,f,medium,always,FALSE,797663.5983874258,5831412.881664422,-17.35
berlin_00fe3784,28800,teleportedWalk,38,f,very_high,always,FALSE,798172.7964344788,5827180.705067872,-15.55333333
berlin_012ab94f,28800,teleportedWalk,38,f,very_high,always,FALSE,793935.8262172064,5828420.959173549,-9.01
berlin_013399c8,28800,teleportedWalk,81,m,medium,always,FALSE,797144.5390839698,5828084.889505259,-8.606666667
berlin_0133ff41,28800,teleportedWalk,12,m,medium,never,FALSE,794948.2153187755,5829145.724397383,-4.083333333
berlin_0141e195,28800,teleportedWalk,54,f,low,always,FALSE,794496.0707525383,5831052.379247929,-13.29
berlin_0145ed18,28800,teleportedWalk,54,f,very_low,always,FALSE,794615.3908905329,5831442.336095568,-14.9
berlin_015dce0e,28800,teleportedWalk,26,m,low,always,FALSE,796091.2216071732,5831138.426570623,-12.57333333
berlin_017413df,28800,teleportedWalk,50,m,very_low,always,FALSE,793983.0351456152,5828500.211952408,-8.696666667
berlin_01a4e17c,28800,teleportedWalk,35,m,medium,always,FALSE,794802.5015889872,5830890.307986053,-11.87333333
berlin_01a5b16e,28800,teleportedWalk,28,m,very_low,always,FALSE,797756.7644917094,5828304.615056689,-11.29
berlin_01b4ec05,28800,teleportedWalk,32,m,medium,always,FALSE,793446.6592481304,5828922.096643775,-11.40666667
berlin_01b9b16d,28800,teleportedWalk,46,f,low,always,FALSE,799126.0142495052,5826796.889082291,-20.83666667
berlin_01c2682a,28800,teleportedWalk,38,f,medium,always,FALSE,797943.5773205594,5830279.578526777,-14.36
berlin_01e2ed4b,28800,teleportedWalk,88,m,very_low,always,TRUE,794830.3299,5831444.257130529,-14.55
berlin_020d91ae,28800,teleportedWalk,45,m,very_low,always,FALSE,799229.0723163865,5828828.974921092,-18.69333333
berlin_021f2754,28800,teleportedWalk,38,f,medium,always,FALSE,799010.5438316285,5827839.492,-18.2
berlin_0221c77a,28800,teleportedWalk,88,m,low,always,FALSE,797443.5313937449,5833031.094778146,-24.1
berlin_0234c320,28800,teleportedWalk,33,f,medium,always,FALSE,799025.7004853056,5828426.173924671,-17.72
berlin_023d9ea0,28800,teleportedWalk,32,m,high,always,FALSE,793556.2854018722,5828639.052578496,-10.82666667
berlin_023f0094,28800,teleportedWalk,85,m,very_high,always,FALSE,794272.7168939465,5831500.985569216,-15.89666667
berlin_0249febe,28800,teleportedWalk,46,m,medium,always,FALSE,794379.6510259233,5828289.234904969,-6.976666667
berlin_024c3a6c,28800,teleportedWalk,86,m,high,always,FALSE,795098.7938671713,5830064.333502795,-7.313333333
berlin_02691cd3,28800,teleportedWalk,42,f,high,always,FALSE,798015.0883667682,5830700.103256597,-15.95333333
berlin_0276ba83,28800,teleportedWalk,88,m,high,always,FALSE,795794.5610739738,5831232.894752046,-12.86333333
berlin_029072a1,28800,teleportedWalk,48,f,high,always,FALSE,798852.9938144565,5828898.523455044,-16.75
berlin_02a73824,28800,teleportedWalk,60,f,medium,always,FALSE,795742.4026351416,5828066.995,-3.663333333
berlin_02c7af46,28800,teleportedWalk,64,f,medium,always,FALSE,794209.3051191801,5828106.703846852,-8.16
berlin_02cc6f2d,28800,teleportedWalk,51,f,very_high,always,TRUE,796986.2107647911,5833130.120186664,-23.76666667
berlin_030c5ac4,28800,teleportedWalk,57,f,high,always,FALSE,797679.1388122332,5826605.382,-15.45666667
berlin_0315d2d1,28800,teleportedWalk,25,f,low,always,FALSE,793780.6625351016,5832200.345682144,-20.30333333
berlin_032bfceb,28800,teleportedWalk,32,f,very_high,always,FALSE,796315.8049520232,5831620.662004146,-15.27
berlin_0343f46a,28800,teleportedWalk,7,m,high,never,FALSE,793957.2505269236,5827957.83,-9.676666667
berlin_0349b2c2,28800,teleportedWalk,23,f,medium,always,FALSE,795029.2674381179,5828855.824921456,-3.183333333
berlin_03638376,28800,teleportedWalk,76,m,medium,always,TRUE,794502.6188110074,5831740.475769884,-16.56
berlin_036d1c47,28800,teleportedWalk,7,m,high,never,FALSE,796337.7011395774,5830275.335,-8.666666667
berlin_037a255d,28800,teleportedWalk,98,m,medium,always,FALSE,797823.6202925062,5830174.39,-13.54
berlin_037d9517,28800,teleportedWalk,17,m,very_high,never,FALSE,794025.5044440422,5828021.7419495685,-9.213333333
berlin_0390481e,28800,teleportedWalk,33,m,high,always,FALSE,796617.4238339568,5831984.977874957,-17.51
berlin_039b3bde,28800,teleportedWalk,49,f,low,always,FALSE,795505.4678988635,5831522.353382203,-14.36
berlin_03fff3f0,28800,teleportedWalk,27,f,medium,always,FALSE,794426.2499,5832503.134324785,-20.43333333
berlin_0404cd17,28800,teleportedWalk,56,f,low,always,FALSE,797865.8023454454,5827205.955656857,-14.15
berlin_04060af0,28800,teleportedWalk,56,f,medium,always,FALSE,797041.9338479796,5830957.066960521,-13.55
berlin_041397d2,28800,teleportedWalk,34,m,medium,always,FALSE,796982.2350605937,5832151.685,-18.95666667
berlin_0433b7e5,28800,teleportedWalk,75,m,medium,always,FALSE,799037.1289862454,5828755.5535463765,-17.69
berlin_04389740,28800,teleportedWalk,46,f,high,always,FALSE,796695.1727896637,5831492.552369478,-15.22333333
berlin_043a0542,28800,teleportedWalk,61,m,medium,always,FALSE,797600.3479338388,5828329.434864671,-10.46666667
berlin_047221e4,28800,teleportedWalk,43,f,low,always,FALSE,796044.7034567676,5829554.871821732,-4.633333333
berlin_04883a21,28800,teleportedWalk,54,m,high,always,FALSE,794087.1570408205,5828723.404897889,-8.046666667
berlin_04b5bfd1,28800,teleportedWalk,54,f,very_high,always,FALSE,795559.4370087285,5830663.607055133,-9.886666667
berlin_04b628e9,28800,teleportedWalk,30,m,very_high,always,FALSE,796636.9579467566,5831600.844809667,-62.86333333
berlin_04c293f5,28800,teleportedWalk,19,m,high,always,FALSE,796259.0915341094,5831263.418762585,-13.39666667
berlin_04fd7788,28800,teleportedWalk,89,m,medium,always,FALSE,794015.8404574026,5829089.310747068,-8.583333333
berlin_0502e857,28800,teleportedWalk,48,f,high,always,FALSE,795221.2201444883,5830237.330691275,-7.956666667
berlin_05108083,28800,teleportedWalk,52,f,high,always,FALSE,794658.7078623376,5831667.746068311,-15.93
berlin_05136ec8,28800,teleportedWalk,55,f,high,always,FALSE,795494.8508,5830168.963071645,-7.34
berlin_051d0232,28800,teleportedWalk,61,f,very_low,always,TRUE,797044.7498486752,5832211.547324839,-19.37
berlin_052a6cea,28800,teleportedWalk,39,f,very_high,always,FALSE,796766.9107374765,5830551.138,-11
