personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
bb_0062d33f,28800.0,car,60,m,low,3000.0,false,814670.3,5810389.87,-36.079683078047694,
bb_0083fddf,28800.0,car,53,m,low,900.0,false,800016.59,5806430.77,-35.166133511630164,
bb_0045c4bb,28800.0,car,74,m,medium,2000.0,false,779037.61,5812270.07,-27.74104157017092,
bb_01bd1cac,28800.0,car,17,f,high,4600.0,false,791643.04,5813122.4,-16.516779748029254,
bb_01c7353a,28800.0,car,41,m,low,3000.0,false,762508.98,5835515.8,-65.35034241010696,
bb_00f68bb3,28800.0,car,10,m,high,4600.0,false,778957.68,5820698.78,-17.382960185465286,
bb_003cff03,28800.0,car,51,f,medium,2600.0,false,772991.05,5831304.94,-20.430578681025,
bb_001162c8,28800.0,car,33,f,medium,2600.0,false,808307.93,5842514.69,-22.017878293097265,
bb_0125a5aa,28800.0,car,58,f,high,3000.0,false,774609.22,5815178.63,-27.319857002249982,
bb_005be4e9,28800.0,car,0,f,high,3600.0,false,773125.94,5807128.39,-31.61447446753028,
bb_009e7054,28800.0,car,66,m,low,1500.0,true,784713.52,5853620.67,-11.683502094147165,
bb_01e7cd45,28800.0,car,27,m,high,3600.0,false,790146.88,5802740.52,-17.064826914551972,
bb_01e4a434,28800.0,car,68,m,medium,2000.0,false,786915.53,5847917.31,-23.40355355845879,
bb_0220a496,28800.0,car,42,m,high,4600.0,false,877896.29,5813469.98,-53.43263505661571,
bb_0032653a,28800.0,car,50,f,high,3000.0,false,771256.58,5815706.43,-21.28972742204222,
bb_0154b005,28800.0,car,48,m,low,1500.0,true,799313.53,5854845.47,-20.56546556294258,
bb_01cdfe6e,28800.0,car,98,m,low,1500.0,true,784210.89,5837445.57,-19.08715838286095,
bb_01f055dd,28800.0,car,12,m,high,4600.0,false,779385.5,5849347.14,-25.899385354705817,
bb_012c4487,28800.0,car,50,m,high,3600.0,false,776302.41,5830001.73,-18.66226458881807,
bb_011fd3f0,28800.0,car,10,m,low,2000.0,false,816482.14,5808637.91,-37.85259717098579,
bb_018bd3b9,28800.0,car,33,f,low,1500.0,false,792185.69,5815505.43,-11.615689304581634,
bb_00468d84,28800.0,car,57,m,high,3600.0,false,817951.81,5803151.66,-28.250449745906465,
bb_02422a26,28800.0,car,62,m,very_low,500.0,false,792398.48,5841631.86,-21.18863798660143,
bb_00b01f0d,28800.0,car,59,f,very_low,500.0,true,819380.4,5822867.8,-39.61129163256478,
bb_00dd26ad,28800.0,car,55,m,very_low,500.0,false,820337.96,5834416.84,-38.9504273300287,
bb_00ba3612,28800.0,car,23,m,very_low,1500.0,false,823680.18,5832250.19,-44.93857987118629,
bb_01efab49,28800.0,car,44,m,high,3600.0,false,840562.81,5884325.92,-43.01437491034357,
bb_0037f5cb,28800.0,car,35,m,medium,3600.0,false,796565.4,5855190.71,-15.548436737481122,
bb_01a3d101,28800.0,car,21,m,very_high,5600.0,false,783697.42,5840702.17,-20.70604959361264,
bb_000775af,28800.0,car,50,m,medium,2000.0,false,824650.27,5828900.32,-27.849200301425366,
bb_006aaf2a,28800.0,car,48,m,high,3600.0,false,780478.17,5831425.95,-16.2711870654981,
bb_017d3608,28800.0,car,35,m,medium,2600.0,false,812014.83,5842047.0,-18.51122285464382,
bb_016ef8b4,28800.0,car,73,f,medium,2000.0,false,814727.95,5807115.19,-28.019791459070845,
