personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
bb_022b990d,28800.0,pt,50,f,high,4600.0,false,780378.54,5832248.8,-23.713333333333335,
bb_01d0bb84,28800.0,pt,7,f,medium,2600.0,false,792259.02,5840416.36,-18.813333333333336,
bb_00255009,28800.0,pt,5,m,high,4600.0,false,775287.13,5830578.13,-16.113333333333333,
bb_016ef8b4,28800.0,pt,73,f,medium,2000.0,false,814727.95,5807115.19,-17.61333333333334,
bb_018b4271,28800.0,pt,30,m,medium,3000.0,false,800985.42,5809781.66,-14.813333333333334,
bb_00b80ba2,28800.0,pt,1,m,medium,3600.0,false,818050.06,5830296.99,-18.943333333333335,
bb_01838f57,28800.0,pt,37,f,very_low,900.0,false,803617.71,5794213.83,-33.61333333333334,
bb_0096d7b2,28800.0,pt,18,m,medium,3600.0,false,808027.36,5843507.54,-20.093333333333334,
bb_00123290,28800.0,pt,72,f,low,900.0,true,810768.14,5803170.04,-22.71333333333333,
bb_000eb23e,28800.0,pt,63,f,low,1500.0,false,770080.99,5841041.52,-32.11333333333333,
bb_02333214,28800.0,pt,55,m,very_high,5600.0,false,793357.21,5809472.66,-18.813333333333336,
bb_0154b005,28800.0,pt,48,m,low,1500.0,true,799313.53,5854845.47,-74.81333333333333,
bb_01c7353a,28800.0,pt,41,m,low,3000.0,false,762508.98,5835515.8,-17.313333333333336,
bb_02422a26,28800.0,pt,62,m,very_low,500.0,false,792398.48,5841631.86,-18.813333333333336,
bb_019c9ad5,28800.0,pt,31,m,medium,2000.0,false,764049.12,5838827.42,-17.613333333333337,
bb_0023f356,28800.0,pt,3,m,medium,3000.0,false,810983.74,5845798.16,-16.093333333333334,
bb_00564c86,28800.0,pt,93,m,high,3600.0,false,814783.29,5812997.37,-17.443333333333335,
bb_00319d6c,28800.0,pt,1,m,low,3000.0,false,781368.7,5812084.99,-14.813333333333334,
bb_01a3046e,28800.0,pt,67,f,very_high,5600.0,false,767184.89,5828949.86,-16.113333333333333,
bb_0167b889,28800.0,pt,3,m,very_high,5600.0,false,813957.2,5812845.04,-17.44333333333333,
bb_01e7cd45,28800.0,pt,27,m,high,3600.0,false,790146.88,5802740.52,-13.613333333333335,
bb_017d3608,28800.0,pt,35,m,medium,2600.0,false,812014.83,5842047.0,-26.813333333333333,
bb_012c4487,28800.0,pt,50,m,high,3600.0,false,776302.41,5830001.73,-23.713333333333335,
bb_01744e76,28800.0,pt,54,m,low,900.0,false,787267.23,5807276.13,-29.403333333333332,
bb_0037f5cb,28800.0,pt,35,m,medium,3600.0,false,796565.4,5855190.71,-60.21333333333333,
bb_01bd1cac,28800.0,pt,17,f,high,4600.0,false,791643.04,5813122.4,-13.613333333333335,
bb_01f055dd,28800.0,pt,12,m,high,4600.0,false,779385.5,5849347.14,-36.213333333333324,
bb_009e7054,28800.0,pt,66,m,low,1500.0,true,784713.52,5853620.67,-24.21333333333334,
bb_003cff03,28800.0,pt,51,f,medium,2600.0,false,772991.05,5831304.94,-24.213333333333328,
bb_015c9a5b,28800.0,pt,33,m,medium,3000.0,false,823865.33,5817785.82,-23.913333333333334,
bb_0032653a,28800.0,pt,50,f,high,3000.0,false,771256.58,5815706.43,-17.613333333333337,
bb_00ae33ec,28800.0,pt,45,m,very_high,5600.0,false,777085.25,5832007.55,-13.313333333333333,
bb_0000e3ac,28800.0,pt,47,f,high,4600.0,false,784261.25,5840162.1,-12.213333333333331,
bb_01b12e6a,28800.0,pt,40,f,very_high,5600.0,false,783206.75,5849656.0,-24.213333333333335,
bb_018a64b4,28800.0,pt,84,f,medium,1500.0,false,787263.65,5814447.33,-16.213333333333335,
bb_00ba3612,28800.0,pt,23,m,very_low,1500.0,false,823680.18,5832250.19,-34.943333333333335,
bb_01efab49,28800.0,pt,44,m,high,3600.0,false,840562.81,5884325.92,-33.61333333333334,
bb_0173f232,28800.0,pt,62,m,medium,3000.0,false,773552.25,5803259.87,-24.213333333333335,
bb_00cd4420,28800.0,pt,71,f,medium,2000.0,false,800144.4,5805944.43,-25.613333333333337,
bb_0066d03d,28800.0,pt,31,m,high,3600.0,false,810117.96,5835758.97,-13.613333333333335,
bb_003841e5,28800.0,pt,33,m,high,3600.0,false,776288.4,5815804.87,-17.61333333333334,
bb_0222bf23,28800.0,pt,52,m,high,5600.0,false,768339.52,5831870.27,-23.713333333333335,
bb_00f68bb3,28800.0,pt,10,m,high,4600.0,false,778957.68,5820698.78,-19.726666666666667,
bb_00db29ac,28800.0,pt,15,f,low,1500.0,false,788297.9,5815515.32,-16.213333333333335,
bb_0202f810,28800.0,pt,7,f,medium,3000.0,false,787064.82,5814413.44,-14.813333333333336,
bb_0062d33f,28800.0,pt,60,m,low,3000.0,false,814670.3,5810389.87,-17.443333333333335,
bb_01dfaa6b,28800.0,pt,4,m,very_high,5600.0,false,779412.9,5807926.49,-17.613333333333337,
bb_00569251,28800.0,pt,70,f,medium,2000.0,true,767283.33,5810528.06,-17.61333333333334,
bb_0035dbf8,28800.0,pt,60,m,low,900.0,false,820899.55,5841424.78,-26.943333333333335,
bb_01cdfe6e,28800.0,pt,98,m,low,1500.0,true,784210.89,5837445.57,-16.21333333333333,
bb_01f879ba,28800.0,pt,77,m,medium,2000.0,false,815993.3,5828349.88,-16.943333333333335,
bb_01131cc6,28800.0,pt,34,f,high,3600.0,false,778877.36,5831125.81,-13.313333333333333,
bb_01d049ba,28800.0,pt,66,m,medium,2000.0,false,769798.17,5795528.39,-24.213333333333335,
bb_021df9c7,28800.0,pt,19,f,medium,4600.0,true,817551.71,5788395.02,-17.613333333333337,
bb_00eedf0c,28800.0,pt,40,m,high,3600.0,false,815796.63,5764021.93,-34.71333333333334,
bb_0198c1fa,28800.0,pt,6,m,very_high,5600.0,false,780255.02,5842979.51,-20.21333333333333,
bb_00dcc567,28800.0,pt,5,f,low,2000.0,false,773679.06,5812095.16,-14.813333333333334,
bb_006aaf2a,28800.0,pt,48,m,high,3600.0,false,780478.17,5831425.95,-16.113333333333333,
bb_00b01f0d,28800.0,pt,59,f,very_low,500.0,true,819380.4,5822867.8,-20.043333333333333,
