personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_dc56edda,60,f,medium,2000.0,always,true,795974.9789875979,5832294.299164839,-4.027169124083981,1.0,
berlin_05c5f255,92,m,very_low,900.0,always,false,789594.5687679992,5819437.047554711,-8.865568843628665,1.0,
bb_251a410c,62,f,very_low,500.0,always,false,815136.42,5807021.05,-42.388366069216694,1.0,
berlin_e3366d69,42,f,low,3000.0,always,false,798487.1154853262,5824356.231643692,-1.4598047535567482,1.0,
berlin_7d37bc7e,57,m,medium,1500.0,always,false,797859.9573182748,5826529.147695265,-1.1961345556714063,1.0,
bb_cfdcf2b7,47,m,high,3600.0,always,false,823655.03,5829981.24,-13.465522165294825,1.0,
berlin_20bab00a,24,f,medium,4600.0,always,false,799924.6296065141,5828707.517114241,-1.2326899466796921,1.0,
berlin_6970d880,52,m,low,900.0,always,true,794947.932438568,5829355.4064622,-3.1893931693489166,1.0,
berlin_a387fa9c,41,f,medium,3000.0,always,false,803664.9263827226,5833140.225171261,-4.302893194369785,1.0,
berlin_60b080d2,27,f,medium,2000.0,always,false,807268.392422767,5820768.7987706885,-7.166915150516724,1.0,
berlin_6d0e6c03,63,f,high,3000.0,always,false,798080.2718015108,5824718.610337817,-1.457187852543888,1.0,
bb_33e63023,47,m,very_high,5600.0,always,false,802021.41,5810641.4,-9.297443484434552,1.0,
berlin_a430c9db,60,f,medium,2600.0,always,false,818635.891664643,5820687.311684048,-13.699331547428098,1.0,
berlin_0e0d00c7,43,f,very_high,5600.0,always,false,794706.9345519952,5823844.8131126445,-2.156227326840893,1.0,
berlin_994ed981,33,m,medium,3000.0,always,false,791702.5213499734,5825225.979839071,-1.088879685905177,1.0,
berlin_930f3665,51,f,low,2000.0,always,false,805100.6928093529,5833904.870569148,-5.969481713522613,1.0,
bb_6d974f09,19,m,very_low,900.0,always,false,779345.8,5813982.22,-20.103290367926093,1.0,
bb_f49f4060,61,m,high,3600.0,always,false,767066.83,5849454.6,-14.785376565158108,1.0,
berlin_f1343ee8,30,f,medium,3000.0,always,false,812230.3031325373,5828048.051964755,-8.848882069058794,1.0,
