personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
bb_7ad85e11,56,f,low,1500.0,always,false,788917.3,5804606.98,-14.46577061969171,1.0,
berlin_738b6065,21,f,medium,2000.0,always,false,802930.8637668914,5824554.890677528,-11.864179253248745,1.0,
bb_665a611c,46,f,medium,3000.0,always,false,815193.89,5812689.72,-17.481098385895148,1.0,
bb_62642b91,12,f,high,3600.0,never,false,813987.27,5810004.66,-16.43857272061534,1.0,
berlin_6b3a7641,39,m,medium,2600.0,always,false,797793.879771105,5824565.1827543145,-12.490073810137476,1.0,
berlin_fbdd9de7,13,m,very_low,1500.0,never,false,792754.0634160744,5827747.828021577,-14.266359386127839,1.0,
berlin_c866328d,29,f,very_low,500.0,always,false,795597.7795822374,5823456.451008421,-10.865038882803097,1.0,
berlin_423d9c4c,61,f,very_low,900.0,always,false,797084.4886304802,5832193.667847099,-7.588757918008404,1.0,
bb_f16046a8,27,m,medium,2600.0,always,false,789030.02,5843103.06,-10.753560117742522,1.0,
berlin_c54a802d,55,f,low,900.0,always,false,799473.9309400886,5833105.104255328,-5.684698122985923,1.0,
berlin_a6f335d2,82,m,very_low,900.0,always,false,782984.4107742046,5830041.884279521,-4.214317115269416,1.0,
bb_a1ae28a3,61,m,very_low,500.0,always,false,786497.84,5852686.47,-43.34431257728393,1.0,
berlin_fd92c39a,61,f,medium,3000.0,always,false,792792.0510630663,5823341.853664322,-3.779152706772189,1.0,
berlin_98e58f13,43,m,medium,2600.0,always,false,797680.505472046,5829021.807696756,-26.81294088575685,1.0,
berlin_a9ae30a1,63,f,medium,2000.0,always,false,792909.213556627,5822146.19218947,-4.504027089101756,1.0,
berlin_d7027db6,21,f,medium,2600.0,always,false,809837.3056949936,5834021.820295451,-10.541252818687585,1.0,
berlin_7d3329b4,41,f,medium,1500.0,always,false,809370.6298115611,5815717.196228868,-19.404904813231017,1.0,
bb_23ddf424,15,f,very_low,900.0,never,false,825317.92,5829085.61,-32.63477669705415,1.0,
berlin_ff8d519e,40,f,medium,1500.0,always,false,815177.7515777089,5820868.496621197,-20.758089284699192,1.0,
bb_2301fb1b,47,m,medium,1500.0,always,false,773949.38,5818381.59,-11.980990239005576,1.0,
berlin_447759ad,35,f,medium,1500.0,always,false,798952.6463970554,5826926.155367309,-16.237091818542375,1.0,
berlin_8173d219,42,f,medium,3000.0,always,false,793695.5757255057,5825137.6757589,-9.51435084211643,1.0,
berlin_e6404e28,11,m,very_high,5600.0,never,false,802799.6014177208,5828357.804110972,-6.28847684748846,1.0,
berlin_afdd1b22,36,m,medium,4600.0,always,false,799132.4544677098,5833221.808312311,-4.026168880819222,1.0,
berlin_ff318895,6,m,medium,3600.0,never,false,803924.9618590139,5830013.927084455,-5.825070270687082,1.0,
bb_1caebb3e,95,f,medium,2000.0,always,true,818972.99,5811730.0,-22.56863129384494,1.0,
berlin_1e30c8de,35,f,medium,2000.0,always,false,788995.9357313856,5817894.54467839,-7.84109343821677,1.0,
berlin_ffaac2c8,28,m,medium,2000.0,always,false,796661.2529609294,5830583.35966683,-5.443315918104666,1.0,
bb_6a2ef47a,14,m,high,3600.0,always,false,783235.99,5849046.34,-12.177369307693857,1.0,
bb_d9b98f0b,24,m,medium,2600.0,always,false,773552.96,5811651.86,-13.501369578036275,1.0,
berlin_9589024d,35,f,low,900.0,always,false,806890.8034230084,5825071.718402738,-17.578201485289863,1.0,
berlin_941b5aef,88,m,very_low,500.0,always,true,786697.7974785876,5826113.935030127,-6.133099648999176,1.0,
berlin_5aa604c8,4,m,low,2600.0,never,false,802976.1839786682,5817691.101352384,-12.097028579224546,1.0,
berlin_a3e2b006,91,m,medium,2600.0,always,true,781812.0019655003,5815834.181790988,-10.47208684709712,1.0,
berlin_e91912e8,19,f,medium,3000.0,always,false,780369.2355044538,5827487.328170639,-3.427957898118746,1.0,
berlin_ce375d7d,96,m,low,1500.0,always,false,786389.1989318358,5834785.589829869,-13.144100860179496,1.0,
bb_5cf3b8a6,54,f,high,4600.0,always,false,782093.55,5811201.41,-9.809797453436378,1.0,
berlin_02691cd3,42,f,high,4600.0,always,false,798015.0883667682,5830700.103256597,-5.584461611533631,1.0,
berlin_fc7bac29,40,f,medium,3600.0,always,false,784302.6822735853,5827127.720039884,-1.756804694534341,1.0,
berlin_a12daf32,32,f,medium,3600.0,always,false,796816.5585995015,5825820.97320979,-15.449699883178116,1.0,
bb_04daff1f,71,m,very_high,5600.0,always,false,819865.57,5812566.53,-15.479728295004689,1.0,
berlin_3d8069ab,55,f,medium,2000.0,always,false,795926.0905267991,5815645.1257551145,-10.749501475829865,1.0,
bb_7e2b5012,71,f,low,900.0,always,false,788682.6,5804083.21,-19.11920088359024,1.0,
berlin_c2f4fd3c,88,m,medium,2000.0,always,false,804765.8539133797,5817612.917083309,-13.34211512211834,1.0,
berlin_7c6d09ea,80,m,medium,2000.0,always,false,810928.1354599359,5825073.139594263,-13.341453383307938,1.0,
berlin_3d995ffd,50,f,high,5600.0,always,false,807328.9760173408,5824418.92147301,-9.953775843555052,1.0,
berlin_0686224c,83,m,low,1500.0,always,false,809091.8498781745,5832808.457164157,-12.119720284173836,1.0,
bb_891781f2,67,m,low,900.0,always,false,785484.11,5853108.06,-27.860141665878697,1.0,
berlin_3bb74b42,33,f,medium,1500.0,always,false,798163.0850896074,5834407.094145213,-6.447209207955014,1.0,
berlin_31495d76,53,f,low,2000.0,always,false,792889.5135509442,5833576.245955068,-7.97227306782684,1.0,
berlin_62fa7c34,61,f,medium,2000.0,always,false,790372.950483249,5826819.365007704,-5.16909748877461,1.0,
berlin_c5c1e8bd,74,m,medium,2000.0,always,false,809803.2593255531,5816294.383075665,-16.99626952537332,1.0,
bb_0ef75d36,10,f,high,4600.0,never,false,799136.5,5811147.43,-11.80092550297911,1.0,
berlin_6ac207ac,11,m,high,3600.0,never,false,793760.0057369771,5832481.1946195895,-6.0728586694569096,1.0,
berlin_fcee4c2f,21,f,very_low,900.0,always,false,797695.1100137753,5820677.868522589,-11.037646807239863,1.0,
berlin_bae36c46,33,m,high,4600.0,always,false,800196.3945411064,5829411.096664841,-5.364730306405069,1.0,
berlin_c382a3eb,60,f,high,2600.0,always,false,802241.7207511459,5819954.017696941,-9.861907808442398,1.0,
bb_ca63ebdb,43,m,medium,2600.0,always,false,819909.04,5806312.63,-22.059906558674662,1.0,
bb_fa6d0e1e,57,f,very_low,500.0,always,true,788469.47,5793849.89,-9.48063039871063,1.0,
berlin_6d97d34b,4,m,very_high,5600.0,never,false,804462.276236776,5840405.354588945,-7.587508137568992,1.0,
berlin_fdea9879,54,f,medium,2000.0,always,false,792672.7870822737,5815580.027418319,-9.616761502185627,1.0,
berlin_a7fcc808,83,m,low,900.0,always,false,786893.5446318802,5837988.411188544,-16.796589004413338,1.0,
berlin_cba19a10,61,f,low,900.0,always,false,798325.7478709447,5826469.437291598,-19.670711720286924,1.0,
bb_88803090,85,m,medium,2000.0,always,false,816099.51,5808094.59,-21.60806064351139,1.0,
berlin_ee3f0a6c,53,f,medium,3000.0,always,false,798376.3233420672,5828946.870499555,-12.214575545280859,1.0,
bb_e9436f1a,16,m,high,5600.0,never,false,766692.68,5811150.73,-12.435329806066154,1.0,
berlin_7df26178,33,f,medium,1500.0,always,false,792312.3492966108,5833466.112065611,-9.058296910770546,1.0,
berlin_c68591a7,50,f,medium,1500.0,always,true,809782.5980388587,5832260.793079069,-12.62609812379062,1.0,
berlin_d1c7610e,32,f,medium,1500.0,always,false,792299.2421909565,5819089.141908278,-6.988142598496559,1.0,
berlin_4096a868,12,m,medium,3600.0,always,false,800996.6939889413,5832560.556684317,-4.114026741213412,1.0,
berlin_b1314510,53,f,high,3600.0,always,false,800360.0701030883,5825733.64168624,-17.346532289241182,1.0,
berlin_ed6293ff,76,m,high,3600.0,always,false,810450.4407019203,5816225.740249458,-14.525395458709204,1.0,
berlin_fdee394d,24,f,very_low,499.0,always,false,802982.0521379366,5828001.056985348,-18.584842290508117,1.0,
bb_24e1de42,86,m,medium,2000.0,always,false,779358.24,5811632.29,-14.773685352815656,1.0,
berlin_ed9f3947,21,f,very_low,500.0,always,false,797800.5524722451,5826264.728203369,-17.997381901998775,1.0,
bb_7db14325,56,m,high,4600.0,always,false,822479.68,5819156.61,-16.722133482319375,1.0,
bb_f0bacfc0,49,f,medium,3000.0,always,false,808485.51,5845193.44,-13.762613727887661,1.0,
bb_41a832aa,20,m,very_low,900.0,always,false,766256.47,5811602.68,-31.48704218534044,1.0,
berlin_2c038d7f,49,f,medium,2600.0,always,true,804130.3734208037,5840965.5499532735,-9.415196436485825,1.0,
berlin_3ebae2b6,99,m,medium,2000.0,always,false,791163.1221098981,5817937.563459282,-7.330910240601295,1.0,
berlin_fbecec59,56,f,high,5600.0,always,false,797899.6226384931,5819979.479843523,-6.368286125838207,1.0,
berlin_1955ea5d,27,f,low,3600.0,always,false,795688.4395271442,5824760.737116966,-8.970250084932728,1.0,
bb_72db0017,67,f,medium,2000.0,always,false,762718.85,5834656.17,-14.373373535732135,1.0,
berlin_3adc0fec,12,m,medium,2600.0,never,false,806314.3255571078,5827235.320959174,-9.477994500960628,1.0,
berlin_1758d23c,54,m,very_high,5600.0,always,false,796274.8855493986,5830698.10299226,-4.262551234868446,1.0,
berlin_ad1dd31f,67,m,medium,2000.0,always,false,784196.9844492386,5825988.559878264,-3.167457096918715,1.0,
bb_799961d6,25,m,low,2000.0,always,false,824596.83,5864730.58,-29.261735052373208,1.0,
berlin_b2b8dbdd,45,f,medium,2600.0,always,false,799830.8757393092,5828039.13730161,-13.478669677112132,1.0,
berlin_54650dd6,46,f,low,2600.0,always,false,798936.5972358873,5831581.113036119,-3.633382903850507,1.0,
bb_56f469f3,53,f,low,2000.0,always,false,787490.38,5814620.61,-10.263452583961309,1.0,
berlin_7c6a6228,55,f,very_low,499.0,always,true,789565.4602065011,5817816.403030882,-14.642421475152629,1.0,
berlin_fa2feef6,24,f,low,1500.0,always,false,794919.1085429802,5832769.004749451,-7.029999216381351,1.0,
bb_9780b702,8,f,medium,3000.0,never,false,775970.35,5812759.06,-11.687791387506968,1.0,
berlin_0392c860,66,m,high,3600.0,always,false,799419.9344116516,5813967.676785872,-11.057291527682674,1.0,
berlin_f2bff00d,91,m,low,1500.0,always,false,806280.0378532801,5826412.87507443,-11.96812140412761,1.0,
bb_376b1a5d,13,f,low,2000.0,never,false,807563.54,5845400.72,-14.123723065899478,1.0,
berlin_ebc5975d,3,m,low,2600.0,never,false,786268.1332759758,5834410.607589941,-10.484058744609305,1.0,
berlin_c40fb0b5,31,m,low,900.0,always,false,792814.290209258,5818941.033477075,-9.307780525101972,1.0,
berlin_a5595799,18,f,medium,2000.0,always,false,805172.7192590093,5831773.168944186,-6.919261792677837,1.0,
bb_5c7e7d69,57,m,high,3600.0,always,true,820207.52,5834906.64,-13.77429429415181,1.0,
berlin_a51b7ccc,38,f,medium,2600.0,always,false,798042.7464301614,5820949.851956847,-6.814382494881769,1.0,
berlin_a5ad5955,54,m,medium,3000.0,always,false,803380.9075193789,5827087.516286191,-8.444535707468633,1.0,
bb_ce0bcd49,35,f,medium,1500.0,always,false,765689.23,5816731.85,-19.25461351709881,1.0,
bb_f0778ed5,3,m,high,4600.0,never,false,783988.37,5842171.6,-7.808479891103815,1.0,
berlin_dedc6fe2,24,f,high,3600.0,always,false,801365.9135035772,5826027.7176535,-13.983248899509254,1.0,
bb_87abeb4d,97,m,medium,2000.0,always,false,784147.81,5837233.76,-7.58573239118285,1.0,
bb_81401b8a,85,f,medium,1500.0,always,true,826704.18,5823453.93,-26.234030140922513,1.0,
berlin_17fc365b,4,m,medium,3000.0,never,false,786705.3008760104,5830138.827885306,-3.424135551540288,1.0,
berlin_3e91cddc,17,m,very_low,900.0,never,false,794982.475608893,5821942.310834691,-7.639123541482743,1.0,
berlin_a6f3bb7a,26,f,low,900.0,always,false,800781.434448302,5827944.539614407,-14.497367256207006,1.0,
berlin_a41c8edb,4,m,very_high,5600.0,never,false,803161.1766933219,5837682.756769207,-6.485709940554373,1.0,
bb_260831b1,5,m,very_low,1500.0,never,false,814584.54,5830913.04,-15.517892211142586,1.0,
bb_e27d8550,30,f,very_high,5600.0,always,false,783679.51,5841468.48,-7.448120990496768,1.0,
berlin_3a77334a,51,f,very_high,5600.0,always,false,794985.0296926417,5818912.229348125,-5.946652733481928,1.0,
berlin_5c3c961d,14,m,medium,3600.0,never,false,786725.6125721629,5831508.886691195,-3.616719971782499,1.0,
berlin_63479f28,16,m,high,4600.0,never,true,811639.9625667292,5829242.428641272,-10.257145578015473,1.0,
berlin_2f9e5b44,10,m,low,2600.0,never,false,800221.8267205381,5822457.094196501,-9.489231389393394,1.0,
berlin_16dbb091,21,f,high,3600.0,always,false,788480.5713242406,5825724.904702265,-3.829262185033321,1.0,
berlin_0315d2d1,25,f,low,2000.0,always,false,793780.6625351016,5832200.345682144,-6.100200533522835,1.0,
berlin_1a0c06b7,25,f,very_low,900.0,always,false,797679.6969634078,5824693.9674733635,-12.446823016369528,1.0,
berlin_d4bcad49,12,m,medium,3600.0,never,false,786297.9862197043,5817533.411913538,-7.614930872799327,1.0,
berlin_349533a7,6,m,medium,3000.0,never,false,800755.6616294502,5829947.98361775,-5.933326164475627,1.0,
berlin_479edbf8,46,f,medium,1500.0,always,false,783741.3065535221,5829018.730726753,-1.9457045641697028,1.0,
bb_a55aff6a,23,m,high,3600.0,always,false,784451.89,5839684.2,-7.175761115042182,1.0,
bb_e4becce6,64,f,high,4600.0,always,false,809373.87,5847141.9,-12.373189695383273,1.0,
berlin_d8210852,36,m,low,900.0,always,false,791375.2627321635,5826301.586706381,-9.832046908783957,1.0,
bb_c14a8ef4,61,m,high,4600.0,always,false,800983.15,5789416.54,-10.895945031194797,1.0,
bb_84b1bfe1,46,f,very_low,900.0,always,false,772638.02,5815520.79,-19.955981436972195,1.0,
berlin_7bd2ec74,56,f,very_high,5600.0,always,false,805917.8569801867,5834737.627242373,-7.425944910233243,1.0,
berlin_0baa4f85,63,f,medium,1500.0,always,false,809264.3856184627,5832821.739476343,-12.270884832323922,1.0,
berlin_767eb884,61,f,medium,1500.0,always,true,803892.2010644495,5826641.527467182,-10.727060161968138,1.0,
bb_1bbdf4ec,40,m,low,900.0,always,false,815807.38,5830987.8,-20.944897818218234,1.0,
berlin_aae9486a,64,f,high,3600.0,always,false,790084.2944163827,5820217.396967914,-5.647386918759297,1.0,
bb_75368ba8,58,f,very_low,500.0,always,true,821569.67,5841027.63,-43.322513427560565,1.0,
berlin_21f53186,88,m,medium,2600.0,always,true,798688.4036150997,5831406.069366486,-3.9504442520952443,1.0,
berlin_a36100d5,89,m,medium,2000.0,always,true,795733.2628386972,5819757.055138223,-7.113755681122816,1.0,
bb_d8bbdb2c,13,m,medium,3600.0,never,false,773704.15,5814350.41,-10.164800093399021,1.0,
berlin_41fb1010,21,f,high,3600.0,always,false,808094.4561900953,5816006.954529085,-14.317223036243197,1.0,
berlin_773dc53b,62,f,medium,3000.0,always,false,799114.8842245336,5837786.659554252,-6.986859427878654,1.0,
bb_8715f9fa,25,f,very_low,900.0,always,false,807265.73,5843558.58,-18.637853126897852,1.0,
berlin_115608a6,44,f,high,5600.0,always,false,791717.8020485884,5828288.744308417,-6.517887100832782,1.0,
berlin_d1bb5903,34,f,high,4600.0,always,false,782797.2789682795,5827265.142265716,-1.9387346218789652,1.0,
bb_7a2a28f3,85,f,medium,2600.0,always,false,792914.7,5808578.43,-12.708307752644231,1.0,
bb_b3e1f698,54,m,high,3600.0,always,false,801198.56,5809122.33,-13.489333493685614,1.0,
berlin_9ec5bace,61,f,medium,1500.0,always,true,807851.1992797118,5825596.948432876,-13.65505239627528,1.0,
berlin_3ffa2091,21,m,low,900.0,always,false,796368.4040318846,5825693.3379745195,-15.175575260936142,1.0,
bb_5632c738,30,m,high,3600.0,always,false,787593.91,5850756.95,-12.628318234845834,1.0,
bb_86eacbc5,5,m,medium,3600.0,never,false,809898.99,5849004.77,-14.041841239863755,1.0,
bb_30f14bc0,27,m,medium,2000.0,always,false,792393.35,5840778.27,-12.184691468274984,1.0,
bb_924e9505,45,m,low,900.0,always,false,798971.34,5810598.04,-22.387879196392163,1.0,
berlin_496244f7,67,m,low,900.0,always,false,784880.9156748843,5832075.514027244,-5.317351324775819,1.0,
berlin_cf71a4f9,7,m,high,5600.0,never,false,796125.9788770778,5831391.108484102,-4.526284505804439,1.0,
berlin_58db5aac,28,f,very_low,900.0,always,false,805875.1770238564,5817242.798699259,-20.284135207049705,1.0,
berlin_2713f727,78,m,low,2000.0,always,false,799477.5588960767,5827058.627788299,-19.255499985309175,1.0,
berlin_e385c3ef,56,f,medium,2000.0,always,false,794330.4286893143,5817279.902499891,-8.910359618030817,1.0,
berlin_ed2e1028,22,f,very_low,500.0,always,false,809197.0003658611,5819743.061996663,-24.237801772624806,1.0,
berlin_92aea088,28,m,high,4600.0,always,false,800850.0613049022,5824705.772522149,-16.29367785850918,1.0,
berlin_e12d6987,59,f,high,3600.0,always,false,794951.9589218105,5837338.9240380945,-8.690848428063958,1.0,
berlin_a7d9f57a,66,m,medium,2000.0,always,false,794658.4966285974,5815744.852744205,-10.130801093017986,1.0,
bb_f0a471c4,9,f,medium,3600.0,never,false,772702.47,5815532.87,-10.3038639479052,1.0,
berlin_d8e3bcd1,26,m,very_low,500.0,always,false,798034.5900772581,5828694.532642676,-30.076579548365288,1.0,
berlin_07d153fb,15,m,high,4600.0,never,false,798871.384100989,5834894.961777553,-5.373413701163107,1.0,
berlin_ed0ce2a8,22,m,low,1500.0,always,false,793273.6517914536,5825772.716295722,-21.10372348584757,1.0,
