personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_93e03f4c,96,m,high,3600.0,always,true,792103.7020280849,5835960.35174809,-7.381371943500414,1.0,
berlin_6f3ec48f,67,m,very_low,900.0,always,true,794343.6119391288,5822283.853940218,-6.754902578581939,1.0,
berlin_99c86e62,61,m,very_low,2600.0,always,false,794556.0008475331,5831403.07460021,-5.312441234722562,1.0,
berlin_ce0b23e0,40,f,high,4600.0,always,false,799124.927343389,5825201.813653638,-15.314591333607233,1.0,
berlin_3802a72c,41,f,medium,2000.0,always,true,802028.3289094011,5828619.429072473,-5.673183555250531,1.0,
bb_cfbcd7c2,17,m,very_high,5600.0,never,false,800684.25,5807923.02,-11.697219512903503,1.0,
berlin_aac3aa78,9,m,low,2600.0,never,false,810514.2311792506,5821400.623688188,-13.650522487931756,1.0,
berlin_a11844d8,12,m,very_low,900.0,never,false,799334.5298228136,5814014.146544863,-18.247679400020978,1.0,
berlin_d16ebbf5,8,m,medium,2600.0,never,false,789427.8384012033,5819052.270868371,-6.517871970414568,1.0,
berlin_205a9467,41,f,very_low,1500.0,always,false,798157.5175515879,5829751.481975442,-10.001754197993307,1.0,
berlin_fa3e0921,43,f,very_high,5600.0,always,false,795557.2906663824,5827991.826670966,-9.620933103362534,1.0,
bb_2faeca91,38,m,very_low,500.0,always,false,827445.19,5831435.42,-48.624423008516096,1.0,
bb_ab5cf2dc,33,f,medium,3000.0,always,false,777260.31,5814335.28,-11.828697649892916,1.0,
berlin_5ca3839f,33,f,very_high,5600.0,always,false,805945.1822524411,5834230.19246695,-6.851160178138128,1.0,
bb_5018fbc5,60,f,medium,3000.0,always,false,815479.84,5830490.2,-12.595354014703233,1.0,
berlin_50077f44,39,f,low,900.0,always,false,801022.210743187,5824226.029253984,-19.848593121656375,1.0,
berlin_954d6aee,40,f,medium,2600.0,always,false,782871.1987008501,5829966.968200026,-2.305771846785396,1.0,
berlin_b696e19f,28,m,medium,2600.0,always,false,798607.9342015425,5831241.083024301,-3.436614759830475,1.0,
berlin_8739c16c,52,f,high,2600.0,always,false,797816.2882490836,5819043.0559908105,-8.959560626416362,1.0,
berlin_a9b0328d,43,f,medium,3000.0,always,false,792008.6137969176,5821886.628170172,-4.35292383026262,1.0,
berlin_3df78d5c,24,m,high,4600.0,always,false,800275.1571533736,5830831.872814473,-2.739968504820082,1.0,
berlin_d3dbee98,19,f,high,4600.0,always,false,804649.7701141252,5834136.808251895,-6.466625127002403,1.0,
