personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,"acc jakob (policy network, base events+plans)",acc base default,acc policy default,,,,"jakob(policy network, base events+plans)",base default,policy default
berlin_93e03f4c,96,m,high,3600,always,TRUE,792103.7020280849,5835960.352,-7.381371944,-6.055253677,-7.872502299,,,average,-10.99460713,-7.812606427,-11.65006275
berlin_6f3ec48f,67,m,very_low,900,always,TRUE,794343.6119391288,5822283.853940218,-6.754902579,-5.886027199,-6.844932865,,,median,-9.519167006,-5.786734832,-10.19648075
berlin_99c86e62,61,m,very_low,2600,always,FALSE,794556.0008475331,5831403.075,-5.312441235,-3.595711589,-5.329424778,,,,,,
berlin_ce0b23e0,40,f,high,4600,always,FALSE,799124.9273,5825201.813653638,-15.31459133,-0.832634298,-18.36570888,,,,,,
berlin_3802a72c,41,f,medium,2000,always,TRUE,802028.3289094011,5828619.429072473,-5.673183555,-2.098921281,-7.3620289,,,,,,
bb_cfbcd7c2,17,m,very_high,5600,never,FALSE,800684.25,5807923.02,-11.69721951,-10.1264708,-12.31725112,,,,,,
berlin_aac3aa78,9,m,low,2600,never,FALSE,810514.2311792506,5821400.623688188,-13.65052249,-9.611068435,-14.4526098,,,,,,
berlin_a11844d8,12,m,very_low,900,never,FALSE,799334.5298228136,5814014.146544863,-18.2476794,-14.5536521,-19.22162826,,,,,,
berlin_d16ebbf5,8,m,medium,2600,never,FALSE,789427.8384012033,5819052.270868371,-6.51787197,-5.215198551,-6.656489498,,,,,,
berlin_205a9467,41,f,very_low,1500,always,FALSE,798157.5175515879,5829751.481975442,-10.0017542,-2.882578616,-10.42203498,,,,,,
berlin_fa3e0921,43,f,very_high,5600,always,FALSE,795557.2906663824,5827991.826670966,-9.620933103,-1.325495076,-9.67935115,,,,,,
bb_2faeca91,38,m,very_low,500,always,FALSE,827445.19,5831435.42,-48.62442301,-45.52620635,-50.3675697,,,,,,
bb_ab5cf2dc,33,f,medium,3000,always,FALSE,777260.31,5814335.28,-11.82869765,-10.84262283,-11.89266124,,,,,,
berlin_5ca3839f,33,f,very_high,5600,always,FALSE,805945.1822524411,5834230.192,-6.851160178,-5.055556217,-6.80722286,,,,,,
bb_5018fbc5,60,f,medium,3000,always,FALSE,815479.84,5830490.2,-12.59535401,-10.22429749,-12.86082735,,,,,,
berlin_50077f44,39,f,low,900,always,FALSE,801022.2107,5824226.029253984,-19.84859312,-3.085172287,-18.59911586,,,,,,
berlin_954d6aee,40,f,medium,2600,always,FALSE,782871.1987008501,5829966.968200026,-2.305771847,-2.301419255,-2.723400842,,,,,,
berlin_b696e19f,28,m,medium,2600,always,FALSE,798607.9342015425,5831241.083024301,-3.43661476,-2.336455286,-3.976843893,,,,,,
berlin_8739c16c,52,f,high,2600,always,FALSE,797816.2882490836,5819043.0559908105,-8.959560626,-6.13567435,-11.00938189,,,,,,
berlin_a9b0328d,43,f,medium,3000,always,FALSE,792008.6137969176,5821886.628170172,-4.35292383,-3.159691464,-4.142776513,,,,,,
berlin_3df78d5c,24,m,high,4600,always,FALSE,800275.1571533736,5830831.872814473,-2.739968505,-1.753477795,-3.297023138,,,,,,
berlin_d3dbee98,19,f,high,4600,always,FALSE,804649.7701141252,5834136.808251895,-6.466625127,-4.857867081,-6.650918594,,,,,,
berlin_5331da94,52,f,low,2600,always,FALSE,804112.3465026952,5817237.364761135,-11.8202522,-8.156648246,-12.35128885,,,,,,
bb_92818fd0,68,m,medium,2000,always,FALSE,780592.17,5836044.47,-7.525606649,-7.521250355,-7.309778151,,,,,,
berlin_6f6a4def,40,f,high,2600,always,FALSE,795110.2481944542,5830170.307178236,-4.380934504,-2.613432313,-4.322701266,,,,,,
bb_9178624e,49,m,medium,3000,always,FALSE,806226.58,5842420.28,-10.62957329,-9.673717703,-10.71282242,,,,,,
berlin_0c034a53,55,f,medium,2000,always,FALSE,796521.1427212921,5817708.201306106,-9.431671424,-7.11623814,-9.820523919,,,,,,
berlin_31a6c3d1,86,m,medium,2000,always,TRUE,808367.1904264858,5829004.57,-9.572907222,-7.474297694,-10.29761642,,,,,,
berlin_52dbad4c,35,f,high,3600,always,FALSE,787566.2817013296,5817758.856936031,-6.638122616,-5.397130887,-6.935335907,,,,,,
berlin_ac19970e,51,m,medium,3000,always,FALSE,795966.8504040428,5833434.589061329,-5.704222625,-4.172438472,-5.953150719,,,,,,
berlin_2756dac1,63,m,high,4600,always,FALSE,793163.4766,5824291.069847908,-6.578573707,-2.251926531,-7.007384899,,,,,,
berlin_27f6a369,73,m,medium,3000,always,FALSE,793686.1708681418,5816397.892509217,-8.236646341,-6.752930102,-8.348886003,,,,,,
berlin_a4ba0927,71,m,low,1500,always,FALSE,795850.3929673268,5835252.472947643,-7.801183871,-6.568931638,-8.547749606,,,,,,
berlin_d0977cf3,99,m,low,1500,always,TRUE,809970.4391778712,5829341.509,-12.25384077,-9.993162169,-13.16762081,,,,,,
berlin_60420ee4,54,f,very_high,5600,always,FALSE,793344.6420164104,5826320.5469400035,-10.91674112,-1.835408196,-22.37386615,,,,,,
berlin_4a3dfe8d,4,m,medium,3000,never,FALSE,798725.8439135454,5832185.652400512,-3.847107246,-2.882788812,-4.015563734,,,,,,
bb_9cc361e8,88,f,low,900,always,FALSE,793054.94,5840572.02,-17.60328411,-16.68648079,-17.97690325,,,,,,
berlin_5c263133,3,m,high,3600,never,FALSE,792361.1933155945,5826237.355472154,-9.347187683,-1.791658373,-9.773275807,,,,,,
berlin_e213f71f,15,m,medium,3600,never,FALSE,779972.5796177952,5827792.697606013,-3.568799471,-3.553405043,-3.485873828,,,,,,
berlin_15d78c4c,21,f,very_low,900,always,FALSE,798524.3978,5819596.1772872675,-12.85557643,-8.799935099,-13.42415561,,,,,,
berlin_e7e92f0e,32,f,low,900,always,FALSE,801815.9850295177,5819237.517992416,-15.75649554,-10.85600331,-16.43377699,,,,,,
berlin_87469e63,92,m,medium,2600,always,TRUE,792203.4317,5816505.108861929,-7.871380484,-6.630117883,-8.271613293,,,,,,
berlin_cd01e851,60,f,medium,2600,always,FALSE,812042.2688540244,5831041.591534352,-10.96398616,-8.844098907,-11.69107323,,,,,,
berlin_94a03e39,59,f,medium,2000,always,FALSE,793326.2767233227,5828809.054500821,-8.583032548,-3.045900295,-11.13317184,,,,,,
bb_2bed54c9,63,m,high,3600,always,FALSE,766100.31,5811881.69,-13.96371062,-13.95290584,-14.5596687,,,,,,
berlin_94a3e77f,92,m,medium,2000,always,FALSE,809153.4305538193,5819042.44,-13.72610411,-8.550800173,-15.11434876,,,,,,
berlin_9ee3192a,76,m,low,1500,always,FALSE,814540.2628230416,5821639.808571091,-19.57761058,-14.40334714,-20.09384689,,,,,,
berlin_14a07870,24,f,high,4600,always,TRUE,800862.1957,5825545.129460476,-15.22349779,-0.561949971,-15.35702496,,,,,,
berlin_83124589,9,m,very_high,5600,never,FALSE,800779.0556906179,5830992.718503598,-3.014113701,-2.002624173,-3.095977094,,,,,,
berlin_b683dbf4,42,f,very_high,5600,always,FALSE,804134.2739622195,5822508.094307429,-8.595144559,-3.52450341,-10.22818115,,,,,,
berlin_5a69d77f,99,m,medium,2000,always,FALSE,805345.0965108674,5827190.775401043,-8.089440778,-5.481206426,-9.535419001,,,,,,
berlin_820ab977,93,m,high,3000,always,TRUE,801674.4687011412,5819464.342,-9.959241466,-6.869053517,-10.55582349,,,,,,
bb_7ef14070,57,m,low,1500,always,FALSE,771779.6,5807193.76,-19.99240977,-19.86701076,-20.22622789,,,,,,
bb_38a0a1d7,54,f,very_high,5600,always,FALSE,781401.8,5808998.89,-9.509596594,-8.406425252,-9.47702765,,,,,,
bb_0ef75d36,10,f,high,4600,never,FALSE,799136.5,5811147.43,-11.18315172,-9.08631499,-11.8009255,,,,,,
berlin_0205ed47,56,f,medium,1500,always,FALSE,797059.0413762464,5836771.7556401165,-9.389703417,-8.534970359,-9.651804536,,,,,,
berlin_0453047e,81,m,medium,2000,always,TRUE,796622.4789307198,5821411.503,-6.620665735,-3.896195869,-7.463260476,,,,,,
bb_82aedec1,43,m,medium,3600,always,FALSE,764014.95,5799097.94,-15.68283904,-15.54599985,-16.48163838,,,,,,
berlin_ca38beb0,62,f,high,3600,always,FALSE,802423.0406603289,5818111.907198205,-10.66563382,-7.172980071,-10.82700574,,,,,,
berlin_3b8cf363,35,m,low,900,always,FALSE,794867.4414523821,5829410.225700819,-6.290107842,-3.257097344,-6.559274435,,,,,,
berlin_44f5dace,90,m,very_low,500,always,TRUE,796905.5302959025,5821312.085938421,-12.31965946,-8.951585065,-15.44529826,,,,,,
berlin_92162de3,45,m,medium,3000,always,FALSE,802458.1026081825,5828083.641,-6.236051459,-2.37974101,-7.924217705,,,,,,
