person,timeCar,distCar,expSum
bb_4d05b016,4443.830000,43664.310000,-31.4529090796688
bb_88bca602,4850.904000,65876.700000,-41.2030015440091
bb_959a628e,3866.672000,55085.000000,-74.7171565864449
berlin_04389740,1884.570000,15250.550000,-9.41404737085711
bb_f2577192,3763.618000,54080.270000,-46.6983362418139
berlin_2df0ec6b,4177.100000,40865.600000,-21.9220411286638
berlin_78f11f60,1895.874000,16833.600000,-8.67045505692673
berlin_d5cb99f9,1895.874000,16833.600000,-11.5543486611865
bb_14918f7c,2642.368000,30253.360000,-12.4717391638624
bb_3c197822,2642.368000,30253.360000,-15.0183165958626
bb_7b4199ac,2642.368000,30253.360000,-17.7002528626723
bb_bb289ea1,2642.368000,30253.360000,-43.1441450781745
bb_52c9838b,2500.661000,28349.970000,-11.6889434170203
berlin_65d1530f,2618.961000,20311.910000,-12.2449593609845
berlin_5f935487,1668.059000,12750.560000,-9.53246805983594
berlin_f3fe4a9e,2618.961000,20311.910000,-31.8733673391087
berlin_7dba9a18,1668.059000,12750.560000,-7.23529793853677
berlin_8261adb9,1668.059000,12750.560000,-10.8467709848288
berlin_b0ce42d0,1668.059000,12750.560000,-14.0190272551450
berlin_c293db51,1668.059000,12750.560000,-7.39114018399884
berlin_e6995b2a,1668.059000,12750.560000,-8.41312181759722
bb_157e3645,4261.371000,59322.790000,-22.0576707254415
bb_dbd2b375,4261.371000,59322.790000,-80.8960988437342
bb_00cf6742,2465.584000,30937.890000,-11.6460320349683
bb_f0a2af22,2908.055000,43758.410000,-26.5966979977779
bb_fd28a3d6,2908.055000,43758.410000,-58.9193148568525
berlin_ae4f36de,1717.823000,13782.780000,-8.40650361070046
berlin_da86ba05,1717.823000,13782.780000,-11.4318992695779
bb_1254ba80,3577.333000,53577.110000,-21.2358658555012
bb_129b471a,2641.412000,40064.360000,-20.3497348307297
bb_96c992c3,2641.412000,40064.360000,-15.4825738777819
bb_e816e26c,2641.412000,40064.360000,-17.7693151240049
bb_814da828,3402.881000,34746.940000,-17.1946128222371
bb_9bc79be7,3854.243000,37426.690000,-36.7154552352131
berlin_4f75ab0f,2519.590000,20872.050000,-12.1077917114640
berlin_9045f2ce,2519.590000,20872.050000,-16.6269755150390
berlin_c33071c2,2519.590000,20872.050000,-13.2999315939663
berlin_f13348e7,2313.823000,18821.900000,-19.8245631372268
berlin_0653f5ca,2113.821000,18590.650000,-10.8781014579991
berlin_690e28c6,2113.821000,18590.650000,-28.2876189531282
bb_8a014e87,2437.804000,22758.280000,-12.9937149307307
bb_7e6442ba,2698.746000,28716.260000,-15.1571172426426
bb_8d9596eb,2698.746000,28716.260000,-15.9876825758226
bb_b279b1eb,2698.746000,28716.260000,-17.7113366701510
bb_7aae8416,2533.519000,22011.140000,-22.6586915562413
berlin_58591eb4,1676.932000,13568.360000,-7.51709427239173
berlin_c92a91d2,1676.932000,13568.360000,-7.59435463880576
bb_d09ff99c,2439.936000,28360.300000,-11.3985014230977
berlin_ca49209e,1697.823000,13622.910000,-11.2922300029491
berlin_bdf9ac04,1811.709000,16213.660000,-8.54544233446515
bb_bbb381ba,4667.299000,42880.280000,-23.9036456325021
berlin_01eecdec,3500.786000,34964.640000,-17.8900845104485
berlin_0c08ab2d,3500.786000,34964.640000,-21.8088375615894
berlin_22ab05a6,3500.786000,34964.640000,-34.0190713081025
berlin_3840f888,3500.786000,34964.640000,-15.6343126838567
berlin_57044e97,3500.786000,34964.640000,-34.1403754839431
berlin_5928555d,3500.786000,34964.640000,-17.4566213629715
berlin_6c4f1b26,3500.786000,34964.640000,-17.6760276370869
berlin_8423ffa7,3500.786000,34964.640000,-22.1678773641463
berlin_b1d1f88d,3500.786000,34964.640000,-19.5559696452065
berlin_e167f873,3500.786000,34964.640000,-34.0750784515660
bb_57e4b5eb,2565.743000,38557.510000,-14.9083581442858
berlin_020471f0,4061.694000,30568.280000,-20.5077591595426
berlin_34570898,4378.755000,37405.290000,-18.8577695117761
berlin_50f80b6a,4061.694000,30568.280000,-33.1898642607141
berlin_965bc44e,4061.694000,30568.280000,-17.1152455982838
berlin_c1a257ba,4061.694000,30568.280000,-18.0031211714767
berlin_db5f2940,4061.694000,30568.280000,-22.5620521748039
berlin_433de6c5,2078.475000,18178.940000,-10.6828611141822
berlin_7f8b9e9b,2078.475000,18178.940000,-9.19948859787830
bb_5c7e7d69,4235.230000,44303.460000,-21.7165474570662
berlin_09edd53e,4202.446000,37115.110000,-37.4614520726876
berlin_360a40c7,4202.446000,37115.110000,-21.3937843259654
berlin_ba9331d1,4202.446000,37115.110000,-18.2226161047662
berlin_171b0956,1759.948000,14917.160000,-23.2947100687236
berlin_34cf3ede,1759.948000,14917.160000,-10.7753523270589
berlin_778f29b5,1759.948000,14917.160000,-10.5970731185336
berlin_9e6b3c2e,1759.948000,14917.160000,-8.14471712313682
berlin_eeb4fd8c,1759.948000,14917.160000,-11.1154271452435
